timestamp,event,symbol,option_type,strike,ltp,score,required_score,rsi,trend,pcr,nifty_spot,gap_mode,scanner_state,reject_reason,notes
2026-05-29 11:09:01,HOUR_START,,,,,,,,,,,,,,Hourly hypercare log active; waiting for signals/rejects.
2026-05-29 11:09:25,RSI_BAND,,CE,,,,,52.7,GREEN,,,,,outside_band,NIFTY 1m RSI 52.7 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:10:06,RSI_BAND,,CE,,,,,52.7,GREEN,,,,,outside_band,NIFTY 1m RSI 52.7 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:10:48,RSI_BAND,,CE,,,,,53.9,GREEN,,,,,outside_band,NIFTY 1m RSI 53.9 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:11:31,RSI_BAND,,CE,,,,,56.1,GREEN,,,,,outside_band,NIFTY 1m RSI 56.1 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:12:13,RSI_BAND,,CE,,,,,44.8,GREEN,,,,,outside_band,NIFTY 1m RSI 44.8 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:12:54,RSI_BAND,,CE,,,,,44.8,GREEN,,,,,outside_band,NIFTY 1m RSI 44.8 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:13:37,RSI_BAND,,CE,,,,,44.8,GREEN,,,,,outside_band,NIFTY 1m RSI 44.8 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:14:18,RSI_BAND,,CE,,,,,43.3,GREEN,,,,,outside_band,NIFTY 1m RSI 43.3 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:15:01,RSI_BAND,,CE,,,,,40.8,GREEN,,,,,outside_band,NIFTY 1m RSI 40.8 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:15:42,RSI_BAND,,CE,,,,,40.8,GREEN,,,,,outside_band,NIFTY 1m RSI 40.8 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:16:23,RSI_BAND,,CE,,,,,43.2,GREEN,,,,,outside_band,NIFTY 1m RSI 43.2 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:17:04,RSI_BAND,,CE,,,,,43.1,GREEN,,,,,outside_band,NIFTY 1m RSI 43.1 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:18:35,RSI_BAND,,CE,,,,,54.7,GREEN,,,,,outside_band,NIFTY 1m RSI 54.7 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:19:16,RSI_BAND,,CE,,,,,54.7,GREEN,,,,,outside_band,NIFTY 1m RSI 54.7 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:19:58,RSI_BAND,,CE,,,,,54.0,GREEN,,,,,outside_band,NIFTY 1m RSI 54.0 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:20:39,RSI_BAND,,CE,,,,,50.9,GREEN,,,,,outside_band,NIFTY 1m RSI 50.9 below CE band (58.0-70.0) — CE buy signals blocked
2026-05-29 11:21:20,RSI_BAND,,CE,,,,,46.0,GREEN,,,,,outside_band,NIFTY 1m RSI 46.0 below CE band (58.0-70.0) — CE buy signals blocked
