timestamp,alert_type,symbol,oi,prev_oi,oi_change_pct,oi_delta,volume_1m,volume_ema_20,cross_direction,message
2026-05-29 09:40:35,Vol,NIFTY 02 JUN 23950 CALL,7999290,2189200,265.4,5810090,28684435,,,"periodic record vol=28,684,435 oi=7,999,290 (OI chg +5,810,090 +265.4%)"
2026-05-29 09:40:35,Vol,NIFTY 02 JUN 23900 CALL,10062455,5003700,101.1,5058755,33163000,,,"periodic record vol=33,163,000 oi=10,062,455 (OI chg +5,058,755 +101.1%)"
2026-05-29 09:40:36,Vol,NIFTY 02 JUN 23850 CALL,1600950,605410,164.4,995540,6137235,,,"periodic record vol=6,137,235 oi=1,600,950 (OI chg +995,540 +164.4%)"
2026-05-29 09:40:36,Vol,NIFTY 02 JUN 23950 PUT,4729270,1662310,184.5,3066960,31777980,,,"periodic record vol=31,777,980 oi=4,729,270 (OI chg +3,066,960 +184.5%)"
2026-05-29 09:40:36,Vol,NIFTY 02 JUN 24000 PUT,8354060,4854980,72.1,3499080,35671350,,,"periodic record vol=35,671,350 oi=8,354,060 (OI chg +3,499,080 +72.1%)"
2026-05-29 09:40:36,Vol,NIFTY 02 JUN 24050 PUT,1395225,568880,145.3,826345,5990790,,,"periodic record vol=5,990,790 oi=1,395,225 (OI chg +826,345 +145.3%)"
2026-05-29 09:41:39,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: -17,984,785 | New PE Vol: +51,086,750"
2026-05-29 09:42:41,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,137,460 | New PE Vol: +6,201,065"
2026-05-29 09:43:50,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,032,225 | New PE Vol: +5,346,055"
2026-05-29 09:44:51,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: -35,171,565 | New PE Vol: -8,010,015"
2026-05-29 09:45:11,Reject,NIFTY 02 JUN 23850 CALL,1774045,1665820,6.5,108225,,,ABOVE,"OI poll change +6.5% vs last scan (OI chg +108,225 | oi=1,774,045, was=1,665,820)"
