timestamp,alert_type,symbol,oi,prev_oi,oi_change_pct,oi_delta,volume_1m,volume_ema_20,cross_direction,message
2026-06-01 09:21:03,Vol,NIFTY 02 JUN 23650 CALL,3798535,852475,345.6,2946060,11450530,,,"periodic record vol=11,450,530 oi=3,798,535 (OI chg +2,946,060 +345.6%)"
2026-06-01 09:21:04,Vol,NIFTY 02 JUN 23600 CALL,3517085,1483300,137.1,2033785,8568300,,,"periodic record vol=8,568,300 oi=3,517,085 (OI chg +2,033,785 +137.1%)"
2026-06-01 09:21:04,Vol,NIFTY 02 JUN 23550 CALL,1018355,775840,31.3,242515,1779635,,,"periodic record vol=1,779,635 oi=1,018,355 (OI chg +242,515 +31.3%)"
2026-06-01 09:21:04,Vol,NIFTY 02 JUN 23650 PUT,4198350,1461850,187.2,2736500,15987075,,,"periodic record vol=15,987,075 oi=4,198,350 (OI chg +2,736,500 +187.2%)"
2026-06-01 09:21:04,Vol,NIFTY 02 JUN 23700 PUT,7266675,4587050,58.4,2679625,15615600,,,"periodic record vol=15,615,600 oi=7,266,675 (OI chg +2,679,625 +58.4%)"
2026-06-01 09:21:04,Vol,NIFTY 02 JUN 23750 PUT,2180555,1735305,25.7,445250,4847245,,,"periodic record vol=4,847,245 oi=2,180,555 (OI chg +445,250 +25.7%)"
2026-06-01 09:21:11,Reject,NIFTY 02 JUN 23600 CALL,3944200,3517085,12.1,427115,,,ABOVE,"OI poll change +12.1% vs last scan (OI chg +427,115 | oi=3,944,200, was=3,517,085)"
2026-06-01 09:21:11,Reject,NIFTY 02 JUN 23650 PUT,4670835,4198350,11.3,472485,,,ABOVE,"OI poll change +11.3% vs last scan (OI chg +472,485 | oi=4,670,835, was=4,198,350)"
2026-06-01 09:21:11,Reject,NIFTY 02 JUN 23700 PUT,7675720,7266675,5.6,409045,,,ABOVE,"OI poll change +5.6% vs last scan (OI chg +409,045 | oi=7,675,720, was=7,266,675)"
2026-06-01 09:21:58,Reject,NIFTY 02 JUN 23650 CALL,4319315,3798535,13.7,520780,,,ABOVE,"OI poll change +13.7% vs last scan (OI chg +520,780 | oi=4,319,315, was=3,798,535)"
2026-06-01 09:22:05,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +3,720,990 | New PE Vol: +6,107,725"
2026-06-01 09:22:11,Reject,NIFTY 02 JUN 23600 CALL,4358900,3944200,10.5,414700,,,ABOVE,"OI poll change +10.5% vs last scan (OI chg +414,700 | oi=4,358,900, was=3,944,200)"
2026-06-01 09:22:11,Reject,NIFTY 02 JUN 23500 CALL,2305550,2151175,7.2,154375,,,ABOVE,"OI poll change +7.2% vs last scan (OI chg +154,375 | oi=2,305,550, was=2,151,175)"
2026-06-01 09:22:11,Reject,NIFTY 02 JUN 23600 PUT,8316035,7916220,5.1,399815,,,ABOVE,"OI poll change +5.1% vs last scan (OI chg +399,815 | oi=8,316,035, was=7,916,220)"
2026-06-01 09:22:11,Reject,NIFTY 02 JUN 23650 PUT,5012930,4670835,7.3,342095,,,ABOVE,"OI poll change +7.3% vs last scan (OI chg +342,095 | oi=5,012,930, was=4,670,835)"
2026-06-01 09:22:18,Reject,NIFTY 02 JUN 23750 PUT,2323100,2203500,5.4,119600,,,ABOVE,"OI poll change +5.4% vs last scan (OI chg +119,600 | oi=2,323,100, was=2,203,500)"
2026-06-01 09:23:08,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: -7,997,080 | New PE Vol: +25,313,730"
2026-06-01 09:23:15,Reject,NIFTY 02 JUN 23600 CALL,4755855,4358900,9.1,396955,,,ABOVE,"OI poll change +9.1% vs last scan (OI chg +396,955 | oi=4,755,855, was=4,358,900)"
2026-06-01 09:24:13,Reject,NIFTY 02 JUN 23550 CALL,1186055,1108705,7.0,77350,,,ABOVE,"OI poll change +7.0% vs last scan (OI chg +77,350 | oi=1,186,055, was=1,108,705)"
2026-06-01 09:24:13,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,104,570 | New PE Vol: +8,383,310"
2026-06-01 09:25:10,Reject,NIFTY 02 JUN 23600 CALL,5840705,5244005,11.4,596700,,,ABOVE,"OI poll change +11.4% vs last scan (OI chg +596,700 | oi=5,840,705, was=5,244,005)"
2026-06-01 09:25:10,Reject,NIFTY 02 JUN 23500 CALL,2657915,2456350,8.2,201565,,,ABOVE,"OI poll change +8.2% vs last scan (OI chg +201,565 | oi=2,657,915, was=2,456,350)"
2026-06-01 09:25:10,Reject,NIFTY 02 JUN 23650 PUT,4768920,5231005,-8.8,-462085,,,BELOW,"OI poll change +8.8% vs last scan (OI chg -462,085 | oi=4,768,920, was=5,231,005)"
2026-06-01 09:25:16,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +3,360,955 | New PE Vol: +12,396,735"
2026-06-01 09:26:07,Vol,NIFTY 02 JUN 23600 CALL,5840705,1483300,293.8,4357405,15935010,,,"periodic record vol=15,935,010 oi=5,840,705 (OI chg +4,357,405 +293.8%)"
2026-06-01 09:26:07,Vol,NIFTY 02 JUN 23550 CALL,1324505,775840,70.7,548665,3647735,,,"periodic record vol=3,647,735 oi=1,324,505 (OI chg +548,665 +70.7%)"
2026-06-01 09:26:07,Vol,NIFTY 02 JUN 23500 CALL,2657915,1629030,63.2,1028885,5041075,,,"periodic record vol=5,041,075 oi=2,657,915 (OI chg +1,028,885 +63.2%)"
2026-06-01 09:26:07,Vol,NIFTY 02 JUN 23600 PUT,8591050,4128215,108.1,4462835,39630175,,,"periodic record vol=39,630,175 oi=8,591,050 (OI chg +4,462,835 +108.1%)"
2026-06-01 09:26:07,Vol,NIFTY 02 JUN 23650 PUT,4768920,1461850,226.2,3307070,28754310,,,"periodic record vol=28,754,310 oi=4,768,920 (OI chg +3,307,070 +226.2%)"
2026-06-01 09:26:07,Vol,NIFTY 02 JUN 23700 PUT,7910370,4587050,72.5,3323320,26627445,,,"periodic record vol=26,627,445 oi=7,910,370 (OI chg +3,323,320 +72.5%)"
2026-06-01 09:26:13,Reject,NIFTY 02 JUN 23600 CALL,6273345,5840705,7.4,432640,,,ABOVE,"OI poll change +7.4% vs last scan (OI chg +432,640 | oi=6,273,345, was=5,840,705)"
2026-06-01 09:26:13,Reject,NIFTY 02 JUN 23550 CALL,1399125,1324505,5.6,74620,,,ABOVE,"OI poll change +5.6% vs last scan (OI chg +74,620 | oi=1,399,125, was=1,324,505)"
2026-06-01 09:26:13,Reject,NIFTY 02 JUN 23700 PUT,7407335,7910370,-6.4,-503035,,,BELOW,"OI poll change +6.4% vs last scan (OI chg -503,035 | oi=7,407,335, was=7,910,370)"
2026-06-01 09:26:20,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,117,895 | New PE Vol: +8,040,565"
2026-06-01 09:27:27,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,921,010 | New PE Vol: +5,138,445"
2026-06-01 09:28:16,Reject,NIFTY 02 JUN 23650 PUT,5231135,4974645,5.2,256490,,,ABOVE,"OI poll change +5.2% vs last scan (OI chg +256,490 | oi=5,231,135, was=4,974,645)"
2026-06-01 09:28:30,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,288,495 | New PE Vol: +3,928,600"
2026-06-01 09:29:33,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,337,245 | New PE Vol: +3,593,005"
2026-06-01 09:30:37,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,603,485 | New PE Vol: +5,493,150"
2026-06-01 09:31:08,Vol,NIFTY 02 JUN 23600 CALL,7317050,1483300,393.3,5833750,21329750,,,"periodic record vol=21,329,750 oi=7,317,050 (OI chg +5,833,750 +393.3%)"
2026-06-01 09:31:08,Vol,NIFTY 02 JUN 23550 CALL,1575405,775840,103.1,799565,4860960,,,"periodic record vol=4,860,960 oi=1,575,405 (OI chg +799,565 +103.1%)"
2026-06-01 09:31:08,Vol,NIFTY 02 JUN 23500 CALL,2981550,1629030,83.0,1352520,6439095,,,"periodic record vol=6,439,095 oi=2,981,550 (OI chg +1,352,520 +83.0%)"
2026-06-01 09:31:08,Vol,NIFTY 02 JUN 23600 PUT,10090990,4128215,144.4,5962775,51937210,,,"periodic record vol=51,937,210 oi=10,090,990 (OI chg +5,962,775 +144.4%)"
2026-06-01 09:31:08,Vol,NIFTY 02 JUN 23650 PUT,5353920,1461850,266.2,3892070,34399105,,,"periodic record vol=34,399,105 oi=5,353,920 (OI chg +3,892,070 +266.2%)"
2026-06-01 09:31:08,Vol,NIFTY 02 JUN 23700 PUT,7757035,4587050,69.1,3169985,31599750,,,"periodic record vol=31,599,750 oi=7,757,035 (OI chg +3,169,985 +69.1%)"
2026-06-01 09:31:37,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +3,271,905 | New PE Vol: +6,473,935"
2026-06-01 09:32:37,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,821,950 | New PE Vol: +4,511,130"
2026-06-01 09:33:43,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,641,860 | New PE Vol: +4,714,255"
2026-06-01 09:34:14,Reject,NIFTY 02 JUN 23600 PUT,11643125,11084970,5.0,558155,,,ABOVE,"OI poll change +5.0% vs last scan (OI chg +558,155 | oi=11,643,125, was=11,084,970)"
2026-06-01 09:34:49,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,485,445 | New PE Vol: +3,187,145"
2026-06-01 09:35:50,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,120,235 | New PE Vol: +5,201,495"
2026-06-01 09:36:11,Vol,NIFTY 02 JUN 23600 CALL,8263320,1483300,457.1,6780020,29411915,,,"periodic record vol=29,411,915 oi=8,263,320 (OI chg +6,780,020 +457.1%)"
2026-06-01 09:36:11,Vol,NIFTY 02 JUN 23550 CALL,1692015,775840,118.1,916175,6484725,,,"periodic record vol=6,484,725 oi=1,692,015 (OI chg +916,175 +118.1%)"
2026-06-01 09:36:11,Vol,NIFTY 02 JUN 23500 CALL,3131375,1629030,92.2,1502345,8531575,,,"periodic record vol=8,531,575 oi=3,131,375 (OI chg +1,502,345 +92.2%)"
2026-06-01 09:36:11,Vol,NIFTY 02 JUN 23600 PUT,11946350,4128215,189.4,7818135,65571285,,,"periodic record vol=65,571,285 oi=11,946,350 (OI chg +7,818,135 +189.4%)"
2026-06-01 09:36:11,Vol,NIFTY 02 JUN 23650 PUT,5685160,1461850,288.9,4223310,40734330,,,"periodic record vol=40,734,330 oi=5,685,160 (OI chg +4,223,310 +288.9%)"
2026-06-01 09:36:11,Vol,NIFTY 02 JUN 23700 PUT,8171020,4587050,78.1,3583970,37065600,,,"periodic record vol=37,065,600 oi=8,171,020 (OI chg +3,583,970 +78.1%)"
2026-06-01 09:36:52,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +4,806,555 | New PE Vol: +13,387,595"
2026-06-01 09:37:13,Reject,NIFTY 02 JUN 23550 CALL,1914315,1654055,15.7,260260,,,ABOVE,"OI poll change +15.7% vs last scan (OI chg +260,260 | oi=1,914,315, was=1,654,055)"
2026-06-01 09:37:13,Reject,NIFTY 02 JUN 23550 PUT,5415735,5154695,5.1,261040,,,ABOVE,"OI poll change +5.1% vs last scan (OI chg +261,040 | oi=5,415,735, was=5,154,695)"
2026-06-01 09:37:20,Reject,NIFTY 02 JUN 23600 PUT,10976290,11742120,-6.5,-765830,,,BELOW,"OI poll change +6.5% vs last scan (OI chg -765,830 | oi=10,976,290, was=11,742,120)"
2026-06-01 09:37:20,Reject,NIFTY 02 JUN 23650 PUT,5144425,5589220,-8.0,-444795,,,BELOW,"OI poll change +8.0% vs last scan (OI chg -444,795 | oi=5,144,425, was=5,589,220)"
2026-06-01 09:37:52,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +3,046,160 | New PE Vol: +7,866,365"
2026-06-01 09:38:56,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +3,520,075 | New PE Vol: +6,074,640"
2026-06-01 09:40:01,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +4,421,560 | New PE Vol: +5,561,855"
2026-06-01 09:41:03,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +5,109,260 | New PE Vol: +7,263,620"
2026-06-01 09:41:16,Vol,NIFTY 02 JUN 23600 CALL,9455420,1483300,537.5,7972120,42292055,,,"periodic record vol=42,292,055 oi=9,455,420 (OI chg +7,972,120 +537.5%)"
2026-06-01 09:41:16,Vol,NIFTY 02 JUN 23550 CALL,1885780,775840,143.1,1109940,10063820,,,"periodic record vol=10,063,820 oi=1,885,780 (OI chg +1,109,940 +143.1%)"
2026-06-01 09:41:17,Vol,NIFTY 02 JUN 23500 CALL,3350035,1629030,105.6,1721005,11840920,,,"periodic record vol=11,840,920 oi=3,350,035 (OI chg +1,721,005 +105.6%)"
2026-06-01 09:41:17,Vol,NIFTY 02 JUN 23600 PUT,11272885,4128215,173.1,7144670,86042840,,,"periodic record vol=86,042,840 oi=11,272,885 (OI chg +7,144,670 +173.1%)"
2026-06-01 09:41:17,Vol,NIFTY 02 JUN 23650 PUT,5182385,1461850,254.5,3720535,49428535,,,"periodic record vol=49,428,535 oi=5,182,385 (OI chg +3,720,535 +254.5%)"
2026-06-01 09:41:17,Vol,NIFTY 02 JUN 23700 PUT,7813195,4587050,70.3,3226145,44685095,,,"periodic record vol=44,685,095 oi=7,813,195 (OI chg +3,226,145 +70.3%)"
2026-06-01 09:42:05,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,594,215 | New PE Vol: +5,456,100"
2026-06-01 09:42:19,Reject,NIFTY 02 JUN 23600 PUT,11841765,11272885,5.0,568880,,,ABOVE,"OI poll change +5.0% vs last scan (OI chg +568,880 | oi=11,841,765, was=11,272,885)"
2026-06-01 09:42:19,Reject,NIFTY 02 JUN 23650 PUT,5481190,5182385,5.8,298805,,,ABOVE,"OI poll change +5.8% vs last scan (OI chg +298,805 | oi=5,481,190, was=5,182,385)"
2026-06-01 09:43:11,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,841,605 | New PE Vol: +6,991,790"
2026-06-01 09:44:16,Reject,NIFTY 02 JUN 23550 CALL,2107300,1989780,5.9,117520,,,ABOVE,"OI poll change +5.9% vs last scan (OI chg +117,520 | oi=2,107,300, was=1,989,780)"
2026-06-01 09:44:16,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,050,230 | New PE Vol: +4,150,510"
2026-06-01 09:45:19,Reject,NIFTY 02 JUN 23650 PUT,5223400,5513950,-5.3,-290550,,,BELOW,"OI poll change +5.3% vs last scan (OI chg -290,550 | oi=5,223,400, was=5,513,950)"
2026-06-01 09:45:20,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +3,145,285 | New PE Vol: +7,792,135"
2026-06-01 09:46:17,Reject,NIFTY 02 JUN 23550 CALL,2293915,2154360,6.5,139555,,,ABOVE,"OI poll change +6.5% vs last scan (OI chg +139,555 | oi=2,293,915, was=2,154,360)"
2026-06-01 09:46:17,Vol,NIFTY 02 JUN 23600 CALL,10445825,1483300,604.2,8962525,50623300,,,"periodic record vol=50,623,300 oi=10,445,825 (OI chg +8,962,525 +604.2%)"
2026-06-01 09:46:18,Vol,NIFTY 02 JUN 23550 CALL,2293915,775840,195.7,1518075,12332255,,,"periodic record vol=12,332,255 oi=2,293,915 (OI chg +1,518,075 +195.7%)"
2026-06-01 09:46:18,Vol,NIFTY 02 JUN 23500 CALL,3716960,1629030,128.2,2087930,13837980,,,"periodic record vol=13,837,980 oi=3,716,960 (OI chg +2,087,930 +128.2%)"
2026-06-01 09:46:18,Vol,NIFTY 02 JUN 23600 PUT,11722815,4128215,184.0,7594600,100947015,,,"periodic record vol=100,947,015 oi=11,722,815 (OI chg +7,594,600 +184.0%)"
2026-06-01 09:46:18,Vol,NIFTY 02 JUN 23650 PUT,5124730,1461850,250.6,3662880,56204720,,,"periodic record vol=56,204,720 oi=5,124,730 (OI chg +3,662,880 +250.6%)"
2026-06-01 09:46:18,Vol,NIFTY 02 JUN 23700 PUT,7490210,4587050,63.3,2903160,50362715,,,"periodic record vol=50,362,715 oi=7,490,210 (OI chg +2,903,160 +63.3%)"
2026-06-01 09:46:25,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,846,805 | New PE Vol: +4,367,545"
2026-06-01 09:47:31,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,806,025 | New PE Vol: +4,058,210"
2026-06-01 09:47:44,Reject,NIFTY 02 JUN 23450 CALL,393900,314275,25.3,79625,,,ABOVE,"OI poll change +25.3% vs last scan (OI chg +79,625 | oi=393,900, was=314,275)"
2026-06-01 09:47:44,Reject,NIFTY 02 JUN 23550 PUT,6435715,5415735,18.8,1019980,,,ABOVE,"OI poll change +18.8% vs last scan (OI chg +1,019,980 | oi=6,435,715, was=5,415,735)"
2026-06-01 09:48:36,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,838,875 | New PE Vol: +6,090,045"
2026-06-01 09:49:22,Reject,NIFTY 02 JUN 23550 CALL,2564705,2428075,5.6,136630,,,ABOVE,"OI poll change +5.6% vs last scan (OI chg +136,630 | oi=2,564,705, was=2,428,075)"
2026-06-01 09:49:42,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: -51,250,095 | New PE Vol: +803,270"
2026-06-01 09:50:47,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +56,273,685 | New PE Vol: +8,468,785"
2026-06-01 09:51:21,Vol,NIFTY 02 JUN 23600 CALL,11299990,1483300,661.8,9816690,57547750,,,"periodic record vol=57,547,750 oi=11,299,990 (OI chg +9,816,690 +661.8%)"
2026-06-01 09:51:21,Vol,NIFTY 02 JUN 23550 CALL,2611310,775840,236.6,1835470,14436045,,,"periodic record vol=14,436,045 oi=2,611,310 (OI chg +1,835,470 +236.6%)"
2026-06-01 09:51:21,Vol,NIFTY 02 JUN 23500 CALL,3906175,1629030,139.8,2277145,15575950,,,"periodic record vol=15,575,950 oi=3,906,175 (OI chg +2,277,145 +139.8%)"
2026-06-01 09:51:21,Vol,NIFTY 02 JUN 23600 PUT,11986260,4128215,190.3,7858045,113531795,,,"periodic record vol=113,531,795 oi=11,986,260 (OI chg +7,858,045 +190.3%)"
2026-06-01 09:51:21,Vol,NIFTY 02 JUN 23650 PUT,5032365,1461850,244.2,3570515,60964150,,,"periodic record vol=60,964,150 oi=5,032,365 (OI chg +3,570,515 +244.2%)"
2026-06-01 09:51:21,Vol,NIFTY 02 JUN 23700 PUT,7263165,4587050,58.3,2676115,54804360,,,"periodic record vol=54,804,360 oi=7,263,165 (OI chg +2,676,115 +58.3%)"
2026-06-01 09:51:49,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,778,075 | New PE Vol: +3,581,500"
2026-06-01 09:52:28,Reject,NIFTY 02 JUN 23450 CALL,457405,416325,9.9,41080,,,ABOVE,"OI poll change +9.9% vs last scan (OI chg +41,080 | oi=457,405, was=416,325)"
2026-06-01 09:52:55,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,285,635 | New PE Vol: +2,426,710"
2026-06-01 09:53:56,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,349,815 | New PE Vol: +3,862,170"
2026-06-01 09:55:02,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,596,335 | New PE Vol: +2,446,405"
2026-06-01 09:56:07,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,526,785 | New PE Vol: +2,740,660"
2026-06-01 09:56:27,Vol,NIFTY 02 JUN 23600 CALL,11666460,1483300,686.5,10183160,62642450,,,"periodic record vol=62,642,450 oi=11,666,460 (OI chg +10,183,160 +686.5%)"
2026-06-01 09:56:27,Vol,NIFTY 02 JUN 23550 CALL,2740205,775840,253.2,1964365,15979925,,,"periodic record vol=15,979,925 oi=2,740,205 (OI chg +1,964,365 +253.2%)"
2026-06-01 09:56:27,Vol,NIFTY 02 JUN 23500 CALL,4072965,1629030,150.0,2443935,16890250,,,"periodic record vol=16,890,250 oi=4,072,965 (OI chg +2,443,935 +150.0%)"
2026-06-01 09:56:27,Vol,NIFTY 02 JUN 23600 PUT,12810330,4128215,210.3,8682115,121541030,,,"periodic record vol=121,541,030 oi=12,810,330 (OI chg +8,682,115 +210.3%)"
