test_date,symbol,option_type,strike,strategy,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason
2025-01-01,NIFTY 1 JAN 23600 PE,PE,23600,General Buy / Sell,95.0,09:48:00 IST,09:54:00 IST,8.61,8.075,-6.39,-6.21,Failure,time_cutoff_6m
2025-01-01,NIFTY 1 JAN 23700 PE,PE,23700,General Buy / Sell,95.0,11:57:00 IST,12:03:00 IST,5.52,4.0625,-9.48,-26.4,Failure,time_cutoff_6m
2025-01-01,NIFTY 1 JAN 23800 CE,CE,23800,General Buy / Sell,85.0,14:06:00 IST,14:18:00 IST,85.07,89.075,74.08,4.71,Success,time_cutoff_12m
2025-01-02,NIFTY 2 JAN 23850 CE,CE,23850,General Buy / Sell,85.0,10:22:00 IST,10:28:00 IST,70.93,72.0125,57.01,1.53,Success,time_cutoff_6m
2025-01-02,NIFTY 2 JAN 23950 PE,PE,23950,General Buy / Sell,95.0,11:52:00 IST,11:58:00 IST,22.75,21.1625,7.75,-6.98,Failure,time_cutoff_6m
2025-01-02,NIFTY 2 JAN 24050 CE,CE,24050,General Buy / Sell,85.0,12:39:00 IST,12:51:00 IST,39.96,41.25,26.25,3.23,Success,time_cutoff_12m
2025-01-03,NIFTY 3 JAN 24100 PE,PE,24100,General Buy / Sell,95.0,13:47:00 IST,13:53:00 IST,42.33,42.5625,27.56,0.55,Success,time_cutoff_6m
2025-01-06,NIFTY 6 JAN 23950 PE,PE,23950,General Buy / Sell,95.0,09:49:00 IST,10:15:00 IST,62.23,70.28,70.28,12.94,Success,stop_loss_hit
2025-01-06,NIFTY 6 JAN 23900 PE,PE,23900,General Buy / Sell,95.0,10:43:00 IST,10:49:00 IST,60.93,56.1375,45.93,-7.87,Failure,time_cutoff_6m
2025-01-06,NIFTY 6 JAN 23750 PE,PE,23750,General Buy / Sell,95.0,11:22:00 IST,11:28:00 IST,34.39,33.2375,19.39,-3.35,Failure,time_cutoff_6m
2025-01-06,NIFTY 6 JAN 23700 PE,PE,23700,General Buy / Sell,95.0,11:48:00 IST,11:54:00 IST,28.03,28.025,13.03,-0.02,Failure,time_cutoff_6m
2025-01-06,NIFTY 6 JAN 23650 PE,PE,23650,General Buy / Sell,95.0,12:02:00 IST,12:08:00 IST,23.07,24.4625,9.46,6.04,Success,time_cutoff_6m
2025-01-07,NIFTY 7 JAN 23700 PE,PE,23700,General Buy / Sell,95.0,10:00:00 IST,10:06:00 IST,25.22,23.9375,10.22,-5.09,Failure,time_cutoff_6m
2025-01-07,NIFTY 7 JAN 23650 PE,PE,23650,General Buy / Sell,85.0,10:11:00 IST,10:17:00 IST,21.51,18.4125,6.51,-14.4,Failure,time_cutoff_6m
