symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 24 JUL 24750 CE,10:34:00 IST,24-07-25 10:34:00 IST,214.0,62.253647788083,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:35:00 IST,24-07-25 10:35:00 IST,213.0,62.53542483490568,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:36:00 IST,24-07-25 10:36:00 IST,213.0,60.665877853819836,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:37:00 IST,24-07-25 10:37:00 IST,213.0,61.52754009697207,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:38:00 IST,24-07-25 10:38:00 IST,213.0,59.59441247496774,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:39:00 IST,24-07-25 10:39:00 IST,213.0,48.36281574165137,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:40:00 IST,24-07-25 10:40:00 IST,208.25,47.8482982075916,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:41:00 IST,24-07-25 10:41:00 IST,208.25,48.43903540218429,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:42:00 IST,24-07-25 10:42:00 IST,208.25,38.70180057274697,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:43:00 IST,24-07-25 10:43:00 IST,208.25,41.61280014112202,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:44:00 IST,24-07-25 10:44:00 IST,208.25,42.918783524127726,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:45:00 IST,24-07-25 10:45:00 IST,216.05,47.867984438469264,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:46:00 IST,24-07-25 10:46:00 IST,216.05,53.84949838354137,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:47:00 IST,24-07-25 10:47:00 IST,216.05,46.65838652788077,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:48:00 IST,24-07-25 10:48:00 IST,216.05,52.01276773247125,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:49:00 IST,24-07-25 10:49:00 IST,216.05,49.17750664925961,201.14,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:50:00 IST,24-07-25 10:50:00 IST,216.25,48.29159713289618,201.14,TRAIL,continuous_trailing
NIFTY 24 JUL 24750 CE,10:51:00 IST,24-07-25 10:51:00 IST,216.25,47.2526548519913,201.25,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:52:00 IST,24-07-25 10:52:00 IST,216.25,52.37978195737815,201.25,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:53:00 IST,24-07-25 10:53:00 IST,216.25,50.18535073279351,201.25,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:54:00 IST,24-07-25 10:54:00 IST,216.25,51.83173073197546,201.25,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:55:00 IST,24-07-25 10:55:00 IST,210.0,53.67827790681838,201.25,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:56:00 IST,24-07-25 10:56:00 IST,210.0,43.484073010967776,201.25,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:57:00 IST,24-07-25 10:57:00 IST,210.0,43.09603196302345,201.25,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:58:00 IST,24-07-25 10:58:00 IST,210.0,46.88771824756053,201.25,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,10:59:00 IST,24-07-25 10:59:00 IST,210.0,43.02816230144087,201.25,HOLD,no_exit_condition_met
NIFTY 24 JUL 24750 CE,11:00:00 IST,24-07-25 11:00:00 IST,214.0,46.66506234039508,201.25,HOLD,no_exit_condition_met
