datetime_ist,best_ce_score,best_pe_score,trigger_1m_ce,trigger_1m_pe,entry_allowed
13-02-26 09:15:00 IST,,,False,False,True
13-02-26 09:16:00 IST,,,False,False,True
13-02-26 09:17:00 IST,,,False,False,True
13-02-26 09:18:00 IST,,,False,False,True
13-02-26 09:20:00 IST,,,False,False,True
13-02-26 09:22:00 IST,,,False,False,True
13-02-26 09:24:00 IST,,,False,False,True
13-02-26 09:26:00 IST,,,False,False,True
13-02-26 09:28:00 IST,,,False,False,True
13-02-26 09:31:00 IST,,,False,False,True
13-02-26 09:34:00 IST,,,False,False,True
13-02-26 09:36:00 IST,,,False,False,True
13-02-26 09:39:00 IST,,,False,False,True
13-02-26 09:41:00 IST,,,False,False,True
13-02-26 09:43:00 IST,,,False,False,True
13-02-26 09:45:00 IST,,,False,False,True
13-02-26 09:47:00 IST,,,False,False,True
13-02-26 09:50:00 IST,,,False,False,True
13-02-26 09:53:00 IST,,,False,False,True
13-02-26 09:57:00 IST,,,False,False,True
13-02-26 10:01:00 IST,,,False,False,True
13-02-26 10:04:00 IST,,,False,False,True
13-02-26 10:09:00 IST,,,False,False,True
13-02-26 10:13:00 IST,,,False,False,True
13-02-26 10:17:00 IST,,,False,False,True
13-02-26 10:20:00 IST,,,False,False,True
13-02-26 10:24:00 IST,,,False,False,True
13-02-26 10:25:00 IST,,,False,False,True
13-02-26 10:28:00 IST,,,False,False,True
13-02-26 10:32:00 IST,35,75,False,False,True
13-02-26 10:35:00 IST,60,25,False,False,True
13-02-26 10:38:00 IST,85,0,False,False,True
13-02-26 10:41:00 IST,94.0,10,False,False,True
13-02-26 10:44:00 IST,69.0,0,False,False,True
13-02-26 10:47:00 IST,60,25,False,False,True
13-02-26 10:51:00 IST,,70,False,False,True
13-02-26 10:56:00 IST,,25,False,False,True
13-02-26 11:01:00 IST,,45,False,False,True
13-02-26 11:06:00 IST,,45,False,False,True
13-02-26 11:11:00 IST,,70,False,False,True
13-02-26 11:15:00 IST,40,70,False,False,True
13-02-26 11:20:00 IST,15,95,False,False,True
13-02-26 11:25:00 IST,15,95,False,False,True
13-02-26 11:29:00 IST,15,95,False,False,True
13-02-26 11:35:00 IST,15,95,False,False,True
13-02-26 11:40:00 IST,15,95,False,False,True
13-02-26 11:44:00 IST,15,95,False,False,True
13-02-26 11:47:00 IST,15,95,False,False,True
13-02-26 11:52:00 IST,35,75,False,False,True
13-02-26 11:56:00 IST,35,75,False,False,True
13-02-26 12:01:00 IST,60,,False,False,True
13-02-26 12:06:00 IST,60,,False,False,True
13-02-26 12:10:00 IST,60,,False,False,True
13-02-26 12:13:00 IST,60,,False,False,True
13-02-26 12:16:00 IST,60,,False,False,True
13-02-26 12:20:00 IST,69.0,0,False,False,True
13-02-26 12:25:00 IST,69.0,10,False,False,True
13-02-26 12:29:00 IST,69.0,10,False,False,True
13-02-26 12:33:00 IST,69.0,10,False,False,True
13-02-26 12:36:00 IST,69.0,10,False,False,True
13-02-26 12:40:00 IST,94.0,,False,False,True
13-02-26 12:45:00 IST,69.0,,False,False,True
13-02-26 12:48:00 IST,69.0,,False,False,True
13-02-26 12:52:00 IST,40,,False,False,True
13-02-26 12:57:00 IST,15,,False,False,True
13-02-26 13:02:00 IST,0,,False,False,True
13-02-26 13:07:00 IST,0,,False,False,True
13-02-26 13:12:00 IST,60,,False,False,True
13-02-26 13:16:00 IST,35,,False,False,True
13-02-26 13:23:00 IST,60,,False,False,True
13-02-26 13:29:00 IST,,,False,False,True
13-02-26 13:34:00 IST,,,False,False,True
13-02-26 13:40:00 IST,,,False,False,True
13-02-26 13:46:00 IST,,,False,False,True
13-02-26 13:50:00 IST,,,False,False,True
13-02-26 13:54:00 IST,,,False,False,True
13-02-26 13:58:00 IST,,,False,False,True
13-02-26 14:01:00 IST,,,False,False,True
13-02-26 14:05:00 IST,,,False,False,True
13-02-26 14:07:00 IST,,,False,False,True
13-02-26 14:11:00 IST,,,False,False,True
13-02-26 14:16:00 IST,,,False,False,True
13-02-26 14:20:00 IST,,,False,False,True
13-02-26 14:25:00 IST,,,False,False,True
13-02-26 14:29:00 IST,,,False,False,True
13-02-26 14:34:00 IST,,,False,False,False
13-02-26 14:38:00 IST,,,False,False,False
13-02-26 14:42:00 IST,,,False,False,False
13-02-26 14:46:00 IST,,,False,False,False
13-02-26 14:49:00 IST,,,False,False,False
13-02-26 14:53:00 IST,,,False,False,False
13-02-26 14:56:00 IST,,,False,False,False
13-02-26 14:59:00 IST,,,False,False,False
13-02-26 15:01:00 IST,,,False,False,False
13-02-26 15:03:00 IST,,,False,False,False
13-02-26 15:05:00 IST,,,False,False,False
13-02-26 15:07:00 IST,,,False,False,False
13-02-26 15:09:00 IST,,,False,False,False
13-02-26 15:11:00 IST,,,False,False,False
13-02-26 15:13:00 IST,,,False,False,False
13-02-26 15:15:00 IST,,,False,False,False
13-02-26 15:17:00 IST,,,False,False,False
13-02-26 15:19:00 IST,,,False,False,False
13-02-26 15:21:00 IST,,,False,False,False
13-02-26 15:23:00 IST,,,False,False,False
13-02-26 15:24:00 IST,,,False,False,False
13-02-26 15:25:00 IST,,,False,False,False
13-02-26 15:26:00 IST,,,False,False,False
13-02-26 15:28:00 IST,,,False,False,False
