symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 18 MAY 23900 PE,09:49:00 IST,18-05-26 09:49:00 IST,165.5,32.98494982891481,150.5,HOLD,Momentum intact
NIFTY 18 MAY 23900 PE,09:50:00 IST,18-05-26 09:50:00 IST,204.7,34.170636635094496,150.5,TRAIL,PROFIT_LOCK
NIFTY 18 MAY 23900 PE,09:51:00 IST,18-05-26 09:51:00 IST,204.7,27.001298136062104,194.46,HOLD,Momentum intact
NIFTY 18 MAY 23900 PE,09:52:00 IST,18-05-26 09:52:00 IST,204.7,36.201780410418536,194.46,HOLD,Momentum intact
NIFTY 18 MAY 23900 PE,09:53:00 IST,18-05-26 09:53:00 IST,204.7,38.0259740204438,194.46,HOLD,Momentum intact
NIFTY 18 MAY 23900 PE,09:54:00 IST,18-05-26 09:54:00 IST,204.7,33.77065111299477,194.46,HOLD,Momentum intact
NIFTY 18 MAY 23900 PE,09:55:00 IST,18-05-26 09:55:00 IST,216.9,30.174180323540668,194.46,TRAIL,PROFIT_LOCK
NIFTY 18 MAY 23900 PE,09:56:00 IST,18-05-26 09:56:00 IST,216.9,38.05215539613882,206.06,HOLD,Momentum intact
NIFTY 18 MAY 23900 PE,09:57:00 IST,18-05-26 09:57:00 IST,216.9,19.96073298063604,206.06,HOLD,Momentum intact
NIFTY 18 MAY 23900 PE,09:58:00 IST,18-05-26 09:58:00 IST,216.9,14.338010979856719,206.06,HOLD,Momentum intact
NIFTY 18 MAY 23900 PE,09:59:00 IST,18-05-26 09:59:00 IST,216.9,19.017230373118863,206.06,HOLD,Momentum intact
NIFTY 18 MAY 23900 PE,10:00:00 IST,18-05-26 10:00:00 IST,237.6,35.94001070698363,206.06,TRAIL,PROFIT_LOCK
NIFTY 18 MAY 23900 PE,10:01:00 IST,18-05-26 10:01:00 IST,237.6,38.27421915790513,225.72,HOLD,Momentum intact
NIFTY 18 MAY 23900 PE,10:02:00 IST,18-05-26 10:02:00 IST,237.6,44.46965399180298,225.72,HOLD,Momentum intact
NIFTY 18 MAY 23900 PE,10:03:00 IST,18-05-26 10:03:00 IST,237.6,56.77139760785678,225.72,EXIT,SUPERTREND_REVERSAL
