date,trade id,time ist,event,symbol,option_type,price,trailing_sl,rsi,oi,outcome
16-03-26,2026-03-16_47,10:02:00 IST,BUY,NIFTY 16 MAR 23700 PE,PE,224.25,189.25,38.03623365897532,1731730,
16-03-26,2026-03-16_47,10:20:00 IST,SELL,NIFTY 16 MAR 23700 PE,PE,169.25,189.25,27.19761765840407,2171910,Failure
16-03-26,2026-03-16_94,10:49:00 IST,BUY,NIFTY 16 MAR 23800 PE,PE,330.25,295.25,36.86642120927553,667810,
16-03-26,2026-03-16_94,10:50:00 IST,SELL,NIFTY 16 MAR 23800 PE,PE,284.65,295.25,36.402864233102505,660465,Failure
16-03-26,2026-03-16_96,10:51:00 IST,BUY,NIFTY 16 MAR 23900 PE,PE,378.95,343.95,32.90024589863968,319865,
16-03-26,2026-03-16_96,11:35:00 IST,SELL,NIFTY 16 MAR 23900 PE,PE,378.95,439.65,67.19441078607804,319865,Breakeven
16-03-26,2026-03-16_200,12:35:00 IST,BUY,NIFTY 16 MAR 23750 PE,PE,345.2,310.2,36.786772448082914,217360,
16-03-26,2026-03-16_200,12:45:00 IST,SELL,NIFTY 16 MAR 23750 PE,PE,307.15,310.2,46.83582940949166,218530,Failure
16-03-26,2026-03-16_231,13:06:00 IST,BUY,NIFTY 16 MAR 23650 PE,PE,161.1,126.1,40.01365354705819,746525,
16-03-26,2026-03-16_231,13:20:00 IST,SELL,NIFTY 16 MAR 23650 PE,PE,116.6,126.1,57.15104716134637,1000350,Failure
16-03-26,2026-03-16_274,13:49:00 IST,BUY,NIFTY 16 MAR 24000 PE,PE,476.75,441.75,40.907492448676464,579475,
16-03-26,2026-03-16_274,14:05:00 IST,SELL,NIFTY 16 MAR 24000 PE,PE,439.75,441.75,49.18495840008952,577655,Failure
16-03-26,2026-03-16_304,14:19:00 IST,BUY,NIFTY 16 MAR 23500 CE,CE,102.95,67.95,68.62339584675337,11404055,
16-03-26,2026-03-16_304,14:25:00 IST,SELL,NIFTY 16 MAR 23500 CE,CE,53.8,67.95,84.16865623291794,11385465,Failure
