symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 10 MAR 22600 PE,12:05:00 IST,10-03-25 12:05:00 IST,205.0,24.220519183873662,177.91,TRAIL,continuous_trailing
NIFTY 10 MAR 22600 PE,12:06:00 IST,10-03-25 12:06:00 IST,205.0,24.309461824760334,190.0,HOLD,no_exit_condition_met
NIFTY 10 MAR 22600 PE,12:07:00 IST,10-03-25 12:07:00 IST,205.0,26.537985021207703,190.0,HOLD,no_exit_condition_met
NIFTY 10 MAR 22600 PE,12:08:00 IST,10-03-25 12:08:00 IST,205.0,31.59858620550102,190.0,HOLD,no_exit_condition_met
NIFTY 10 MAR 22600 PE,12:09:00 IST,10-03-25 12:09:00 IST,205.0,31.26721473335833,190.0,HOLD,no_exit_condition_met
NIFTY 10 MAR 22600 PE,12:10:00 IST,10-03-25 12:10:00 IST,176.8,25.77322468982497,190.0,EXIT,stop_loss_hit
NIFTY 10 MAR 22550 PE,14:19:00 IST,10-03-25 14:19:00 IST,126.45,32.12338398764487,112.71,HOLD,no_exit_condition_met
NIFTY 10 MAR 22550 PE,14:20:00 IST,10-03-25 14:20:00 IST,135.5,21.67999817878649,112.71,TRAIL,continuous_trailing
NIFTY 10 MAR 22550 PE,14:21:00 IST,10-03-25 14:21:00 IST,135.5,23.236278214540107,120.5,HOLD,no_exit_condition_met
NIFTY 10 MAR 22550 PE,14:22:00 IST,10-03-25 14:22:00 IST,135.5,21.633767092989075,120.5,HOLD,no_exit_condition_met
NIFTY 10 MAR 22550 PE,14:23:00 IST,10-03-25 14:23:00 IST,135.5,23.031146555934555,120.5,HOLD,no_exit_condition_met
NIFTY 10 MAR 22550 PE,14:24:00 IST,10-03-25 14:24:00 IST,135.5,19.180488988520594,120.5,HOLD,no_exit_condition_met
NIFTY 10 MAR 22550 PE,14:25:00 IST,10-03-25 14:25:00 IST,138.4,16.640269950859093,120.5,TRAIL,continuous_trailing
NIFTY 10 MAR 22550 PE,14:26:00 IST,10-03-25 14:26:00 IST,138.4,14.600576361712214,123.4,HOLD,no_exit_condition_met
NIFTY 10 MAR 22550 PE,14:27:00 IST,10-03-25 14:27:00 IST,138.4,20.78688277399992,123.4,HOLD,no_exit_condition_met
NIFTY 10 MAR 22550 PE,14:28:00 IST,10-03-25 14:28:00 IST,138.4,18.96679826753065,123.4,HOLD,no_exit_condition_met
NIFTY 10 MAR 22550 PE,14:29:00 IST,10-03-25 14:29:00 IST,138.4,19.131376870618425,123.4,HOLD,no_exit_condition_met
NIFTY 10 MAR 22550 PE,14:30:00 IST,10-03-25 14:30:00 IST,128.7,15.512285350769105,123.4,EXIT,time_cutoff_12m
