datetime_ist,best_ce_score,best_pe_score,trigger_1m_ce,trigger_1m_pe,entry_allowed
23-03-26 09:15:00 IST,,,False,False,True
23-03-26 09:16:00 IST,,,False,False,True
23-03-26 09:17:00 IST,,,False,False,True
23-03-26 09:18:00 IST,,,False,False,True
23-03-26 09:19:00 IST,,,False,False,True
23-03-26 09:20:00 IST,,,False,False,True
23-03-26 09:21:00 IST,,,False,False,True
23-03-26 09:22:00 IST,,,False,False,True
23-03-26 09:23:00 IST,,,False,False,True
23-03-26 09:25:00 IST,,,False,False,True
23-03-26 09:27:00 IST,,,False,False,True
23-03-26 09:29:00 IST,,,False,False,True
23-03-26 09:31:00 IST,,,False,False,True
23-03-26 09:33:00 IST,,,False,False,True
23-03-26 09:35:00 IST,,,False,False,True
23-03-26 09:37:00 IST,,,False,False,True
23-03-26 09:39:00 IST,,,False,False,True
23-03-26 09:41:00 IST,,,False,False,True
23-03-26 09:43:00 IST,,,False,False,True
23-03-26 09:45:00 IST,,,False,False,True
23-03-26 09:47:00 IST,,,False,False,True
23-03-26 09:49:00 IST,,,False,False,True
23-03-26 09:51:00 IST,,,False,False,True
23-03-26 09:53:00 IST,,,False,False,True
23-03-26 09:55:00 IST,,,False,False,True
23-03-26 09:56:00 IST,,,False,False,True
23-03-26 09:58:00 IST,,,False,False,True
23-03-26 10:00:00 IST,,,False,False,True
23-03-26 10:02:00 IST,,,False,False,True
23-03-26 10:05:00 IST,50,60,False,False,True
23-03-26 10:08:00 IST,,94.0,False,False,True
23-03-26 10:10:00 IST,,94.0,False,False,True
23-03-26 10:13:00 IST,,94.0,False,False,True
23-03-26 10:16:00 IST,,94.0,False,False,True
23-03-26 10:19:00 IST,,94.0,False,False,True
23-03-26 10:22:00 IST,,94.0,False,False,True
23-03-26 10:25:00 IST,,94.0,False,False,True
23-03-26 10:29:00 IST,,94.0,False,False,True
23-03-26 10:32:00 IST,,94.0,False,False,True
23-03-26 10:35:00 IST,,69.0,False,False,True
23-03-26 10:37:00 IST,50,85,False,False,True
23-03-26 10:39:00 IST,50,85,False,False,True
23-03-26 10:42:00 IST,10,94.0,False,False,True
23-03-26 10:45:00 IST,10,94.0,False,False,True
23-03-26 10:48:00 IST,10,94.0,False,False,True
23-03-26 10:51:00 IST,10,,False,False,True
23-03-26 10:54:00 IST,0,,False,False,True
23-03-26 10:57:00 IST,0,,False,False,True
23-03-26 11:00:00 IST,,94.0,False,False,True
23-03-26 11:03:00 IST,0,,False,False,True
23-03-26 11:06:00 IST,40,85,False,False,True
23-03-26 11:08:00 IST,,65,False,False,True
23-03-26 11:12:00 IST,,60,False,False,True
23-03-26 11:15:00 IST,,60,False,False,True
23-03-26 11:19:00 IST,,60,False,False,True
23-03-26 11:23:00 IST,40,85,False,False,True
23-03-26 11:27:00 IST,15,60,False,False,True
23-03-26 11:31:00 IST,15,60,False,False,True
23-03-26 11:33:00 IST,,85,False,False,True
23-03-26 11:37:00 IST,15,60,False,False,True
23-03-26 11:42:00 IST,15,60,False,False,True
23-03-26 11:46:00 IST,40,85,False,False,True
23-03-26 11:50:00 IST,40,85,False,False,True
23-03-26 11:54:00 IST,60,65,False,False,True
23-03-26 11:58:00 IST,60,65,False,False,True
23-03-26 12:02:00 IST,,95,False,False,True
23-03-26 12:06:00 IST,,95,False,False,True
23-03-26 12:10:00 IST,,95,False,False,True
23-03-26 12:15:00 IST,,95,False,False,True
23-03-26 12:18:00 IST,,70,False,False,True
23-03-26 12:21:00 IST,,60,False,False,True
23-03-26 12:25:00 IST,,94.0,False,False,True
23-03-26 12:27:00 IST,,94.0,False,False,True
23-03-26 12:30:00 IST,,85,False,False,True
23-03-26 12:34:00 IST,,60,False,False,True
23-03-26 12:38:00 IST,45,65,False,False,True
23-03-26 12:42:00 IST,50,85,False,False,True
23-03-26 12:46:00 IST,50,85,False,False,True
23-03-26 12:50:00 IST,,65,False,False,True
23-03-26 12:53:00 IST,,60,False,False,True
23-03-26 12:57:00 IST,40,,False,False,True
23-03-26 13:00:00 IST,40,,False,False,True
23-03-26 13:04:00 IST,0,,False,False,True
23-03-26 13:07:00 IST,40,,False,False,True
23-03-26 13:11:00 IST,40,,False,False,True
23-03-26 13:14:00 IST,0,94.0,False,False,True
23-03-26 13:17:00 IST,40,60,False,False,True
23-03-26 13:20:00 IST,40,60,False,False,True
23-03-26 13:23:00 IST,40,60,False,False,True
23-03-26 13:26:00 IST,40,60,False,False,True
23-03-26 13:29:00 IST,40,60,False,False,True
23-03-26 13:31:00 IST,60,40,False,False,True
23-03-26 13:34:00 IST,40,60,False,False,True
23-03-26 13:37:00 IST,60,40,False,False,True
23-03-26 13:41:00 IST,60,65,False,False,True
23-03-26 13:44:00 IST,,0,False,False,True
23-03-26 13:46:00 IST,69.0,0,False,False,True
23-03-26 13:48:00 IST,69.0,0,False,False,True
23-03-26 13:50:00 IST,94.0,0,False,False,True
23-03-26 13:52:00 IST,94.0,0,False,False,True
23-03-26 13:54:00 IST,94.0,,False,False,True
23-03-26 13:56:00 IST,94.0,,True,False,True
23-03-26 15:11:00 IST,,,False,False,False
23-03-26 15:13:00 IST,,,False,False,False
23-03-26 15:15:00 IST,,,False,False,False
23-03-26 15:16:00 IST,,,False,False,False
23-03-26 15:17:00 IST,,,False,False,False
23-03-26 15:19:00 IST,,,False,False,False
23-03-26 15:20:00 IST,,,False,False,False
23-03-26 15:21:00 IST,,,False,False,False
23-03-26 15:22:00 IST,,,False,False,False
23-03-26 15:24:00 IST,,,False,False,False
23-03-26 15:25:00 IST,,,False,False,False
23-03-26 15:26:00 IST,,,False,False,False
23-03-26 15:28:00 IST,,,False,False,False
