timestamp,alert_type,symbol,oi,prev_oi,oi_change_pct,oi_delta,volume_1m,volume_ema_20,cross_direction,message
2026-06-04 09:43:28,Vol,NIFTY 09 JUN 23350 CALL,2780310,886210,213.7,1894100,16203525,,,"periodic record vol=16,203,525 oi=2,780,310 (OI chg +1,894,100 +213.7%)"
2026-06-04 09:43:30,Vol,NIFTY 09 JUN 23300 CALL,6654180,4444960,49.7,2209220,21576880,,,"periodic record vol=21,576,880 oi=6,654,180 (OI chg +2,209,220 +49.7%)"
2026-06-04 09:43:32,Vol,NIFTY 09 JUN 23250 CALL,946790,586365,61.5,360425,4949750,,,"periodic record vol=4,949,750 oi=946,790 (OI chg +360,425 +61.5%)"
2026-06-04 09:43:33,Vol,NIFTY 09 JUN 23350 PUT,3079570,1507740,104.3,1571830,16659435,,,"periodic record vol=16,659,435 oi=3,079,570 (OI chg +1,571,830 +104.3%)"
2026-06-04 09:43:34,Vol,NIFTY 09 JUN 23400 PUT,4407585,3773640,16.8,633945,14576575,,,"periodic record vol=14,576,575 oi=4,407,585 (OI chg +633,945 +16.8%)"
2026-06-04 09:43:36,Vol,NIFTY 09 JUN 23450 PUT,883350,855920,3.2,27430,3155165,,,"periodic record vol=3,155,165 oi=883,350 (OI chg +27,430 +3.2%)"
2026-06-04 09:44:47,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,222,975 | New PE Vol: +999,960"
2026-06-04 09:45:47,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,805,440 | New PE Vol: +1,323,205"
2026-06-04 09:46:48,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,285,375 | New PE Vol: +875,290"
2026-06-04 09:47:49,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +824,980 | New PE Vol: +1,133,730"
2026-06-04 09:48:30,Vol,NIFTY 09 JUN 23400 CALL,5114200,2736955,86.9,2377245,21283730,,,"periodic record vol=21,283,730 oi=5,114,200 (OI chg +2,377,245 +86.9%)"
2026-06-04 09:48:32,Vol,NIFTY 09 JUN 23350 CALL,2906540,886210,228.0,2020330,18865925,,,"periodic record vol=18,865,925 oi=2,906,540 (OI chg +2,020,330 +228.0%)"
2026-06-04 09:48:33,Vol,NIFTY 09 JUN 23300 CALL,6326255,4444960,42.3,1881295,24531390,,,"periodic record vol=24,531,390 oi=6,326,255 (OI chg +1,881,295 +42.3%)"
2026-06-04 09:48:35,Vol,NIFTY 09 JUN 23400 PUT,4812470,3773640,27.5,1038830,16815110,,,"periodic record vol=16,815,110 oi=4,812,470 (OI chg +1,038,830 +27.5%)"
2026-06-04 09:48:37,Vol,NIFTY 09 JUN 23450 PUT,932620,855920,9.0,76700,3623815,,,"periodic record vol=3,623,815 oi=932,620 (OI chg +76,700 +9.0%)"
2026-06-04 09:48:38,Vol,NIFTY 09 JUN 23500 PUT,4877990,4753060,2.6,124930,6813690,,,"periodic record vol=6,813,690 oi=4,877,990 (OI chg +124,930 +2.6%)"
2026-06-04 09:48:50,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +17,547,660 | New PE Vol: -11,195,470"
2026-06-04 09:50:00,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +3,873,155 | New PE Vol: +1,164,475"
2026-06-04 09:51:09,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,985,230 | New PE Vol: +993,590"
2026-06-04 09:52:09,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,354,535 | New PE Vol: +721,240"
2026-06-04 09:53:11,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +675,415 | New PE Vol: +343,655"
2026-06-04 09:53:32,Vol,NIFTY 09 JUN 23400 CALL,5369845,2736955,96.2,2632890,25219155,,,"periodic record vol=25,219,155 oi=5,369,845 (OI chg +2,632,890 +96.2%)"
2026-06-04 09:53:33,Vol,NIFTY 09 JUN 23350 CALL,2718040,886210,206.7,1831830,21390070,,,"periodic record vol=21,390,070 oi=2,718,040 (OI chg +1,831,830 +206.7%)"
2026-06-04 09:53:34,Vol,NIFTY 09 JUN 23300 CALL,6235385,4444960,40.3,1790425,26987480,,,"periodic record vol=26,987,480 oi=6,235,385 (OI chg +1,790,425 +40.3%)"
2026-06-04 09:53:36,Vol,NIFTY 09 JUN 23400 PUT,5137275,3773640,36.1,1363635,19019910,,,"periodic record vol=19,019,910 oi=5,137,275 (OI chg +1,363,635 +36.1%)"
2026-06-04 09:53:37,Vol,NIFTY 09 JUN 23450 PUT,1008735,855920,17.9,152815,4124835,,,"periodic record vol=4,124,835 oi=1,008,735 (OI chg +152,815 +17.9%)"
2026-06-04 09:53:38,Vol,NIFTY 09 JUN 23500 PUT,4981925,4753060,4.8,228865,7711860,,,"periodic record vol=7,711,860 oi=4,981,925 (OI chg +228,865 +4.8%)"
2026-06-04 09:54:19,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,009,710 | New PE Vol: +503,425"
2026-06-04 09:55:19,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +1,731,015 | New PE Vol: +539,760"
2026-06-04 09:56:20,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +2,933,905 | New PE Vol: +1,192,490"
2026-06-04 09:57:20,Reject,NIFTY 09 JUN 23400 CALL,5005130,5386550,-7.1,-381420,,,BELOW,"OI poll change +7.1% vs last scan (OI chg -381,420 | oi=5,005,130, was=5,386,550)"
2026-06-04 09:57:21,Reject,NIFTY 09 JUN 23350 CALL,2295085,2590380,-11.4,-295295,,,BELOW,"OI poll change +11.4% vs last scan (OI chg -295,295 | oi=2,295,085, was=2,590,380)"
2026-06-04 09:57:23,Reject,NIFTY 09 JUN 23450 PUT,1068405,997620,7.1,70785,,,ABOVE,"OI poll change +7.1% vs last scan (OI chg +70,785 | oi=1,068,405, was=997,620)"
2026-06-04 09:57:25,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: -11,261,900 | New PE Vol: -18,402,020"
2026-06-04 09:58:26,Reject,NIFTY 09 JUN 23400 CALL,4529720,5005130,-9.5,-475410,,,BELOW,"OI poll change +9.5% vs last scan (OI chg -475,410 | oi=4,529,720, was=5,005,130)"
