date,trade id,time ist,event,symbol,option_type,price,trailing_sl,rsi,oi,outcome
10-07-25,2025-10-07_38,09:53:00 IST,BUY,NIFTY 7 OCT 24800 CE,CE,419.3,335.44,68.20348033602208,501150,
10-07-25,2025-10-07_38,10:35:00 IST,SELL,NIFTY 7 OCT 24800 CE,CE,335.44,335.44,44.71837613930334,519900,Failure
10-07-25,2025-10-07_100,10:55:00 IST,BUY,NIFTY 7 OCT 25200 PE,PE,196.09,156.87,42.335320771109,4152525,
10-07-25,2025-10-07_100,11:30:00 IST,SELL,NIFTY 7 OCT 25200 PE,PE,156.87,156.87,47.386900905703754,3958800,Failure
10-07-25,2025-10-07_142,11:37:00 IST,BUY,NIFTY 7 OCT 25400 PE,PE,294.92,235.94,40.76546917596857,524925,
10-07-25,2025-10-07_142,12:25:00 IST,SELL,NIFTY 7 OCT 25400 PE,PE,334.57,334.57,52.640548481682885,366975,Success
10-07-25,2025-10-07_193,12:28:00 IST,BUY,NIFTY 7 OCT 24850 CE,CE,325.42,260.34,59.27558890432142,180225,
10-07-25,2025-10-07_193,13:05:00 IST,SELL,NIFTY 7 OCT 24850 CE,CE,260.34,260.34,64.51318020262487,203700,Failure
10-07-25,2025-10-07_236,13:11:00 IST,BUY,NIFTY 7 OCT 24900 CE,CE,220.28,176.22,68.37891230200378,1072950,
10-07-25,2025-10-07_236,15:12:00 IST,SELL,NIFTY 7 OCT 24900 CE,CE,218.1,176.22,32.33231399548585,1072950,Failure
