symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 4 JUL 25500 PE,11:24:00 IST,04-07-25 11:24:00 IST,188.7,26.954427066259868,175.59,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:25:00 IST,04-07-25 11:25:00 IST,180.45,30.306569923100028,175.59,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:26:00 IST,04-07-25 11:26:00 IST,180.45,35.08472648096438,175.59,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:27:00 IST,04-07-25 11:27:00 IST,180.45,36.22821723770094,175.59,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:28:00 IST,04-07-25 11:28:00 IST,180.45,38.42689978177447,175.59,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:29:00 IST,04-07-25 11:29:00 IST,180.45,38.922971666136405,175.59,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:30:00 IST,04-07-25 11:30:00 IST,186.3,43.60621061739012,175.59,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:31:00 IST,04-07-25 11:31:00 IST,186.3,41.17060595888107,175.59,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:32:00 IST,04-07-25 11:32:00 IST,186.3,44.37698074184599,175.59,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:33:00 IST,04-07-25 11:33:00 IST,186.3,42.06877214934221,175.59,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:34:00 IST,04-07-25 11:34:00 IST,186.3,39.98527181638089,175.59,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:35:00 IST,04-07-25 11:35:00 IST,202.0,39.201212022900755,175.59,TRAIL,continuous_trailing
NIFTY 4 JUL 25500 PE,11:36:00 IST,04-07-25 11:36:00 IST,202.0,29.056537871026137,187.0,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:37:00 IST,04-07-25 11:37:00 IST,202.0,36.158964073055635,187.0,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:38:00 IST,04-07-25 11:38:00 IST,202.0,33.80294727770561,187.0,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:39:00 IST,04-07-25 11:39:00 IST,202.0,30.194491927453285,187.0,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:40:00 IST,04-07-25 11:40:00 IST,206.55,28.624606965949937,187.0,TRAIL,continuous_trailing
NIFTY 4 JUL 25500 PE,11:41:00 IST,04-07-25 11:41:00 IST,206.55,26.044567118642462,191.55,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:42:00 IST,04-07-25 11:42:00 IST,206.55,19.440096354599646,191.55,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:43:00 IST,04-07-25 11:43:00 IST,206.55,18.2920888869495,191.55,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:44:00 IST,04-07-25 11:44:00 IST,206.55,24.758409455785426,191.55,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:45:00 IST,04-07-25 11:45:00 IST,212.95,24.95029755245325,191.55,TRAIL,continuous_trailing
NIFTY 4 JUL 25500 PE,11:46:00 IST,04-07-25 11:46:00 IST,212.95,19.22900992462921,197.95,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:47:00 IST,04-07-25 11:47:00 IST,212.95,20.734723487377792,197.95,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:48:00 IST,04-07-25 11:48:00 IST,212.95,18.706743812979482,197.95,HOLD,no_exit_condition_met
NIFTY 4 JUL 25500 PE,11:49:00 IST,04-07-25 11:49:00 IST,212.95,26.608787292919445,197.95,HOLD,no_exit_condition_met
