bar_index,start_Time_IST,strike,spot,close,iv,volume,oi
0,2026-05-22 09:15:00 IST,23700.0,23693.5,155.15,15.868811,8703955,7850440
1,2026-05-22 09:20:00 IST,23750.0,23752.85,154.4,16.191925,4608045,2181985
2,2026-05-22 09:25:00 IST,23750.0,23738.6,161.3,16.212206,4093180,3375970
3,2026-05-22 09:30:00 IST,23750.0,23762.75,147.85,16.013006,3494920,3765515
4,2026-05-22 09:35:00 IST,23750.0,23755.5,152.65,16.158227,3801330,4517760
5,2026-05-22 09:40:00 IST,23750.0,23753.3,155.3,16.319208,5465850,4423380
6,2026-05-22 09:45:00 IST,23750.0,23740.8,161.4,16.343483,3293160,5030090
7,2026-05-22 09:50:00 IST,23750.0,23774.1,140.75,15.843897,3953560,5378750
8,2026-05-22 09:55:00 IST,23800.0,23779.65,162.6,15.923047,3675035,6747780
9,2026-05-22 10:00:00 IST,23750.0,23767.3,144.4,15.911653,2256540,6133400
10,2026-05-22 10:05:00 IST,23800.0,23785.15,157.25,15.677425,3102905,6805110
11,2026-05-22 10:10:00 IST,23800.0,23791.7,153.6,15.633907,3663530,7811960
12,2026-05-22 10:15:00 IST,23750.0,23763.5,142.9,15.616994,4732260,6580405
13,2026-05-22 10:20:00 IST,23750.0,23765.65,142.95,15.720942,3076320,6581380
14,2026-05-22 10:25:00 IST,23750.0,23761.45,142.75,15.522742,2335970,6911775
15,2026-05-22 10:30:00 IST,23800.0,23778.15,156.85,15.338804,2528175,8211450
16,2026-05-22 10:35:00 IST,23750.0,23773.05,134.15,15.208007,2313610,6997315
17,2026-05-22 10:40:00 IST,23800.0,23792.7,146.05,14.986363,4551495,8922290
18,2026-05-22 10:45:00 IST,23800.0,23783.9,151.7,15.128412,3831555,9488700
19,2026-05-22 10:50:00 IST,23800.0,23785.6,153.7,15.403724,1794130,9487790
20,2026-05-22 10:55:00 IST,23800.0,23780.75,155.0,15.307934,1443325,9517300
21,2026-05-22 11:00:00 IST,23800.0,23777.6,154.65,15.131679,2043470,9386325
22,2026-05-22 11:05:00 IST,23750.0,23774.7,133.35,15.23146,1843465,7142005
23,2026-05-22 11:10:00 IST,23750.0,23771.6,135.75,15.335348,1694550,7158840
24,2026-05-22 11:15:00 IST,23750.0,23767.0,137.35,15.295382,1373905,7143240
25,2026-05-22 11:20:00 IST,23800.0,23785.0,151.6,15.204174,4023760,8956090
26,2026-05-22 11:25:00 IST,23750.0,23758.9,143.0,15.49515,4767880,6937775
27,2026-05-22 11:30:00 IST,23750.0,23757.25,139.5,15.088561,4034550,7231640
28,2026-05-22 11:35:00 IST,23750.0,23774.05,130.7,14.976258,1892930,7195695
29,2026-05-22 11:40:00 IST,23800.0,23808.25,136.2,14.795194,5480085,9266985
30,2026-05-22 11:45:00 IST,23800.0,23809.25,137.4,14.960265,6163625,10196550
31,2026-05-22 11:50:00 IST,23800.0,23804.55,140.7,15.074816,3326765,10351185
32,2026-05-22 11:55:00 IST,23800.0,23804.9,139.65,14.993995,2311920,10538775
33,2026-05-22 12:00:00 IST,23800.0,23794.95,145.5,15.11432,3909555,10433215
34,2026-05-22 12:05:00 IST,23800.0,23790.7,148.65,15.228361,2907905,10251020
35,2026-05-22 12:10:00 IST,23800.0,23798.6,143.95,15.140641,3145155,10205650
36,2026-05-22 12:15:00 IST,23800.0,23794.35,146.3,15.179056,2139280,10208835
37,2026-05-22 12:20:00 IST,23800.0,23775.7,160.45,15.680066,4808635,10098530
38,2026-05-22 12:25:00 IST,23750.0,23774.75,134.2,15.397518,4195490,6865950
39,2026-05-22 12:30:00 IST,23800.0,23775.05,157.35,15.360044,4039360,9212255
40,2026-05-22 12:35:00 IST,23800.0,23779.5,156.6,15.503761,2147730,9210240
41,2026-05-22 12:40:00 IST,23800.0,23792.6,148.95,15.380131,3073005,9222590
42,2026-05-22 12:45:00 IST,23800.0,23813.0,136.4,15.088813,3607890,9716655
43,2026-05-22 12:50:00 IST,23850.0,23831.55,150.85,15.030799,2190695,2373280
44,2026-05-22 12:55:00 IST,23850.0,23827.45,153.35,15.083649,1316445,2786615
45,2026-05-22 13:00:00 IST,23850.0,23827.95,154.75,15.247566,2468115,2968225
46,2026-05-22 13:05:00 IST,23800.0,23819.4,136.15,15.366277,3161665,11879075
47,2026-05-22 13:10:00 IST,23800.0,23819.1,134.25,15.173068,1742650,11894675
48,2026-05-22 13:15:00 IST,23800.0,23812.1,136.55,15.093767,2261675,11932115
49,2026-05-22 13:20:00 IST,23800.0,23809.15,136.25,14.938317,3343405,11794900
50,2026-05-22 13:25:00 IST,23800.0,23809.4,136.75,15.003159,2477150,11791910
51,2026-05-22 13:30:00 IST,23800.0,23816.2,134.65,15.105055,1532375,11634155
52,2026-05-22 13:35:00 IST,23800.0,23809.2,136.3,14.960412,2517125,11567205
53,2026-05-22 13:40:00 IST,23800.0,23801.2,139.45,14.911873,2062905,11537045
54,2026-05-22 13:45:00 IST,23800.0,23803.9,137.6,14.858965,5474235,11112855
55,2026-05-22 13:50:00 IST,23800.0,23798.0,138.5,14.683426,4655170,11750765
56,2026-05-22 13:55:00 IST,23800.0,23792.15,138.55,14.424067,5991050,10974860
57,2026-05-22 14:00:00 IST,23750.0,23761.75,133.1,14.815224,5058040,7122310
58,2026-05-22 14:05:00 IST,23800.0,23778.35,149.55,14.855823,6719765,9100975
59,2026-05-22 14:10:00 IST,23800.0,23778.25,150.4,14.938739,2613325,9186515
60,2026-05-22 14:15:00 IST,23750.0,23761.4,136.55,15.152771,2910115,6934330
61,2026-05-22 14:20:00 IST,23750.0,23760.0,136.35,15.075519,4621370,6843265
62,2026-05-22 14:25:00 IST,23750.0,23739.3,150.35,15.501063,4760470,6783010
63,2026-05-22 14:30:00 IST,23750.0,23745.25,146.5,15.407055,6560255,5980260
64,2026-05-22 14:35:00 IST,23700.0,23723.3,133.0,15.381687,6382155,9885525
65,2026-05-22 14:40:00 IST,23700.0,23709.05,140.55,15.495446,6554080,10028850
66,2026-05-22 14:45:00 IST,23750.0,23725.8,157.0,15.53022,5090605,4720495
67,2026-05-22 14:50:00 IST,23700.0,23720.3,131.75,15.141732,2982330,9684415
68,2026-05-22 14:55:00 IST,23700.0,23724.45,131.8,15.334686,3431610,9685325
69,2026-05-22 15:00:00 IST,23700.0,23710.95,131.3,14.690699,10631010,9313070
70,2026-05-22 15:05:00 IST,23700.0,23708.7,128.75,14.342793,4982575,8769670
71,2026-05-22 15:10:00 IST,23700.0,23718.15,124.5,14.350176,3631615,8379020
72,2026-05-22 15:15:00 IST,23750.0,23725.35,139.5,13.823488,3903185,3580915
73,2026-05-22 15:20:00 IST,23750.0,23740.7,131.35,13.758967,2405065,3469180
74,2026-05-22 15:25:00 IST,23750.0,23748.85,124.85,13.502323,2845700,3279185
