symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 3 JUL 25300 CE,09:57:00 IST,03-07-25 09:57:00 IST,225.8,65.68759495284436,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,09:58:00 IST,03-07-25 09:58:00 IST,225.8,63.520018220773494,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,09:59:00 IST,03-07-25 09:59:00 IST,225.8,63.55550077846147,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:00:00 IST,03-07-25 10:00:00 IST,217.4,67.96773355736096,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:01:00 IST,03-07-25 10:01:00 IST,217.4,70.90967549870075,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:02:00 IST,03-07-25 10:02:00 IST,217.4,67.38138268845458,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:03:00 IST,03-07-25 10:03:00 IST,217.4,60.50660985194247,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:04:00 IST,03-07-25 10:04:00 IST,217.4,62.106587884206846,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:05:00 IST,03-07-25 10:05:00 IST,219.25,60.63359378954251,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:06:00 IST,03-07-25 10:06:00 IST,219.25,55.09126840037518,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:07:00 IST,03-07-25 10:07:00 IST,219.25,61.84424982775132,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:08:00 IST,03-07-25 10:08:00 IST,219.25,61.30070043714905,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:09:00 IST,03-07-25 10:09:00 IST,219.25,62.2412007584422,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:10:00 IST,03-07-25 10:10:00 IST,224.25,59.2631866141787,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:11:00 IST,03-07-25 10:11:00 IST,224.25,60.2030499542459,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:12:00 IST,03-07-25 10:12:00 IST,224.25,60.067372311059714,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:13:00 IST,03-07-25 10:13:00 IST,224.25,60.1157723446246,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:14:00 IST,03-07-25 10:14:00 IST,224.25,59.11271281827292,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:15:00 IST,03-07-25 10:15:00 IST,218.05,56.87231384731203,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:16:00 IST,03-07-25 10:16:00 IST,218.05,58.27652566707274,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:17:00 IST,03-07-25 10:17:00 IST,218.05,53.81968202612235,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:18:00 IST,03-07-25 10:18:00 IST,218.05,59.34055759112993,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:19:00 IST,03-07-25 10:19:00 IST,218.05,60.07093465301705,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:20:00 IST,03-07-25 10:20:00 IST,216.8,54.003615673216196,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:21:00 IST,03-07-25 10:21:00 IST,216.8,51.87370071989956,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:22:00 IST,03-07-25 10:22:00 IST,216.8,47.583378622679206,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:23:00 IST,03-07-25 10:23:00 IST,216.8,55.785198054962464,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:24:00 IST,03-07-25 10:24:00 IST,216.8,56.137166115041346,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:25:00 IST,03-07-25 10:25:00 IST,224.3,59.44038732878884,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:26:00 IST,03-07-25 10:26:00 IST,224.3,65.58557371005153,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:27:00 IST,03-07-25 10:27:00 IST,224.3,62.07492267234819,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:28:00 IST,03-07-25 10:28:00 IST,224.3,60.43318372112218,213.06,HOLD,no_exit_condition_met
NIFTY 3 JUL 25300 CE,10:29:00 IST,03-07-25 10:29:00 IST,224.3,59.892301018361664,213.06,HOLD,no_exit_condition_met
