test_date,total_trades,success,failure,breakeven,win_rate_pct,failure_rate_pct,total_pnl_pct,total_pnl_pts,total_pnl_rs,avg_pnl_pct,setup_timeframe,trigger_timeframe,setup_filter,trigger_filter
2025-01-01,5,3,2,0,60.0,40.0,45.68,13.43,1007.25,9.14,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-02,3,1,2,0,33.33,66.67,-5.54,-2.32,-174.0,-1.85,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-03,4,2,2,0,50.0,50.0,2.71,1.53,114.75,0.68,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-06,2,1,1,0,50.0,50.0,0.8,0.16,12.0,0.4,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-07,3,1,2,0,33.33,66.67,-33.7,-7.97,-597.75,-11.23,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-08,1,1,0,0,100.0,0.0,1.17,0.16,12.0,1.17,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-09,1,0,1,0,0.0,100.0,-6.22,-2.82,-211.5,-6.22,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-10,3,0,3,0,0.0,100.0,-28.78,-13.31,-998.25,-9.59,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-13,4,2,2,0,50.0,50.0,0.11,-0.07,-5.25,0.03,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-14,2,1,1,0,50.0,50.0,14.17,2.5,187.5,7.08,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-15,2,0,2,0,0.0,100.0,-9.66,-1.1,-82.5,-4.83,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-16,1,1,0,0,100.0,0.0,1.77,1.07,80.25,1.77,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-17,5,2,3,0,40.0,60.0,-3.28,-2.09,-156.75,-0.66,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-20,3,0,3,0,0.0,100.0,-31.8,-12.73,-954.75,-10.6,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-21,3,0,3,0,0.0,100.0,-20.76,-5.07,-380.25,-6.92,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-22,2,1,1,0,50.0,50.0,-4.9,-0.74,-55.5,-2.45,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-23,5,2,3,0,40.0,60.0,-0.57,-0.23,-17.25,-0.11,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-24,4,3,1,0,75.0,25.0,41.51,16.63,1247.25,10.38,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-27,3,2,1,0,66.67,33.33,0.72,0.47,35.25,0.24,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-28,3,2,1,0,66.67,33.33,-1.04,-0.62,-46.5,-0.35,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-29,3,3,0,0,100.0,0.0,24.51,4.96,372.0,8.17,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-30,5,4,1,0,80.0,20.0,-1.33,-0.69,-51.75,-0.27,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-31,5,0,5,0,0.0,100.0,-39.46,-23.5,-1762.5,-7.89,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
