test_date,total_trades,success,failure,breakeven,win_rate_pct,failure_rate_pct,total_pnl_pct,total_pnl_pts,total_pnl_rs,avg_pnl_pct,setup_timeframe,trigger_timeframe,setup_filter,trigger_filter
2025-01-01,7,2,5,0,28.57,71.43,-14.59,4.52,339.0,-2.08,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-02,4,3,1,0,75.0,25.0,9.62,16.5,1237.5,2.41,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-03,3,3,0,0,100.0,0.0,15.92,27.58,2068.5,5.31,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-06,1,0,1,0,0.0,100.0,-5.13,-6.81,-510.75,-5.13,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-07,1,0,1,0,0.0,100.0,-3.39,-3.11,-233.25,-3.39,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-08,3,1,2,0,33.33,66.67,-15.31,-11.25,-843.75,-5.1,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-09,1,1,0,0,100.0,0.0,0.11,0.2,15.0,0.11,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-10,3,0,3,0,0.0,100.0,-10.94,-22.16,-1662.0,-3.65,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-13,2,0,2,0,0.0,100.0,-10.64,-12.59,-944.25,-5.32,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-14,2,1,1,0,50.0,50.0,2.46,1.63,122.25,1.23,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-15,3,0,3,0,0.0,100.0,-34.7,-9.92,-744.0,-11.57,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-16,1,1,0,0,100.0,0.0,1.24,2.98,223.5,1.24,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-17,3,1,2,0,33.33,66.67,29.16,43.63,3272.25,9.72,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-20,2,1,1,0,50.0,50.0,-3.35,-4.86,-364.5,-1.68,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-21,3,0,3,0,0.0,100.0,-12.23,-11.92,-894.0,-4.08,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-22,1,1,0,0,100.0,0.0,37.06,10.37,777.75,37.06,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-23,4,1,3,0,25.0,75.0,10.96,22.46,1684.5,2.74,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-24,5,3,2,0,60.0,40.0,-6.85,-13.69,-1026.75,-1.37,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-27,2,0,2,0,0.0,100.0,-10.91,-16.75,-1256.25,-5.46,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-28,2,0,2,0,0.0,100.0,-11.62,-18.05,-1353.75,-5.81,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-29,3,3,0,0,100.0,0.0,10.52,8.64,648.0,3.51,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-30,4,2,2,0,50.0,50.0,1.01,4.23,317.25,0.25,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-31,4,1,3,0,25.0,75.0,-11.92,-22.02,-1651.5,-2.98,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
