test_date,symbol,strategy,option_type,strike,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,pnl_pts,pnl_rs,outcome,exit_reason
2025-01-01,NIFTY 1 JAN 23850 CE,,CE,23850,75.0,10:17:00 IST,10:23:00 IST,113.32,112.1,103.32,-1.08,-1.22,-91.5,Failure,6_min_momentum_failed
2025-01-01,NIFTY 1 JAN 23900 CE,,CE,23900,75.0,10:50:00 IST,10:56:00 IST,117.72,117.0,107.75,-0.61,-0.72,-54.0,Failure,6_min_momentum_failed
2025-01-01,NIFTY 1 JAN 23950 PE,,PE,23950,75.0,11:51:00 IST,11:57:00 IST,95.14,95.95,91.5,0.85,0.81,60.75,Success,6_min_momentum_failed
2025-01-01,NIFTY 1 JAN 23950 CE,,CE,23950,100.0,12:24:00 IST,12:26:00 IST,93.98,111.2,83.98,18.32,17.22,1291.5,Success,dynamic_trail_hit
2025-01-01,NIFTY 1 JAN 24050 CE,,CE,24050,100.0,12:39:00 IST,12:42:00 IST,93.17,91.05,91.05,-2.28,-2.12,-159.0,Failure,stop_loss_hit
2025-01-01,NIFTY 1 JAN 24050 PE,,PE,24050,80.0,12:58:00 IST,13:03:00 IST,60.04,57.15,57.15,-4.81,-2.89,-216.75,Failure,stop_loss_hit
2025-01-01,NIFTY 1 JAN 24150 CE,,CE,24150,100.0,13:49:00 IST,13:53:00 IST,26.26,19.7,19.7,-24.98,-6.56,-492.0,Failure,stop_loss_hit
2025-01-02,NIFTY 2 JAN 24050 CE,,CE,24050,100.0,09:58:00 IST,10:04:00 IST,188.37,190.4,179.9,1.08,2.03,152.25,Success,6_min_momentum_failed
2025-01-02,NIFTY 2 JAN 24000 CE,,CE,24000,100.0,10:41:00 IST,10:48:00 IST,171.65,174.15,174.15,1.46,2.5,187.5,Success,stop_loss_hit
2025-01-02,NIFTY 2 JAN 24100 PE,,PE,24100,85.0,12:19:00 IST,12:35:00 IST,168.87,180.9,180.9,7.12,12.03,902.25,Success,stop_loss_hit
2025-01-02,NIFTY 2 JAN 24100 CE,,CE,24100,100.0,13:07:00 IST,13:13:00 IST,152.06,152.0,144.9,-0.04,-0.06,-4.5,Failure,6_min_momentum_failed
2025-01-03,NIFTY 3 JAN 24050 CE,,CE,24050,75.0,11:15:00 IST,11:28:00 IST,173.52,196.1,196.1,13.01,22.58,1693.5,Success,stop_loss_hit
2025-01-03,NIFTY 3 JAN 24100 CE,,CE,24100,82.0,11:56:00 IST,12:03:00 IST,174.53,177.03,177.03,1.43,2.5,187.5,Success,stop_loss_hit
2025-01-03,NIFTY 3 JAN 24050 PE,,PE,24050,100.0,13:59:00 IST,14:06:00 IST,169.48,171.98,171.98,1.48,2.5,187.5,Success,stop_loss_hit
2025-01-06,NIFTY 6 JAN 23750 PE,,PE,23750,100.0,11:47:00 IST,11:53:00 IST,132.81,126.0,124.0,-5.13,-6.81,-510.75,Failure,6_min_momentum_failed
2025-01-07,NIFTY 7 JAN 23650 CE,,CE,23650,85.0,10:16:00 IST,10:20:00 IST,91.76,88.65,88.65,-3.39,-3.11,-233.25,Failure,stop_loss_hit
2025-01-08,NIFTY 8 JAN 23650 PE,,PE,23650,100.0,10:24:00 IST,10:30:00 IST,53.08,53.7,43.08,1.17,0.62,46.5,Success,6_min_momentum_failed
2025-01-08,NIFTY 8 JAN 23600 PE,,PE,23600,100.0,10:48:00 IST,10:49:00 IST,93.63,83.63,83.63,-10.68,-10.0,-750.0,Failure,stop_loss_hit
2025-01-08,NIFTY 8 JAN 23550 PE,,PE,23550,100.0,12:02:00 IST,12:08:00 IST,32.22,30.35,24.16,-5.8,-1.87,-140.25,Failure,6_min_momentum_failed
2025-01-09,NIFTY 9 JAN 23550 CE,,CE,23550,85.0,12:18:00 IST,12:21:00 IST,181.65,181.85,181.85,0.11,0.2,15.0,Success,stop_loss_hit
2025-01-10,NIFTY 10 JAN 23400 PE,,PE,23400,100.0,10:08:00 IST,10:09:00 IST,194.83,184.83,184.83,-5.13,-10.0,-750.0,Failure,stop_loss_hit
2025-01-10,NIFTY 10 JAN 23550 CE,,CE,23550,75.0,11:15:00 IST,11:20:00 IST,221.39,211.39,211.39,-4.52,-10.0,-750.0,Failure,stop_loss_hit
2025-01-10,NIFTY 10 JAN 23450 PE,,PE,23450,100.0,14:15:00 IST,14:21:00 IST,168.06,165.9,163.6,-1.29,-2.16,-162.0,Failure,6_min_momentum_failed
