test_date,symbol,strategy,option_type,strike,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason
2025-04-01,SENSEX 1 APR 77200 PE Downtrend,Downtrend,PE,77200,97.0,10:23:00 IST,10:30:00 IST,950.91,940.91,940.91,-1.05,Failure,stop_loss_hit
2025-04-01,SENSEX 1 APR 76600 PE Downtrend,Downtrend,PE,76600,97.0,10:50:00 IST,11:45:00 IST,503.43,545.0,545.0,8.26,Success,stop_loss_hit
2025-04-01,SENSEX 1 APR 76200 CE Uptrend,Uptrend,CE,76200,97.0,12:21:00 IST,12:30:00 IST,776.29,766.29,766.29,-1.29,Failure,stop_loss_hit
2025-04-02,SENSEX 2 APR 76500 PE Downtrend,Downtrend,PE,76500,97.0,11:19:00 IST,11:55:00 IST,501.47,507.75,507.75,1.25,Success,stop_loss_hit
2025-04-02,SENSEX 2 APR 76400 PE Downtrend,Downtrend,PE,76400,107.0,12:59:00 IST,15:12:00 IST,507.17,502.15,497.17,-0.99,Failure,TIME_DECAY
2025-04-03,SENSEX 3 APR 76500 PE Downtrend,Downtrend,PE,76500,97.0,11:05:00 IST,11:06:00 IST,1046.31,1036.31,1036.31,-0.96,Failure,stop_loss_hit
2025-04-03,SENSEX 3 APR 76400 PE Downtrend,Downtrend,PE,76400,97.0,11:22:00 IST,11:23:00 IST,1027.42,1017.42,1017.42,-0.97,Failure,stop_loss_hit
2025-04-04,SENSEX 4 APR 75700 PE Downtrend,Downtrend,PE,75700,97.0,11:43:00 IST,11:55:00 IST,479.75,472.5,472.5,-1.51,Failure,stop_loss_hit
2025-04-04,SENSEX 4 APR 75600 PE Downtrend,Downtrend,PE,75600,97.0,12:08:00 IST,12:30:00 IST,404.25,507.3,507.3,25.49,Success,stop_loss_hit
2025-04-04,SENSEX 4 APR 75400 PE Downtrend,Downtrend,PE,75400,107.0,13:47:00 IST,14:00:00 IST,361.93,352.2,352.2,-2.69,Failure,stop_loss_hit
2025-04-08,SENSEX 8 APR 74000 PE Downtrend,Downtrend,PE,74000,97.0,10:03:00 IST,10:05:00 IST,879.0,869.0,869.0,-1.14,Failure,stop_loss_hit
2025-04-08,SENSEX 8 APR 73800 CE Uptrend,Uptrend,CE,73800,97.0,11:04:00 IST,11:20:00 IST,782.04,878.45,878.45,12.33,Success,stop_loss_hit
2025-04-09,SENSEX 9 APR 73900 PE Downtrend,Downtrend,PE,73900,97.0,10:33:00 IST,10:35:00 IST,771.64,761.64,761.64,-1.3,Failure,stop_loss_hit
2025-04-09,SENSEX 9 APR 73800 CE Uptrend,Uptrend,CE,73800,97.0,11:33:00 IST,11:35:00 IST,863.15,853.15,853.15,-1.16,Failure,stop_loss_hit
2025-04-09,SENSEX 9 APR 74000 PE Downtrend,Downtrend,PE,74000,97.0,13:03:00 IST,13:15:00 IST,823.86,821.4,821.4,-0.3,Failure,stop_loss_hit
2025-04-11,SENSEX 11 APR 75100 CE Uptrend,Uptrend,CE,75100,107.0,11:02:00 IST,11:05:00 IST,659.83,649.83,649.83,-1.52,Failure,stop_loss_hit
2025-04-11,SENSEX 11 APR 75400 PE Downtrend,Downtrend,PE,75400,107.0,12:39:00 IST,13:05:00 IST,813.76,803.76,803.76,-1.23,Failure,stop_loss_hit
2025-04-15,SENSEX 15 APR 76800 PE Downtrend,Downtrend,PE,76800,97.0,11:17:00 IST,11:30:00 IST,575.04,581.0,581.0,1.04,Success,stop_loss_hit
2025-04-17,SENSEX 17 APR 76900 CE Uptrend,Uptrend,CE,76900,97.0,09:47:00 IST,09:50:00 IST,576.61,566.61,566.61,-1.73,Failure,stop_loss_hit
2025-04-17,SENSEX 17 APR 77000 CE Uptrend,Uptrend,CE,77000,107.0,10:52:00 IST,11:00:00 IST,480.25,796.1,796.1,65.77,Success,stop_loss_hit
2025-04-17,SENSEX 17 APR 77500 CE Uptrend,Uptrend,CE,77500,97.0,11:51:00 IST,11:52:00 IST,1138.27,1128.27,1128.27,-0.88,Failure,stop_loss_hit
2025-04-17,SENSEX 17 APR 77700 CE Uptrend,Uptrend,CE,77700,97.0,12:13:00 IST,12:14:00 IST,1022.93,1012.93,1012.93,-0.98,Failure,stop_loss_hit
2025-04-17,SENSEX 17 APR 77800 CE Uptrend,Uptrend,CE,77800,97.0,12:28:00 IST,12:35:00 IST,684.68,927.8,927.8,35.51,Success,stop_loss_hit
2025-04-17,SENSEX 17 APR 78000 CE Uptrend,Uptrend,CE,78000,97.0,12:50:00 IST,12:55:00 IST,798.25,788.25,788.25,-1.25,Failure,stop_loss_hit
2025-04-17,SENSEX 17 APR 78200 CE Uptrend,Uptrend,CE,78200,97.0,13:10:00 IST,13:20:00 IST,681.25,674.7,674.7,-0.96,Failure,stop_loss_hit
2025-04-17,SENSEX 17 APR 78400 CE Uptrend,Uptrend,CE,78400,97.0,13:48:00 IST,13:50:00 IST,550.4,540.4,540.4,-1.82,Failure,stop_loss_hit
2025-04-21,SENSEX 21 APR 79200 CE Uptrend,Uptrend,CE,79200,97.0,11:02:00 IST,11:10:00 IST,551.66,543.25,543.25,-1.52,Failure,stop_loss_hit
2025-04-21,SENSEX 21 APR 79400 CE Uptrend,Uptrend,CE,79400,97.0,11:59:00 IST,12:00:00 IST,288.61,278.61,278.61,-3.46,Failure,stop_loss_hit
2025-04-21,SENSEX 21 APR 79500 CE Uptrend,Uptrend,CE,79500,97.0,12:37:00 IST,15:12:00 IST,92.57,91.65,89.8,-0.99,Failure,TIME_DECAY
2025-04-22,SENSEX 22 APR 79600 CE Uptrend,Uptrend,CE,79600,97.0,10:27:00 IST,10:40:00 IST,763.21,801.0,801.0,4.95,Success,stop_loss_hit
2025-04-22,SENSEX 22 APR 79700 CE Uptrend,Uptrend,CE,79700,97.0,11:02:00 IST,11:15:00 IST,707.96,745.35,745.35,5.28,Success,stop_loss_hit
2025-04-23,SENSEX 23 APR 79700 CE Uptrend,Uptrend,CE,79700,97.0,12:48:00 IST,12:50:00 IST,650.74,640.74,640.74,-1.54,Failure,stop_loss_hit
2025-04-24,SENSEX 24 APR 80000 PE Downtrend,Downtrend,PE,80000,97.0,11:44:00 IST,11:45:00 IST,1184.17,1174.17,1174.17,-0.84,Failure,stop_loss_hit
2025-04-24,SENSEX 24 APR 79900 PE Downtrend,Downtrend,PE,79900,97.0,12:14:00 IST,12:30:00 IST,830.22,980.4,980.4,18.09,Success,stop_loss_hit
2025-04-25,SENSEX 25 APR 79700 PE Downtrend,Downtrend,PE,79700,97.0,09:52:00 IST,10:00:00 IST,986.47,976.47,976.47,-1.01,Failure,stop_loss_hit
2025-04-25,SENSEX 25 APR 79200 PE Downtrend,Downtrend,PE,79200,97.0,10:22:00 IST,10:30:00 IST,676.35,691.95,691.95,2.31,Success,stop_loss_hit
2025-04-25,SENSEX 25 APR 78800 CE Uptrend,Uptrend,CE,78800,97.0,12:18:00 IST,15:12:00 IST,612.11,606.05,602.11,-0.99,Failure,TIME_DECAY
2025-04-28,SENSEX 28 APR 79900 CE Uptrend,Uptrend,CE,79900,97.0,11:44:00 IST,12:10:00 IST,339.61,469.9,469.9,38.36,Success,stop_loss_hit
2025-04-28,SENSEX 28 APR 80200 CE Uptrend,Uptrend,CE,80200,97.0,12:30:00 IST,12:35:00 IST,181.35,171.35,171.35,-5.51,Failure,stop_loss_hit
2025-04-29,SENSEX 29 APR 80300 CE Uptrend,Uptrend,CE,80300,107.0,11:07:00 IST,11:55:00 IST,636.15,666.85,666.85,4.83,Success,stop_loss_hit
2025-04-29,SENSEX 29 APR 80200 CE Uptrend,Uptrend,CE,80200,97.0,12:46:00 IST,12:55:00 IST,730.33,720.33,720.33,-1.37,Failure,stop_loss_hit
2025-04-30,SENSEX 30 APR 80200 CE Uptrend,Uptrend,CE,80200,107.0,11:02:00 IST,11:30:00 IST,694.58,725.2,725.2,4.41,Success,stop_loss_hit
2025-04-30,SENSEX 30 APR 80300 PE Downtrend,Downtrend,PE,80300,97.0,11:48:00 IST,11:50:00 IST,638.02,628.02,628.02,-1.57,Failure,stop_loss_hit
2025-05-02,SENSEX 2 MAY 81000 PE Downtrend,Downtrend,PE,81000,97.0,10:32:00 IST,10:40:00 IST,791.54,781.54,781.54,-1.26,Failure,stop_loss_hit
2025-05-02,SENSEX 2 MAY 80900 PE Downtrend,Downtrend,PE,80900,107.0,10:54:00 IST,10:55:00 IST,864.96,854.96,854.96,-1.16,Failure,stop_loss_hit
2025-05-02,SENSEX 2 MAY 80800 PE Downtrend,Downtrend,PE,80800,107.0,11:14:00 IST,11:15:00 IST,848.4,838.4,838.4,-1.18,Failure,stop_loss_hit
2025-05-02,SENSEX 2 MAY 80700 PE Downtrend,Downtrend,PE,80700,97.0,11:31:00 IST,11:40:00 IST,698.01,688.01,688.01,-1.43,Failure,stop_loss_hit
2025-05-02,SENSEX 2 MAY 80300 CE Uptrend,Uptrend,CE,80300,97.0,12:49:00 IST,12:50:00 IST,601.46,591.46,591.46,-1.66,Failure,stop_loss_hit
2025-05-05,SENSEX 5 MAY 81000 PE Downtrend,Downtrend,PE,81000,107.0,10:57:00 IST,11:15:00 IST,415.11,418.65,418.65,0.85,Success,stop_loss_hit
