test_date,total_trades,success,failure,breakeven,win_rate_pct,failure_rate_pct,avg_pnl_pct,setup_timeframe,trigger_timeframe,setup_filter,trigger_filter
2025-04-01,3,1,2,0,33.33,66.67,1.97,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-02,2,1,1,0,50.0,50.0,0.13,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-03,2,0,2,0,0.0,100.0,-0.96,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-04,3,1,2,0,33.33,66.67,7.1,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-07,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-08,2,1,1,0,50.0,50.0,5.59,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-09,3,0,3,0,0.0,100.0,-0.92,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-11,2,0,2,0,0.0,100.0,-1.38,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-15,1,1,0,0,100.0,0.0,1.04,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-16,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-17,8,2,6,0,25.0,75.0,11.71,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-21,3,0,3,0,0.0,100.0,-1.99,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-22,2,2,0,0,100.0,0.0,5.12,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-23,1,0,1,0,0.0,100.0,-1.54,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-24,2,1,1,0,50.0,50.0,8.62,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-25,3,1,2,0,33.33,66.67,0.1,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-28,2,1,1,0,50.0,50.0,16.43,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-29,2,1,1,0,50.0,50.0,1.73,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-04-30,2,1,1,0,50.0,50.0,1.42,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-02,5,0,5,0,0.0,100.0,-1.34,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-05,2,1,1,0,50.0,50.0,0.3,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-06,2,1,1,0,50.0,50.0,4.12,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-07,1,0,1,0,0.0,100.0,-1.69,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-08,1,0,1,0,0.0,100.0,-0.75,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-09,2,0,2,0,0.0,100.0,-0.69,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-12,1,0,1,0,0.0,100.0,-0.79,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-13,3,2,1,0,66.67,33.33,0.2,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-14,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-15,2,0,2,0,0.0,100.0,-0.91,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-16,2,1,1,0,50.0,50.0,0.41,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-19,1,0,1,0,0.0,100.0,-1.5,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-20,5,2,3,0,40.0,60.0,0.56,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-21,1,0,1,0,0.0,100.0,-0.93,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-22,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-23,3,2,1,0,66.67,33.33,1.16,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-26,1,0,1,0,0.0,100.0,-1.39,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-05-27,2,0,2,0,0.0,100.0,-1.01,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
