symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 21 FEB 22800 PE SEDA,09:52:00 IST,21-02-25 09:52:00 IST,33.85,25.75749088652745,24.19,HOLD,no_exit_condition_met
NIFTY 21 FEB 22800 PE SEDA,09:53:00 IST,21-02-25 09:53:00 IST,33.85,24.864315775185574,24.19,HOLD,no_exit_condition_met
NIFTY 21 FEB 22800 PE SEDA,09:54:00 IST,21-02-25 09:54:00 IST,33.85,24.55168965525732,24.19,HOLD,no_exit_condition_met
NIFTY 21 FEB 22800 PE SEDA,09:55:00 IST,21-02-25 09:55:00 IST,34.4875,23.448874587715622,24.19,HOLD,no_exit_condition_met
NIFTY 21 FEB 22800 PE SEDA,09:56:00 IST,21-02-25 09:56:00 IST,34.4875,26.849814707270923,24.19,HOLD,no_exit_condition_met
NIFTY 21 FEB 22800 PE SEDA,09:57:00 IST,21-02-25 09:57:00 IST,34.4875,31.543756755831424,24.19,EXIT,stale_trade_6m_loss
NIFTY 21 FEB 22750 PE SEDA,10:17:00 IST,21-02-25 10:17:00 IST,35.6875,15.220754933763175,26.04,HOLD,no_exit_condition_met
NIFTY 21 FEB 22750 PE SEDA,10:18:00 IST,21-02-25 10:18:00 IST,35.6875,28.900434816102702,26.04,HOLD,no_exit_condition_met
NIFTY 21 FEB 22750 PE SEDA,10:19:00 IST,21-02-25 10:19:00 IST,35.6875,35.04383000080412,26.04,HOLD,no_exit_condition_met
NIFTY 21 FEB 22750 PE SEDA,10:20:00 IST,21-02-25 10:20:00 IST,34.7625,34.38262570563097,26.04,HOLD,no_exit_condition_met
NIFTY 21 FEB 22750 PE SEDA,10:21:00 IST,21-02-25 10:21:00 IST,34.7625,38.607845123422834,26.04,HOLD,no_exit_condition_met
NIFTY 21 FEB 22750 PE SEDA,10:22:00 IST,21-02-25 10:22:00 IST,34.7625,43.53750883760231,26.04,EXIT,stale_trade_6m_loss
