symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 21 FEB 22850 PE,09:46:00 IST,21-02-25 09:46:00 IST,36.0625,27.651105797357403,27.88,HOLD,no_exit_condition_met
NIFTY 21 FEB 22850 PE,09:47:00 IST,21-02-25 09:47:00 IST,36.4,27.609742134740884,27.88,TRAIL,2_min_cold_protection_end
NIFTY 21 FEB 22850 PE,09:48:00 IST,21-02-25 09:48:00 IST,36.625,34.946809987013964,28.41,HOLD,no_exit_condition_met
NIFTY 21 FEB 22850 PE,09:49:00 IST,21-02-25 09:49:00 IST,38.8,35.82655915865068,28.41,TRAIL,10_pt_dynamic_trail
NIFTY 21 FEB 22850 PE,09:50:00 IST,21-02-25 09:50:00 IST,38.825,30.938621256886066,28.8,TRAIL,10_pt_dynamic_trail
NIFTY 21 FEB 22850 PE,09:51:00 IST,21-02-25 09:51:00 IST,39.6875,26.56610828655127,28.83,EXIT,6_min_momentum_failed
NIFTY 21 FEB 22800 PE,10:14:00 IST,21-02-25 10:14:00 IST,41.75,20.69890811603844,32.75,HOLD,no_exit_condition_met
NIFTY 21 FEB 22800 PE,10:15:00 IST,21-02-25 10:15:00 IST,44.5,18.664358399007455,32.75,TRAIL,10_pt_dynamic_trail
NIFTY 21 FEB 22800 PE,10:16:00 IST,21-02-25 10:16:00 IST,42.325,16.219638317249633,34.5,HOLD,no_exit_condition_met
NIFTY 21 FEB 22800 PE,10:17:00 IST,21-02-25 10:17:00 IST,40.7875,15.220754933763175,34.5,HOLD,no_exit_condition_met
NIFTY 21 FEB 22800 PE,10:18:00 IST,21-02-25 10:18:00 IST,40.5625,28.900434816102702,34.5,HOLD,no_exit_condition_met
NIFTY 21 FEB 22800 PE,10:19:00 IST,21-02-25 10:19:00 IST,41.1375,35.04383000080412,34.5,EXIT,6_min_momentum_failed
NIFTY 21 FEB 22800 CE,11:40:00 IST,21-02-25 11:40:00 IST,45.875,82.01522016066961,37.31,HOLD,no_exit_condition_met
NIFTY 21 FEB 22800 CE,11:41:00 IST,21-02-25 11:41:00 IST,47.925,70.56382750891768,37.31,TRAIL,10_pt_dynamic_trail
NIFTY 21 FEB 22800 CE,11:42:00 IST,21-02-25 11:42:00 IST,47.0,71.2658580383484,37.92,HOLD,no_exit_condition_met
NIFTY 21 FEB 22800 CE,11:43:00 IST,21-02-25 11:43:00 IST,46.125,73.3782496539885,37.92,HOLD,no_exit_condition_met
NIFTY 21 FEB 22800 CE,11:44:00 IST,21-02-25 11:44:00 IST,46.05,69.98110525473656,37.92,HOLD,no_exit_condition_met
NIFTY 21 FEB 22800 CE,11:45:00 IST,21-02-25 11:45:00 IST,46.2875,64.82126932109479,37.92,EXIT,6_min_momentum_failed
NIFTY 21 FEB 22750 PE,13:39:00 IST,21-02-25 13:39:00 IST,36.625,28.822375233255173,23.44,HOLD,no_exit_condition_met
NIFTY 21 FEB 22750 PE,13:40:00 IST,21-02-25 13:40:00 IST,34.675,22.735029228419123,23.44,TRAIL,2_min_cold_protection_end
NIFTY 21 FEB 22750 PE,13:41:00 IST,21-02-25 13:41:00 IST,34.95,19.751324264218653,25.08,TRAIL,10_pt_dynamic_trail
NIFTY 21 FEB 22750 PE,13:42:00 IST,21-02-25 13:42:00 IST,35.3375,26.885698462145285,26.62,HOLD,no_exit_condition_met
NIFTY 21 FEB 22750 PE,13:43:00 IST,21-02-25 13:43:00 IST,35.0625,25.92430729239851,26.62,HOLD,no_exit_condition_met
NIFTY 21 FEB 22750 PE,13:44:00 IST,21-02-25 13:44:00 IST,34.2625,25.21231125759671,26.62,EXIT,6_min_momentum_failed
