symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 29 JAN 23250 CE,10:17:00 IST,29-01-25 10:17:00 IST,106.75,52.987251761305245,97.36,HOLD,no_exit_condition_met
NIFTY 29 JAN 23250 CE,10:18:00 IST,29-01-25 10:18:00 IST,105.2,51.92734059279547,97.36,HOLD,no_exit_condition_met
NIFTY 29 JAN 23250 CE,10:19:00 IST,29-01-25 10:19:00 IST,101.8,47.64587122921241,97.36,HOLD,no_exit_condition_met
NIFTY 29 JAN 23250 CE,10:20:00 IST,29-01-25 10:20:00 IST,104.85,46.130866598684854,97.36,HOLD,no_exit_condition_met
NIFTY 29 JAN 23250 CE,10:21:00 IST,29-01-25 10:21:00 IST,108.4,59.77695869375858,97.36,TRAIL,10_pt_dynamic_trail
NIFTY 29 JAN 23250 CE,10:22:00 IST,29-01-25 10:22:00 IST,108.45,64.11381335189935,98.4,EXIT,6_min_momentum_failed
NIFTY 29 JAN 23300 PE,11:19:00 IST,29-01-25 11:19:00 IST,98.8,45.95533815921661,86.45,HOLD,no_exit_condition_met
NIFTY 29 JAN 23300 PE,11:20:00 IST,29-01-25 11:20:00 IST,101.05,42.1899672719013,86.45,TRAIL,10_pt_dynamic_trail
NIFTY 29 JAN 23300 PE,11:21:00 IST,29-01-25 11:21:00 IST,99.7,43.10964374524584,91.05,HOLD,no_exit_condition_met
NIFTY 29 JAN 23300 PE,11:22:00 IST,29-01-25 11:22:00 IST,105.35,46.36410963074105,91.05,TRAIL,10_pt_dynamic_trail
NIFTY 29 JAN 23300 PE,11:23:00 IST,29-01-25 11:23:00 IST,101.5,42.25980907109149,95.35,HOLD,no_exit_condition_met
NIFTY 29 JAN 23300 PE,11:24:00 IST,29-01-25 11:24:00 IST,108.3,22.788482729145855,95.35,TRAIL,6_min_momentum_passed
NIFTY 29 JAN 23300 PE,11:25:00 IST,29-01-25 11:25:00 IST,105.8,18.9322824966807,98.95,HOLD,no_exit_condition_met
NIFTY 29 JAN 23300 PE,11:26:00 IST,29-01-25 11:26:00 IST,111.5,36.17763888662672,98.95,TRAIL,10_pt_dynamic_trail
NIFTY 29 JAN 23300 PE,11:27:00 IST,29-01-25 11:27:00 IST,108.55,41.81245855570806,101.5,HOLD,no_exit_condition_met
NIFTY 29 JAN 23300 PE,11:28:00 IST,29-01-25 11:28:00 IST,105.15,47.73113069272949,101.5,HOLD,no_exit_condition_met
NIFTY 29 JAN 23300 PE,11:29:00 IST,29-01-25 11:29:00 IST,106.5,47.731130692445326,101.5,HOLD,no_exit_condition_met
NIFTY 29 JAN 23300 PE,11:30:00 IST,29-01-25 11:30:00 IST,97.5,47.86483228627241,101.5,EXIT,stop_loss_hit
NIFTY 29 JAN 23200 CE,13:33:00 IST,29-01-25 13:33:00 IST,58.45,67.16781269328698,48.68,HOLD,no_exit_condition_met
NIFTY 29 JAN 23200 CE,13:34:00 IST,29-01-25 13:34:00 IST,58.5,58.49122173964765,48.68,HOLD,no_exit_condition_met
NIFTY 29 JAN 23200 CE,13:35:00 IST,29-01-25 13:35:00 IST,57.35,55.577297773504704,48.68,HOLD,no_exit_condition_met
NIFTY 29 JAN 23200 CE,13:36:00 IST,29-01-25 13:36:00 IST,56.7,52.49789373899502,48.68,HOLD,no_exit_condition_met
NIFTY 29 JAN 23200 CE,13:37:00 IST,29-01-25 13:37:00 IST,56.2,58.74251575183359,48.68,HOLD,no_exit_condition_met
NIFTY 29 JAN 23200 CE,13:38:00 IST,29-01-25 13:38:00 IST,65.2,52.714753691234755,48.68,TRAIL,6_min_momentum_passed
NIFTY 29 JAN 23200 CE,13:39:00 IST,29-01-25 13:39:00 IST,66.55,53.985967339040585,61.18,HOLD,no_exit_condition_met
NIFTY 29 JAN 23200 CE,13:40:00 IST,29-01-25 13:40:00 IST,61.95,59.610064483581915,61.18,HOLD,no_exit_condition_met
NIFTY 29 JAN 23200 CE,13:41:00 IST,29-01-25 13:41:00 IST,66.9,55.997624583501434,61.18,HOLD,no_exit_condition_met
NIFTY 29 JAN 23200 CE,13:42:00 IST,29-01-25 13:42:00 IST,63.3,56.22846523309273,61.18,HOLD,no_exit_condition_met
NIFTY 29 JAN 23200 CE,13:43:00 IST,29-01-25 13:43:00 IST,70.7,59.22332192237672,61.18,HOLD,no_exit_condition_met
NIFTY 29 JAN 23200 CE,13:44:00 IST,29-01-25 13:44:00 IST,60.45,49.71347547099477,61.18,EXIT,stop_loss_hit
