date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
01-01-25,2025-01-01_66,10:21:00 IST,BUY,NIFTY 1 JAN 23850 CE,,CE,27.88,17.88,61.79149110501956,5535000,
01-01-25,2025-01-01_66,10:27:00 IST,SELL,NIFTY 1 JAN 23850 CE,,CE,28.9375,20.91,65.09518718652754,5337975,Success
01-01-25,2025-01-01_95,10:50:00 IST,BUY,NIFTY 1 JAN 23900 CE,,CE,29.43,19.43,82.1999812354949,8756775,
01-01-25,2025-01-01_95,10:56:00 IST,SELL,NIFTY 1 JAN 23900 CE,,CE,29.25,22.07,85.22518676838726,8005125,Failure
01-01-25,2025-01-01_156,11:51:00 IST,BUY,NIFTY 1 JAN 23950 PE,,PE,23.79,13.79,37.225464073191986,6672450,
01-01-25,2025-01-01_156,11:57:00 IST,SELL,NIFTY 1 JAN 23950 PE,,PE,23.9875,17.84,31.453517317039896,6906300,Success
01-01-25,2025-01-01_189,12:24:00 IST,BUY,NIFTY 1 JAN 23950 CE,,CE,23.5,13.5,77.31997379707833,8522925,
01-01-25,2025-01-01_189,12:47:00 IST,SELL,NIFTY 1 JAN 23950 CE,,CE,38.15,38.15,61.73562726467188,4485900,Success
01-01-25,2025-01-01_242,13:17:00 IST,BUY,NIFTY 1 JAN 24100 PE,,PE,11.14,1.14,43.39992132746131,7347750,
01-01-25,2025-01-01_242,13:23:00 IST,SELL,NIFTY 1 JAN 24100 PE,,PE,8.8375,8.36,45.98594158925033,10193925,Failure
