date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
16-04-25,2025-04-16_108,11:03:00 IST,BUY,NIFTY 16 APR 23400 PE,,PE,75.25,65.25,35.97685480731974,13888275,
16-04-25,2025-04-16_108,11:09:00 IST,SELL,NIFTY 16 APR 23400 PE,,PE,74.35,74.35,58.26151669042554,10602900,Failure
16-04-25,2025-04-16_143,11:38:00 IST,BUY,NIFTY 16 APR 23550 CE,,CE,98.27,88.27,61.02024007711259,7296675,
16-04-25,2025-04-16_143,11:45:00 IST,SELL,NIFTY 16 APR 23550 CE,,CE,132.85,132.85,59.52728961334014,7655175,Success
16-04-25,2025-04-16_208,12:43:00 IST,BUY,NIFTY 16 APR 23700 CE,,CE,43.53,33.53,64.93865817404355,12015000,
16-04-25,2025-04-16_208,12:58:00 IST,SELL,NIFTY 16 APR 23700 CE,,CE,60.7,60.7,47.47286471295781,9677025,Success
16-04-25,2025-04-16_245,13:20:00 IST,BUY,NIFTY 16 APR 23800 PE,,PE,39.9,29.9,36.241830525977505,10684500,
16-04-25,2025-04-16_245,13:24:00 IST,SELL,NIFTY 16 APR 23800 PE,,PE,40.0,40.0,28.715350225239064,10972875,Success
16-04-25,2025-04-16_287,14:02:00 IST,BUY,NIFTY 16 APR 23850 CE,,CE,28.43,18.43,88.2264431565736,14636400,
16-04-25,2025-04-16_287,14:08:00 IST,SELL,NIFTY 16 APR 23850 CE,,CE,25.05,18.43,70.94343095313494,15627225,Failure
