timestamp,event,symbol,option_type,strike,ltp,score,required_score,rsi,trend,pcr,nifty_spot,gap_mode,scanner_state,reject_reason,notes
2026-06-01 09:30:02,HOUR_START,,,,,,,,,,,,,,Hourly hypercare log active; waiting for signals/rejects.
2026-06-01 09:30:02,RSI_BAND,,CE,,,,,53.3,GREEN,,,,,outside_band,NIFTY 1m RSI 53.3 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:30:37,RSI_BAND,,CE,,,,,53.3,GREEN,,,,,outside_band,NIFTY 1m RSI 53.3 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:31:09,RSI_BAND,,CE,,,,,48.9,GREEN,,,,,outside_band,NIFTY 1m RSI 48.9 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:31:44,RSI_BAND,,CE,,,,,53.0,GREEN,,,,,outside_band,NIFTY 1m RSI 53.0 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:32:17,RSI_BAND,,CE,,,,,52.5,GREEN,,,,,outside_band,NIFTY 1m RSI 52.5 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:32:51,RSI_BAND,,CE,,,,,52.5,GREEN,,,,,outside_band,NIFTY 1m RSI 52.5 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:33:23,RSI_BAND,,CE,,,,,55.6,GREEN,,,,,outside_band,NIFTY 1m RSI 55.6 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:33:57,RSI_BAND,,CE,,,,,55.6,GREEN,,,,,outside_band,NIFTY 1m RSI 55.6 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:34:28,RSI_BAND,,CE,,,,,55.6,GREEN,,,,,outside_band,NIFTY 1m RSI 55.6 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:35:02,RSI_BAND,,CE,,,,,52.9,GREEN,,,,,outside_band,NIFTY 1m RSI 52.9 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:35:36,RSI_BAND,,CE,,,,,53.7,GREEN,,,,,outside_band,NIFTY 1m RSI 53.7 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:36:12,RSI_BAND,,CE,,,,,45.7,GREEN,,,,,outside_band,NIFTY 1m RSI 45.7 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:36:45,RSI_BAND,,CE,,,,,45.7,GREEN,,,,,outside_band,NIFTY 1m RSI 45.7 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:37:20,RSI_BAND,,CE,,,,,45.7,GREEN,,,,,outside_band,NIFTY 1m RSI 45.7 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:37:52,RSI_BAND,,CE,,,,,41.1,GREEN,,,,,outside_band,NIFTY 1m RSI 41.1 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:38:24,RSI_BAND,,CE,,,,,41.1,GREEN,,,,,outside_band,NIFTY 1m RSI 41.1 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:38:56,RSI_BAND,,CE,,,,,43.5,GREEN,,,,,outside_band,NIFTY 1m RSI 43.5 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:39:29,RSI_BAND,,CE,,,,,50.3,GREEN,,,,,outside_band,NIFTY 1m RSI 50.3 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:40:01,RSI_BAND,,CE,,,,,50.3,GREEN,,,,,outside_band,NIFTY 1m RSI 50.3 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:40:35,RSI_BAND,,CE,,,,,54.0,GREEN,,,,,outside_band,NIFTY 1m RSI 54.0 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:41:10,RSI_BAND,,CE,,,,,54.0,GREEN,,,,,outside_band,NIFTY 1m RSI 54.0 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:41:45,RSI_BAND,,CE,,,,,55.2,GREEN,,,,,outside_band,NIFTY 1m RSI 55.2 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:42:19,RSI_BAND,,CE,,,,,55.2,GREEN,,,,,outside_band,NIFTY 1m RSI 55.2 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:42:52,RSI_BAND,,CE,,,,,52.4,GREEN,,,,,outside_band,NIFTY 1m RSI 52.4 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:43:24,RSI_BAND,,CE,,,,,48.8,GREEN,,,,,outside_band,NIFTY 1m RSI 48.8 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:43:56,RSI_BAND,,CE,,,,,48.8,GREEN,,,,,outside_band,NIFTY 1m RSI 48.8 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:44:30,RSI_BAND,,CE,,,,,48.8,GREEN,,,,,outside_band,NIFTY 1m RSI 48.8 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:45:01,RSI_BAND,,CE,,,,,48.2,GREEN,,,,,outside_band,NIFTY 1m RSI 48.2 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:45:33,RSI_BAND,,CE,,,,,48.2,GREEN,,,,,outside_band,NIFTY 1m RSI 48.2 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:46:05,RSI_BAND,,CE,,,,,42.8,GREEN,,,,,outside_band,NIFTY 1m RSI 42.8 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:46:38,RSI_BAND,,CE,,,,,48.6,GREEN,,,,,outside_band,NIFTY 1m RSI 48.6 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:47:10,RSI_BAND,,CE,,,,,45.8,GREEN,,,,,outside_band,NIFTY 1m RSI 45.8 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:47:44,RSI_BAND,,CE,,,,,45.8,GREEN,,,,,outside_band,NIFTY 1m RSI 45.8 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:48:17,RSI_BAND,,CE,,,,,45.8,GREEN,,,,,outside_band,NIFTY 1m RSI 45.8 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:48:49,RSI_BAND,,CE,,,,,42.3,GREEN,,,,,outside_band,NIFTY 1m RSI 42.3 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:49:22,RSI_BAND,,CE,,,,,42.3,GREEN,,,,,outside_band,NIFTY 1m RSI 42.3 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:49:55,RSI_BAND,,CE,,,,,43.5,GREEN,,,,,outside_band,NIFTY 1m RSI 43.5 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-01 09:50:27,RSI_BAND,,CE,,,,,45.7,GREEN,,,,,outside_band,NIFTY 1m RSI 45.7 below CE band (58.0-90.0) — CE buy signals blocked
