trade_id,time_ist,event,symbol,option_type,price,trailing_sl,pnl_rs,pnl_pct,outcome,rsi_3m,rsi_1m,supertrend_3m,supertrend_1m
2026-05-19_75,2026-05-19 10:30:00 IST,BUY CE,NIFTY 19 MAY 23500 CE,CE,230.75,207.68,,,,56.06,44.51,GREEN,GREEN
2026-05-19_75,2026-05-19 10:45:00 IST,SL HIT,NIFTY 19 MAY 23500 CE,CE,237.0,245.1,6.25,2.71,SUCCESS,71.96,56.5,GREEN,GREEN
2026-05-19_111,2026-05-19 11:06:00 IST,BUY CE,NIFTY 19 MAY 23600 CE,CE,201.55,181.4,,,,55.25,45.43,GREEN,GREEN
2026-05-19_111,2026-05-19 11:15:00 IST,SELL (EMA9_CROSSED_BELOW_EMA20),NIFTY 19 MAY 23600 CE,CE,195.9,195.6,-5.65,-2.8,FAILURE,40.82,17.51,GREEN,RED
2026-05-19_123,2026-05-19 11:18:00 IST,BUY PE,NIFTY 19 MAY 23500 PE,PE,194.75,175.28,,,,37.17,15.23,RED,RED
2026-05-19_123,2026-05-19 11:30:00 IST,SL HIT,NIFTY 19 MAY 23500 PE,PE,180.75,185.58,-14.0,-7.19,FAILURE,39.35,70.08,RED,RED
2026-05-19_136,2026-05-19 11:31:00 IST,BUY PE,NIFTY 19 MAY 23600 PE,PE,224.9,202.41,,,,39.35,57.56,RED,RED
2026-05-19_136,2026-05-19 11:48:00 IST,SELL (EMA9_CROSSED_ABOVE_EMA20),NIFTY 19 MAY 23600 PE,PE,221.75,202.41,-3.15,-1.4,FAILURE,53.7,79.97,RED,GREEN
,,,,,,,,,,,,,
SUMMARY,2026-05-19,Total trades: 4,SUCCESS: 1,FAILURE: 3,Win %: 25.0,Failure %: 75.0,BREAKEVEN: 0,Avg PnL %: -2.17,Win 25.0% | Fail 75.0%,,,,
