test_date,total_trades,success,failure,breakeven,win_rate_pct,failure_rate_pct,avg_pnl_pct,setup_timeframe,trigger_timeframe,setup_filter,trigger_filter
2025-10-01,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-03,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-06,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-07,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-08,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-09,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-10,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-13,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-14,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-15,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-16,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-17,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-20,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-21,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-23,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-24,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-27,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-28,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-29,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-30,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-10-31,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-03,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-04,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-06,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-07,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-10,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-11,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-12,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-13,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-14,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-17,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-18,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-19,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-20,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-21,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-24,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-25,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-11-26,0,0,0,0,0,0,0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
