date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
06-06-25,2025-06-06_55,10:10:00 IST,BUY,SENSEX 6 JUN 81400 CE,Uptrend,CE,1003.59,993.59,68.44573336713904,135280,
06-06-25,2025-06-06_55,10:15:00 IST,SELL,SENSEX 6 JUN 81400 CE,Uptrend,CE,993.59,993.59,53.25243931409672,126840,Failure
06-06-25,2025-06-06_73,10:28:00 IST,BUY,SENSEX 6 JUN 81500 CE,Uptrend,CE,818.1,808.1,71.97457548556412,328840,
06-06-25,2025-06-06_73,10:35:00 IST,SELL,SENSEX 6 JUN 81500 CE,Uptrend,CE,973.5,973.5,77.08847016689664,255400,Success
06-06-25,2025-06-06_100,10:55:00 IST,BUY,SENSEX 6 JUN 81900 CE,Uptrend,CE,646.7,636.7,68.91373635438634,172560,
06-06-25,2025-06-06_100,11:00:00 IST,SELL,SENSEX 6 JUN 81900 CE,Uptrend,CE,636.7,636.7,69.0577299415832,166600,Failure
06-06-25,2025-06-06_183,12:18:00 IST,BUY,SENSEX 6 JUN 82300 PE,Downtrend,PE,537.12,527.12,42.88192805495775,151080,
06-06-25,2025-06-06_183,12:35:00 IST,SELL,SENSEX 6 JUN 82300 PE,Downtrend,PE,540.2,540.2,45.27765842562955,147680,Success
06-06-25,2025-06-06_232,13:07:00 IST,BUY,SENSEX 6 JUN 82200 PE,Downtrend,PE,404.0,394.0,45.2521934375727,524720,
06-06-25,2025-06-06_232,13:15:00 IST,SELL,SENSEX 6 JUN 82200 PE,Downtrend,PE,394.0,394.0,38.26214896557691,535440,Failure
