test_date,symbol,option_type,strike,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason,monitor_log,trade_book,pnl_pts,pnl_inr
17-07-2025,NIFTY 17 JUL 25 25050 PE,PE,25050.0,90.0,10:31:00 IST,10:43:00 IST,176.75,176.4,156.75,-0.2,Failure,TIME_DECAY,[],"[{'date': '2025-07-17', 'trade id': '2025-07-17_451', 'time ist': '10:31:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 17 JUL 25 25050 PE', 'option_type': 'PE', 'price': 176.75, 'trailing_sl': 156.75, 'rsi': 21.6, 'oi': 1919925, 'outcome': ''}, {'date': '2025-07-17', 'trade id': '2025-07-17_451', 'time ist': '10:43:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 17 JUL 25 25050 PE', 'option_type': 'PE', 'price': 176.4, 'trailing_sl': 156.75, 'rsi': 35.1, 'oi': 1863000, 'outcome': 'Failure'}]",-0.35,-26.25
31-07-2025,NIFTY 31 JUL 25 24850 PE,PE,24850.0,85.0,09:17:00 IST,09:19:00 IST,82.21,142.21,62.21,72.98,Success,target_hit,[],"[{'date': '2025-07-31', 'trade id': '2025-07-31_378', 'time ist': '09:17:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 31 JUL 25 24850 PE', 'option_type': 'PE', 'price': 82.21, 'trailing_sl': 62.21, 'rsi': 22.8, 'oi': 4108725, 'outcome': ''}, {'date': '2025-07-31', 'trade id': '2025-07-31_378', 'time ist': '09:19:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 31 JUL 25 24850 PE', 'option_type': 'PE', 'price': 142.21, 'trailing_sl': 62.21, 'rsi': 30.2, 'oi': 979350, 'outcome': 'Success'}]",60.0,4500.0
10-07-2025,NIFTY 10 JUL 25 25350 PE,PE,25350.0,90.0,10:22:00 IST,11:05:00 IST,166.8,226.8,210.0,35.97,Success,target_hit,[],"[{'date': '2025-07-10', 'trade id': '2025-07-10_442', 'time ist': '10:22:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 10 JUL 25 25350 PE', 'option_type': 'PE', 'price': 166.8, 'trailing_sl': 146.8, 'rsi': 26.1, 'oi': 2069925, 'outcome': ''}, {'date': '2025-07-10', 'trade id': '2025-07-10_442', 'time ist': '11:05:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 10 JUL 25 25350 PE', 'option_type': 'PE', 'price': 226.8, 'trailing_sl': 210.0, 'rsi': 21.6, 'oi': 1181400, 'outcome': 'Success'}]",60.0,4500.0
18-07-2025,NIFTY 18 JUL 25 25050 PE,PE,25050.0,90.0,10:31:00 IST,10:43:00 IST,176.75,176.4,156.75,-0.2,Failure,TIME_DECAY,[],"[{'date': '2025-07-18', 'trade id': '2025-07-18_76', 'time ist': '10:31:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 18 JUL 25 25050 PE', 'option_type': 'PE', 'price': 176.75, 'trailing_sl': 156.75, 'rsi': 21.5, 'oi': 1919925, 'outcome': ''}, {'date': '2025-07-18', 'trade id': '2025-07-18_76', 'time ist': '10:43:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 18 JUL 25 25050 PE', 'option_type': 'PE', 'price': 176.4, 'trailing_sl': 156.75, 'rsi': 35.1, 'oi': 1863000, 'outcome': 'Failure'}]",-0.35,-26.25
11-07-2025,NIFTY 11 JUL 25 25350 PE,PE,25350.0,90.0,10:22:00 IST,11:05:00 IST,166.8,226.8,210.0,35.97,Success,target_hit,[],"[{'date': '2025-07-11', 'trade id': '2025-07-11_67', 'time ist': '10:22:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 11 JUL 25 25350 PE', 'option_type': 'PE', 'price': 166.8, 'trailing_sl': 146.8, 'rsi': 27.0, 'oi': 2069925, 'outcome': ''}, {'date': '2025-07-11', 'trade id': '2025-07-11_67', 'time ist': '11:05:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 11 JUL 25 25350 PE', 'option_type': 'PE', 'price': 226.8, 'trailing_sl': 210.0, 'rsi': 21.6, 'oi': 1181400, 'outcome': 'Success'}]",60.0,4500.0
02-07-2025,NIFTY 2 JUL 25 25650 PE,PE,25650.0,100.0,09:51:00 IST,11:50:00 IST,137.56,176.7,176.7,28.45,Success,stop_loss_hit,[],"[{'date': '2025-07-02', 'trade id': '2025-07-02_36', 'time ist': '09:51:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 2 JUL 25 25650 PE', 'option_type': 'PE', 'price': 137.56, 'trailing_sl': 117.56, 'rsi': 47.9, 'oi': 2700300, 'outcome': ''}, {'date': '2025-07-02', 'trade id': '2025-07-02_36', 'time ist': '11:50:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 2 JUL 25 25650 PE', 'option_type': 'PE', 'price': 176.7, 'trailing_sl': 176.7, 'rsi': 65.0, 'oi': 1612350, 'outcome': 'Success'}]",39.14,2935.5
03-07-2025,NIFTY 3 JUL 25 25650 PE,PE,25650.0,90.0,11:33:00 IST,12:25:00 IST,124.08,159.15,159.15,28.26,Success,stop_loss_hit,[],"[{'date': '2025-07-03', 'trade id': '2025-07-03_138', 'time ist': '11:33:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 3 JUL 25 25650 PE', 'option_type': 'PE', 'price': 124.08, 'trailing_sl': 104.08, 'rsi': 39.8, 'oi': 1930050, 'outcome': ''}, {'date': '2025-07-03', 'trade id': '2025-07-03_138', 'time ist': '12:25:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 3 JUL 25 25650 PE', 'option_type': 'PE', 'price': 159.15, 'trailing_sl': 159.15, 'rsi': 50.6, 'oi': 1318500, 'outcome': 'Success'}]",35.07,2630.25
16-07-2025,NIFTY 16 JUL 25 25250 PE,PE,25250.0,90.0,10:20:00 IST,10:32:00 IST,126.0,125.5,106.0,-0.4,Failure,TIME_DECAY,[],"[{'date': '2025-07-16', 'trade id': '2025-07-16_65', 'time ist': '10:20:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 16 JUL 25 25250 PE', 'option_type': 'PE', 'price': 126.0, 'trailing_sl': 106.0, 'rsi': 45.4, 'oi': 3019425, 'outcome': ''}, {'date': '2025-07-16', 'trade id': '2025-07-16_65', 'time ist': '10:32:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 16 JUL 25 25250 PE', 'option_type': 'PE', 'price': 125.5, 'trailing_sl': 106.0, 'rsi': 55.1, 'oi': 3065400, 'outcome': 'Failure'}]",-0.5,-37.5
08-07-2025,NIFTY 8 JUL 25 25550 PE,PE,25550.0,100.0,10:09:00 IST,10:21:00 IST,149.03,147.95,129.03,-0.72,Failure,TIME_DECAY,[],"[{'date': '2025-07-08', 'trade id': '2025-07-08_54', 'time ist': '10:09:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 8 JUL 25 25550 PE', 'option_type': 'PE', 'price': 149.03, 'trailing_sl': 129.03, 'rsi': 40.9, 'oi': 1858050, 'outcome': ''}, {'date': '2025-07-08', 'trade id': '2025-07-08_54', 'time ist': '10:21:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 8 JUL 25 25550 PE', 'option_type': 'PE', 'price': 147.95, 'trailing_sl': 129.03, 'rsi': 53.4, 'oi': 1813650, 'outcome': 'Failure'}]",-1.08,-81.0
28-07-2025,NIFTY 28 JUL 25 24750 PE,PE,24750.0,100.0,10:38:00 IST,10:50:00 IST,153.62,152.25,133.62,-0.89,Failure,TIME_DECAY,[],"[{'date': '2025-07-28', 'trade id': '2025-07-28_458', 'time ist': '10:38:00 IST', 'event': 'BUY PE', 'symbol': 'NIFTY 28 JUL 25 24750 PE', 'option_type': 'PE', 'price': 153.62, 'trailing_sl': 133.62, 'rsi': 32.6, 'oi': 2480475, 'outcome': ''}, {'date': '2025-07-28', 'trade id': '2025-07-28_458', 'time ist': '10:50:00 IST', 'event': 'SELL', 'symbol': 'NIFTY 28 JUL 25 24750 PE', 'option_type': 'PE', 'price': 152.25, 'trailing_sl': 133.62, 'rsi': 32.7, 'oi': 2193150, 'outcome': 'Failure'}]",-1.37,-102.75
