symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 10 JAN 23450 CE,10:55:00 IST,10-01-25 10:55:00 IST,261.3,61.778166858714286,248.91,HOLD,no_exit_condition_met
NIFTY 10 JAN 23450 CE,10:56:00 IST,10-01-25 10:56:00 IST,261.3,62.06659762092092,248.91,HOLD,no_exit_condition_met
NIFTY 10 JAN 23450 CE,10:57:00 IST,10-01-25 10:57:00 IST,261.3,61.511171577621376,248.91,HOLD,no_exit_condition_met
NIFTY 10 JAN 23450 CE,10:58:00 IST,10-01-25 10:58:00 IST,261.3,59.866859229058,248.91,HOLD,no_exit_condition_met
NIFTY 10 JAN 23450 CE,10:59:00 IST,10-01-25 10:59:00 IST,261.3,61.851382410488924,248.91,HOLD,no_exit_condition_met
NIFTY 10 JAN 23450 CE,11:00:00 IST,10-01-25 11:00:00 IST,278.7,57.89996661761996,248.91,TRAIL,continuous_trailing
NIFTY 10 JAN 23450 CE,11:01:00 IST,10-01-25 11:01:00 IST,278.7,66.43680705615634,263.7,HOLD,no_exit_condition_met
NIFTY 10 JAN 23450 CE,11:02:00 IST,10-01-25 11:02:00 IST,278.7,67.6666488010184,263.7,HOLD,no_exit_condition_met
NIFTY 10 JAN 23450 CE,11:03:00 IST,10-01-25 11:03:00 IST,278.7,67.57253719120948,263.7,HOLD,no_exit_condition_met
NIFTY 10 JAN 23450 CE,11:04:00 IST,10-01-25 11:04:00 IST,278.7,69.90172875889222,263.7,HOLD,no_exit_condition_met
NIFTY 10 JAN 23450 CE,11:05:00 IST,10-01-25 11:05:00 IST,259.0,73.9567650672719,263.7,EXIT,stop_loss_hit
