trade_id,time_ist,event,symbol,option_type,price,trailing_sl,pnl_rs,pnl_pct,outcome,rsi_3m,rsi_1m,supertrend_3m,supertrend_1m
2026-05-14_81,2026-05-14 10:36:00 IST,BUY CE,NIFTY 14 MAY 24000 CE,CE,88.15,79.34,,,,64.26,74.9,GREEN,GREEN
2026-05-14_81,2026-05-14 10:48:00 IST,SELL (SUPERTREND_FLIP),NIFTY 14 MAY 24000 CE,CE,87.9,79.34,-0.25,-0.28,FAILURE,44.59,26.07,RED,RED
2026-05-14_94,2026-05-14 10:49:00 IST,BUY PE,NIFTY 14 MAY 23800 PE,PE,161.65,145.49,,,,44.59,16.83,RED,RED
2026-05-14_94,2026-05-14 11:21:00 IST,SELL (SUPERTREND_FLIP),NIFTY 14 MAY 23800 PE,PE,205.0,194.75,43.35,26.82,SUCCESS,44.28,82.45,GREEN,GREEN
2026-05-14_140,2026-05-14 11:35:00 IST,BUY CE,NIFTY 14 MAY 23700 CE,CE,173.4,156.06,,,,75.31,79.94,GREEN,GREEN
2026-05-14_140,2026-05-14 12:25:00 IST,SL HIT,NIFTY 14 MAY 23700 CE,CE,170.15,182.26,-3.25,-1.87,FAILURE,62.23,72.38,GREEN,GREEN
2026-05-14_230,2026-05-14 13:05:00 IST,BUY CE,NIFTY 14 MAY 23800 CE,CE,147.15,132.44,,,,61.93,67.99,GREEN,GREEN
2026-05-14_230,2026-05-14 13:35:00 IST,SL HIT,NIFTY 14 MAY 23800 CE,CE,136.2,144.35,-10.95,-7.44,FAILURE,58.37,63.9,GREEN,RED
,,,,,,,,,,,,,
SUMMARY,2026-05-14,Total trades: 4,SUCCESS: 1,FAILURE: 3,Win %: 25.0,Failure %: 75.0,BREAKEVEN: 0,Avg PnL %: 4.31,Win 25.0% | Fail 75.0%,,,,
