symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 12 FEB 22600 PE,09:46:00 IST,12-02-25 09:46:00 IST,2.05,25.19911634386071,-7.93,HOLD,no_exit_condition_met
NIFTY 12 FEB 22600 PE,09:47:00 IST,12-02-25 09:47:00 IST,2.05,23.371323857503867,-7.93,EXIT,2_min_profit_check_failed
NIFTY 12 FEB 22650 PE,09:47:00 IST,12-02-25 09:47:00 IST,2.85,23.371323857503867,-7.12,HOLD,no_exit_condition_met
NIFTY 12 FEB 22650 PE,09:48:00 IST,12-02-25 09:48:00 IST,2.85,23.130417386414493,-7.12,EXIT,2_min_profit_check_failed
NIFTY 12 FEB 22750 PE,09:48:00 IST,12-02-25 09:48:00 IST,5.95,23.130417386414493,-3.99,HOLD,no_exit_condition_met
NIFTY 12 FEB 22750 PE,09:49:00 IST,12-02-25 09:49:00 IST,5.95,23.104769506078483,-3.99,EXIT,2_min_profit_check_failed
NIFTY 12 FEB 22800 PE,09:49:00 IST,12-02-25 09:49:00 IST,8.7,23.104769506078483,-1.21,HOLD,no_exit_condition_met
NIFTY 12 FEB 22800 PE,09:50:00 IST,12-02-25 09:50:00 IST,7.0,20.76559680138324,-1.21,EXIT,2_min_profit_check_failed
NIFTY 12 FEB 22850 PE,09:50:00 IST,12-02-25 09:50:00 IST,9.9,20.76559680138324,2.32,HOLD,no_exit_condition_met
NIFTY 12 FEB 22850 PE,09:51:00 IST,12-02-25 09:51:00 IST,9.9,19.80423362895418,2.32,EXIT,2_min_profit_check_failed
NIFTY 12 FEB 22900 PE,09:51:00 IST,12-02-25 09:51:00 IST,14.1,19.80423362895418,4.24,HOLD,no_exit_condition_met
NIFTY 12 FEB 22900 PE,09:52:00 IST,12-02-25 09:52:00 IST,14.1,27.2590341927947,4.24,EXIT,2_min_profit_check_failed
NIFTY 12 FEB 22700 PE,09:52:00 IST,12-02-25 09:52:00 IST,3.5,27.2590341927947,-6.46,HOLD,no_exit_condition_met
NIFTY 12 FEB 22700 PE,09:53:00 IST,12-02-25 09:53:00 IST,3.5,27.511198107188264,-6.46,EXIT,2_min_profit_check_failed
NIFTY 12 FEB 22950 PE,09:57:00 IST,12-02-25 09:57:00 IST,13.25,32.44398445785801,3.38,HOLD,no_exit_condition_met
NIFTY 12 FEB 22950 PE,09:58:00 IST,12-02-25 09:58:00 IST,13.25,28.80275558518322,3.38,EXIT,2_min_profit_check_failed
NIFTY 12 FEB 23000 PE,09:59:00 IST,12-02-25 09:59:00 IST,18.3,24.729783643985414,8.48,HOLD,no_exit_condition_met
NIFTY 12 FEB 23000 PE,10:00:00 IST,12-02-25 10:00:00 IST,19.05,28.150824467972384,8.48,TRAIL,2_min_cold_protection_end
NIFTY 12 FEB 23000 PE,10:01:00 IST,12-02-25 10:01:00 IST,19.05,23.831938066616573,18.98,HOLD,no_exit_condition_met
NIFTY 12 FEB 23000 PE,10:02:00 IST,12-02-25 10:02:00 IST,19.05,29.548078074006767,18.98,HOLD,no_exit_condition_met
NIFTY 12 FEB 23000 PE,10:03:00 IST,12-02-25 10:03:00 IST,19.05,28.551648190284823,18.98,HOLD,no_exit_condition_met
NIFTY 12 FEB 23000 PE,10:04:00 IST,12-02-25 10:04:00 IST,19.05,27.520637542870617,18.98,EXIT,6_min_momentum_failed
