datetime_ist,best_ce_score,best_pe_score,trigger_1m_ce,trigger_1m_pe,entry_allowed
24-11-25 09:15:00 IST,,,False,False,True
24-11-25 09:16:00 IST,,,False,False,True
24-11-25 09:17:00 IST,,,False,False,True
24-11-25 09:18:00 IST,,,False,False,True
24-11-25 09:19:00 IST,,,False,False,True
24-11-25 09:20:00 IST,,,False,False,True
24-11-25 09:21:00 IST,,,False,False,True
24-11-25 09:22:00 IST,,,False,False,True
24-11-25 09:23:00 IST,,,False,False,True
24-11-25 09:24:00 IST,,,False,False,True
24-11-25 09:25:00 IST,,,False,False,True
24-11-25 09:26:00 IST,,,False,False,True
24-11-25 09:27:00 IST,,,False,False,True
24-11-25 09:28:00 IST,,,False,False,True
24-11-25 09:29:00 IST,,,False,False,True
24-11-25 09:30:00 IST,,,False,False,True
24-11-25 09:31:00 IST,,,False,False,True
24-11-25 09:32:00 IST,,,False,False,True
24-11-25 09:33:00 IST,,,False,False,True
24-11-25 09:34:00 IST,,,False,False,True
24-11-25 09:35:00 IST,,,False,False,True
24-11-25 09:36:00 IST,,,False,False,True
24-11-25 09:37:00 IST,,,False,False,True
24-11-25 09:38:00 IST,,,False,False,True
24-11-25 09:39:00 IST,,,False,False,True
24-11-25 09:40:00 IST,,,False,False,True
24-11-25 09:41:00 IST,,,False,False,True
24-11-25 09:42:00 IST,,,False,False,True
24-11-25 09:43:00 IST,,,False,False,True
24-11-25 09:44:00 IST,0,72.0,False,False,True
24-11-25 09:45:00 IST,0,94.0,False,False,True
24-11-25 09:46:00 IST,0,100,False,False,True
24-11-25 09:47:00 IST,0,100,False,False,True
24-11-25 09:48:00 IST,0,100,False,False,True
24-11-25 09:49:00 IST,0,100,False,False,True
24-11-25 09:50:00 IST,37,65,False,False,True
24-11-25 09:51:00 IST,37,25,False,False,True
24-11-25 09:52:00 IST,37,0,False,False,True
24-11-25 09:53:00 IST,62,0,False,False,True
24-11-25 09:54:00 IST,37,40,False,False,True
24-11-25 09:55:00 IST,0,57,False,False,True
24-11-25 09:56:00 IST,0,57,False,False,True
24-11-25 09:57:00 IST,0,52,False,False,True
24-11-25 09:58:00 IST,0,77,False,False,True
24-11-25 09:59:00 IST,0,77,False,False,True
24-11-25 10:00:00 IST,0,77,False,False,True
24-11-25 10:01:00 IST,0,100,False,False,True
24-11-25 10:02:00 IST,0,57,False,False,True
