test_date,symbol,strategy,option_type,strike,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason
2025-02-12,NIFTY 12 FEB 22600 PE,,PE,22600,90,09:45:00 IST,09:47:00 IST,2.07,2.05,-7.93,-0.97,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 22650 PE,,PE,22650,80,09:46:00 IST,09:48:00 IST,2.88,2.85,-7.12,-1.04,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 22750 PE,,PE,22750,90,09:47:00 IST,09:49:00 IST,6.01,5.95,-3.99,-1.0,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 22800 PE,,PE,22800,80,09:48:00 IST,09:50:00 IST,8.79,7.0,-1.21,-20.36,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 22850 PE,,PE,22850,80,09:49:00 IST,09:51:00 IST,12.32,9.9,2.32,-19.64,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 22900 PE,,PE,22900,80,09:50:00 IST,09:52:00 IST,14.24,14.1,4.24,-0.98,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 22700 PE,,PE,22700,90,09:51:00 IST,09:53:00 IST,3.54,3.5,-6.46,-1.13,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 22950 PE,,PE,22950,75,09:56:00 IST,09:58:00 IST,13.38,13.25,3.38,-0.97,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23000 PE,,PE,23000,75,09:58:00 IST,10:04:00 IST,18.48,19.05,18.98,3.08,Success,6_min_momentum_failed
2025-02-12,NIFTY 12 FEB 23100 PE,,PE,23100,75,10:01:00 IST,10:03:00 IST,36.56,36.2,26.56,-0.98,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23150 PE,,PE,23150,75,10:03:00 IST,10:05:00 IST,51.16,43.65,41.16,-14.68,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23200 PE,,PE,23200,75,10:04:00 IST,10:05:00 IST,73.83,63.83,63.83,-13.54,Failure,stop_loss_hit
2025-02-12,NIFTY 12 FEB 23250 PE,,PE,23250,75,10:05:00 IST,10:07:00 IST,91.41,90.5,81.41,-1.0,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23300 PE,,PE,23300,75,10:09:00 IST,10:21:00 IST,127.31,132.95,131.0,4.43,Success,dynamic_trail_hit
2025-02-12,NIFTY 12 FEB 23450 PE,,PE,23450,75,10:17:00 IST,10:19:00 IST,275.83,273.1,265.83,-0.99,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23500 PE,,PE,23500,75,10:21:00 IST,10:23:00 IST,319.26,316.1,309.26,-0.99,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23600 PE,,PE,23600,75,10:23:00 IST,10:35:00 IST,417.13,431.6,431.6,3.47,Success,stop_loss_hit
2025-02-12,NIFTY 12 FEB 23050 PE,,PE,23050,75,11:10:00 IST,11:12:00 IST,15.5,15.35,5.5,-0.97,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23350 PE,,PE,23350,75,11:11:00 IST,11:13:00 IST,191.04,189.15,181.04,-0.99,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23700 PE,,PE,23700,75,11:16:00 IST,11:18:00 IST,530.2,524.95,520.2,-0.99,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 22750 CE,,CE,22750,85,11:56:00 IST,11:58:00 IST,488.08,483.25,478.08,-0.99,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23400 CE,,CE,23400,85,11:57:00 IST,11:59:00 IST,5.71,5.65,-4.29,-1.05,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23450 CE,,CE,23450,85,11:58:00 IST,12:00:00 IST,3.13,3.0,-6.87,-4.15,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23550 CE,,CE,23550,85,11:59:00 IST,12:01:00 IST,1.01,1.0,-8.99,-0.99,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23700 CE,,CE,23700,85,12:00:00 IST,12:02:00 IST,0.3,0.3,-9.7,0.0,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23050 CE,,CE,23050,75,12:01:00 IST,12:03:00 IST,193.57,191.65,183.57,-0.99,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23150 CE,,CE,23150,75,12:02:00 IST,12:04:00 IST,102.97,101.95,92.97,-0.99,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23200 CE,,CE,23200,75,12:03:00 IST,12:05:00 IST,63.12,59.7,53.12,-5.42,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 22800 CE,,CE,22800,75,12:47:00 IST,12:49:00 IST,406.83,402.8,396.83,-0.99,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 22900 CE,,CE,22900,75,12:50:00 IST,12:52:00 IST,307.24,304.2,297.24,-0.99,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23250 CE,,CE,23250,75,12:51:00 IST,12:53:00 IST,11.62,11.5,1.62,-1.03,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23300 CE,,CE,23300,75,12:52:00 IST,12:54:00 IST,5.96,5.9,-4.04,-1.01,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 23350 CE,,CE,23350,75,12:53:00 IST,12:55:00 IST,3.23,2.95,-6.77,-8.67,Failure,2_min_profit_check_failed
2025-02-12,NIFTY 12 FEB 22850 CE,,CE,22850,75,13:01:00 IST,13:03:00 IST,358.6,355.05,348.6,-0.99,Failure,2_min_profit_check_failed
