symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 26 MAR 23650 PE,11:43:00 IST,26-03-25 11:43:00 IST,54.3,34.38174525059382,39.84,HOLD,no_exit_condition_met
NIFTY 26 MAR 23650 PE,11:44:00 IST,26-03-25 11:44:00 IST,54.3,36.080069845699754,39.84,HOLD,no_exit_condition_met
NIFTY 26 MAR 23650 PE,11:45:00 IST,26-03-25 11:45:00 IST,61.4,40.60510951492969,39.84,TRAIL,continuous_trailing
NIFTY 26 MAR 23650 PE,11:46:00 IST,26-03-25 11:46:00 IST,61.4,33.02185901642433,46.4,HOLD,no_exit_condition_met
NIFTY 26 MAR 23650 PE,11:47:00 IST,26-03-25 11:47:00 IST,61.4,33.830050938504655,46.4,HOLD,no_exit_condition_met
NIFTY 26 MAR 23650 PE,11:48:00 IST,26-03-25 11:48:00 IST,61.4,33.800768891802974,46.4,HOLD,no_exit_condition_met
NIFTY 26 MAR 23650 PE,11:49:00 IST,26-03-25 11:49:00 IST,61.4,30.50256292557073,46.4,HOLD,no_exit_condition_met
NIFTY 26 MAR 23650 PE,11:50:00 IST,26-03-25 11:50:00 IST,53.8,36.90427108869415,46.4,HOLD,no_exit_condition_met
NIFTY 26 MAR 23650 PE,11:51:00 IST,26-03-25 11:51:00 IST,53.8,36.26191699060474,46.4,HOLD,no_exit_condition_met
NIFTY 26 MAR 23650 PE,11:52:00 IST,26-03-25 11:52:00 IST,53.8,29.854319613071866,46.4,HOLD,no_exit_condition_met
NIFTY 26 MAR 23650 PE,11:53:00 IST,26-03-25 11:53:00 IST,53.8,35.5328744994692,46.4,HOLD,no_exit_condition_met
NIFTY 26 MAR 23650 PE,11:54:00 IST,26-03-25 11:54:00 IST,53.8,40.52250679100925,46.4,EXIT,time_cutoff_12m
