trade_id,time_ist,event,symbol,option_type,price,trailing_sl,pnl_rs,pnl_pct,outcome,rsi_3m,rsi_1m,supertrend_3m,supertrend_1m
2026-05-22_95,2026-05-22 10:50:00 IST,BUY CE,NIFTY 22 MAY 23800 CE,CE,147.0,132.3,,,,60.03,51.12,GREEN,GREEN
2026-05-22_95,2026-05-22 11:18:00 IST,SELL (EMA9_CROSSED_BELOW_EMA20),NIFTY 22 MAY 23800 CE,CE,137.8,132.3,-9.2,-6.26,FAILURE,42.86,41.7,GREEN,RED
2026-05-22_215,2026-05-22 12:50:00 IST,BUY CE,NIFTY 22 MAY 24000 CE,CE,78.75,70.88,,,,57.33,88.56,GREEN,GREEN
2026-05-22_215,2026-05-22 13:05:00 IST,SL HIT,NIFTY 22 MAY 24000 CE,CE,69.0,70.88,-9.75,-12.38,FAILURE,64.25,53.01,GREEN,GREEN
2026-05-22_235,2026-05-22 13:10:00 IST,BUY CE,NIFTY 22 MAY 23850 CE,CE,131.0,117.9,,,,73.42,40.16,GREEN,GREEN
2026-05-22_235,2026-05-22 13:36:00 IST,SELL (RSI_REVERSAL),NIFTY 22 MAY 23850 CE,CE,125.7,117.9,-5.3,-4.05,FAILURE,39.07,47.36,GREEN,RED
2026-05-22_295,2026-05-22 14:10:00 IST,BUY PE,NIFTY 22 MAY 23750 PE,PE,126.0,113.4,,,,35.47,39.65,RED,RED
2026-05-22_295,2026-05-22 14:45:00 IST,SL HIT,NIFTY 22 MAY 23750 PE,PE,157.0,157.89,31.0,24.6,SUCCESS,29.05,22.7,RED,RED
,,,,,,,,,,,,,
SUMMARY,2026-05-22,Total trades: 4,SUCCESS: 1,FAILURE: 3,Win %: 25.0,Failure %: 75.0,BREAKEVEN: 0,Avg PnL %: 0.48,Win 25.0% | Fail 75.0%,,,,
