Timestamp,Status,Symbol,Type,Val1,Val2,Score,Val3,RSI,Trend,PCR,Spot,Val4,Val5,Reason,Empty
timestamp,event,symbol,option_type,strike,ltp,score,required_score,rsi,trend,pcr,nifty_spot,gap_mode,scanner_state,reject_reason,notes
2026-06-04 09:43:25,HOUR_START,,,,,,,,,,,,,,Hourly hypercare log active; waiting for signals/rejects.
2026-06-04 09:43:38,RSI_BAND,,PE,,,,,50.7,RED,,,,,outside_band,NIFTY 1m RSI 50.7 above PE band (10.0-40.0) — PE buy signals blocked
2026-06-04 09:44:18,RSI_BAND,,PE,,,,,50.7,RED,,,,,outside_band,NIFTY 1m RSI 50.7 above PE band (10.0-40.0) — PE buy signals blocked
2026-06-04 09:44:28,REJECT,NIFTY 09 JUN 23350 PUT,PE,,,100,,49.9,RED,0.813,23351.9,,,not_deep_itm_need_100pt,
2026-06-04 09:44:38,REJECT,NIFTY 09 JUN 23350 PUT,PE,,,100,,49.9,RED,0.813,23353.05,,,not_deep_itm_need_100pt,
2026-06-04 09:44:49,REJECT,NIFTY 09 JUN 23350 PUT,PE,,,100,,49.9,RED,0.813,23353.45,,,not_deep_itm_need_100pt,
2026-06-04 09:44:58,RSI_BAND,,PE,,,,,49.9,RED,,,,,outside_band,NIFTY 1m RSI 49.9 above PE band (10.0-40.0) — PE buy signals blocked
2026-06-04 09:44:58,REJECT,NIFTY 09 JUN 23350 PUT,PE,,,100,,49.9,RED,0.813,23354.8,,,not_deep_itm_need_100pt,
2026-06-04 09:45:08,REJECT,NIFTY 09 JUN 23350 PUT,PE,,,100,,49.9,RED,0.813,23356.15,,,not_deep_itm_need_100pt,
2026-06-04 09:45:38,RSI_BAND,,PE,,,,,53.3,RED,,,,,outside_band,NIFTY 1m RSI 53.3 above PE band (10.0-40.0) — PE buy signals blocked
2026-06-04 09:46:09,RSI_BAND,,CE,,,,,57.1,GREEN,,,,,outside_band,NIFTY 1m RSI 57.1 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 09:46:48,RSI_BAND,,CE,,,,,57.1,GREEN,,,,,outside_band,NIFTY 1m RSI 57.1 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 09:47:19,RSI_BAND,,CE,,,,,57.1,GREEN,,,,,outside_band,NIFTY 1m RSI 57.1 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 09:48:01,RSI_BAND,,CE,,,,,57.3,GREEN,,,,,outside_band,NIFTY 1m RSI 57.3 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 09:48:40,RSI_BAND,,CE,,,,,57.3,GREEN,,,,,outside_band,NIFTY 1m RSI 57.3 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 09:49:11,RSI_BAND,,CE,,,,,57.4,GREEN,,,,,outside_band,NIFTY 1m RSI 57.4 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 09:54:41,RSI_BAND,,CE,,,,,58.0,GREEN,,,,,dropped from 60.2 (left CE band),NIFTY 1m RSI 58.0 below CE band (58.0-90.0) — CE buy signals blocked [dropped from 60.2 (left CE band)]
2026-06-04 09:55:19,RSI_BAND,,CE,,,,,58.0,GREEN,,,,,outside_band,NIFTY 1m RSI 58.0 below CE band (58.0-90.0) — CE buy signals blocked
timestamp,event,symbol,option_type,strike,ltp,score,required_score,rsi,trend,pcr,nifty_spot,gap_mode,scanner_state,reject_reason,notes
2026-06-04 10:00:03,HOUR_START,,,,,,,,,,,,,,Hourly hypercare log active; waiting for signals/rejects.
2026-06-04 10:17:54,RSI_BAND,,CE,,,,,53.4,GREEN,,,,,dropped from 61.9 (left CE band),NIFTY 1m RSI 53.4 below CE band (58.0-90.0) — CE buy signals blocked [dropped from 61.9 (left CE band)]
2026-06-04 10:18:26,RSI_BAND,,CE,,,,,53.4,GREEN,,,,,outside_band,NIFTY 1m RSI 53.4 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 10:28:10,RSI_BAND,,CE,,,,,51.4,GREEN,,,,,dropped from 59.2 (left CE band),NIFTY 1m RSI 51.4 below CE band (58.0-90.0) — CE buy signals blocked [dropped from 59.2 (left CE band)]
2026-06-04 10:28:41,RSI_BAND,,CE,,,,,51.4,GREEN,,,,,outside_band,NIFTY 1m RSI 51.4 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 10:29:12,RSI_BAND,,CE,,,,,51.4,GREEN,,,,,outside_band,NIFTY 1m RSI 51.4 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 10:29:43,RSI_BAND,,CE,,,,,51.4,GREEN,,,,,outside_band,NIFTY 1m RSI 51.4 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 10:30:13,RSI_BAND,,CE,,,,,49.6,GREEN,,,,,outside_band,NIFTY 1m RSI 49.6 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 10:30:45,RSI_BAND,,CE,,,,,45.7,GREEN,,,,,outside_band,NIFTY 1m RSI 45.7 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 10:31:21,RSI_BAND,,CE,,,,,45.7,GREEN,,,,,outside_band,NIFTY 1m RSI 45.7 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 10:31:54,RSI_BAND,,CE,,,,,43.1,GREEN,,,,,outside_band,NIFTY 1m RSI 43.1 below CE band (58.0-90.0) — CE buy signals blocked
2026-06-04 10:32:24,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,36.2,RED,1.329,23407.45,,,not_deep_itm_need_100pt,
2026-06-04 10:32:34,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,36.2,RED,1.316,23406.4,,,not_deep_itm_need_100pt,
2026-06-04 10:32:45,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,36.2,RED,1.316,23407.25,,,not_deep_itm_need_100pt,
2026-06-04 10:32:55,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,36.2,RED,1.316,23406.55,,,not_deep_itm_need_100pt,
2026-06-04 10:33:05,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,36.2,RED,1.316,23403.65,,,not_deep_itm_need_100pt,
2026-06-04 10:33:15,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,34.8,RED,1.316,23404.65,,,not_deep_itm_need_100pt,
2026-06-04 10:33:25,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,34.8,RED,1.316,23405.9,,,not_deep_itm_need_100pt,
2026-06-04 10:33:34,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,34.8,RED,1.284,23403.9,,,not_deep_itm_need_100pt,
2026-06-04 10:33:46,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,34.8,RED,1.284,23399.9,,,not_deep_itm_need_100pt,
2026-06-04 10:33:56,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,34.8,RED,1.284,23391.95,,,not_deep_itm_need_100pt,
2026-06-04 10:34:16,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,34.8,RED,1.284,23391.3,,,not_deep_itm_need_100pt,
2026-06-04 10:34:26,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,34.8,RED,1.284,23394.25,,,not_deep_itm_need_100pt,
2026-06-04 10:34:37,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,34.8,RED,1.265,23397.1,,,not_deep_itm_need_100pt,
2026-06-04 10:34:49,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,34.8,RED,1.265,23393.4,,,not_deep_itm_need_100pt,
2026-06-04 10:34:59,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,29.3,RED,1.265,23392.15,,,not_deep_itm_need_100pt,
2026-06-04 10:35:09,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,29.3,RED,1.265,23390.5,,,not_deep_itm_need_100pt,
2026-06-04 10:35:18,REJECT,NIFTY 09 JUN 23400 PUT,PE,,,100,,29.3,RED,1.265,23387.05,,,not_deep_itm_need_100pt,
