symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 21 MAY 24100 PE,10:08:00 IST,21-05-26 10:08:00 IST,367.0,26.31848437922585,352.0,HOLD,Momentum intact
NIFTY 21 MAY 24100 PE,10:09:00 IST,21-05-26 10:09:00 IST,367.0,22.63440859874028,352.0,HOLD,Momentum intact
NIFTY 21 MAY 24100 PE,10:10:00 IST,21-05-26 10:10:00 IST,348.0,28.085774054461652,352.0,EXIT,STOP_LOSS
NIFTY 21 MAY 24000 PE,10:39:00 IST,21-05-26 10:39:00 IST,275.75,26.76853423458209,260.75,HOLD,Momentum intact
NIFTY 21 MAY 24000 PE,10:40:00 IST,21-05-26 10:40:00 IST,276.8,31.236559135084576,260.75,TRAIL,PROFIT_LOCK
NIFTY 21 MAY 24000 PE,10:41:00 IST,21-05-26 10:41:00 IST,276.8,32.36382865729276,262.96,HOLD,Momentum intact
NIFTY 21 MAY 24000 PE,10:42:00 IST,21-05-26 10:42:00 IST,276.8,34.004127962063635,262.96,HOLD,Momentum intact
NIFTY 21 MAY 24000 PE,10:43:00 IST,21-05-26 10:43:00 IST,276.8,32.39957716222496,262.96,HOLD,Momentum intact
NIFTY 21 MAY 24000 PE,10:44:00 IST,21-05-26 10:44:00 IST,276.8,40.26915113288084,262.96,HOLD,Momentum intact
NIFTY 21 MAY 24000 PE,10:45:00 IST,21-05-26 10:45:00 IST,261.05,41.182466864663624,262.96,EXIT,STOP_LOSS
NIFTY 21 MAY 23900 PE,10:58:00 IST,21-05-26 10:58:00 IST,206.6,32.349602719034124,191.6,HOLD,Momentum intact
NIFTY 21 MAY 23900 PE,10:59:00 IST,21-05-26 10:59:00 IST,206.6,30.069524908213992,191.6,HOLD,Momentum intact
NIFTY 21 MAY 23900 PE,11:00:00 IST,21-05-26 11:00:00 IST,207.0,22.639296183962202,191.6,TRAIL,PROFIT_LOCK
NIFTY 21 MAY 23900 PE,11:01:00 IST,21-05-26 11:01:00 IST,207.0,17.668776368696356,196.65,HOLD,Momentum intact
NIFTY 21 MAY 23900 PE,11:02:00 IST,21-05-26 11:02:00 IST,207.0,20.577395573853465,196.65,HOLD,Momentum intact
NIFTY 21 MAY 23900 PE,11:03:00 IST,21-05-26 11:03:00 IST,207.0,27.039361090944837,196.65,HOLD,Momentum intact
NIFTY 21 MAY 23900 PE,11:04:00 IST,21-05-26 11:04:00 IST,207.0,29.386236820687813,196.65,HOLD,Momentum intact
NIFTY 21 MAY 23900 PE,11:05:00 IST,21-05-26 11:05:00 IST,208.2,28.087167065456825,196.65,TRAIL,PROFIT_LOCK
