date,trade id,time ist,event,symbol,option_type,price,trailing_sl,rsi,oi,outcome
28-01-26,2026-01-28_63,12:24:00 IST,BUY,NIFTY 28 JAN 25400 PE,PE,247.95,227.95,40.76656274381118,2196675,
28-01-26,2026-01-28_63,12:36:00 IST,SELL,NIFTY 28 JAN 25400 PE,PE,227.7,227.95,40.99791730439107,2282930,Failure
28-01-26,2026-01-28_73,12:54:00 IST,BUY,NIFTY 28 JAN 25550 PE,PE,318.05,298.05,40.066703452653556,170235,
28-01-26,2026-01-28_73,12:57:00 IST,SELL,NIFTY 28 JAN 25550 PE,PE,296.2,298.05,37.19731750212128,179400,Failure
28-01-26,2026-01-28_76,13:03:00 IST,BUY,NIFTY 28 JAN 25500 PE,PE,270.15,250.15,40.27595735606879,1643590,
28-01-26,2026-01-28_76,13:06:00 IST,SELL,NIFTY 28 JAN 25500 PE,PE,249.55,250.15,39.434039708384134,1653990,Failure
28-01-26,2026-01-28_85,13:30:00 IST,BUY,NIFTY 28 JAN 25450 PE,PE,232.65,212.65,37.16018569330729,553215,
28-01-26,2026-01-28_85,13:36:00 IST,SELL,NIFTY 28 JAN 25450 PE,PE,206.45,212.65,36.161002321058106,556205,Failure
28-01-26,2026-01-28_88,13:39:00 IST,BUY,NIFTY 28 JAN 25750 PE,PE,403.95,383.95,36.807907941396834,99775,
28-01-26,2026-01-28_88,13:45:00 IST,SELL,NIFTY 28 JAN 25750 PE,PE,378.8,383.95,30.035260331543398,102765,Failure
