test_date,total_trades,success,failure,breakeven,win_rate_pct,failure_rate_pct,avg_pnl_pct,setup_timeframe,trigger_timeframe,setup_filter,trigger_filter
2025-01-01,4,2,2,0,50.0,50.0,-2.7,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-02,2,1,1,0,50.0,50.0,-4.58,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-03,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-06,4,1,3,0,25.0,75.0,-4.25,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-07,1,1,0,0,100.0,0.0,1.01,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-08,1,1,0,0,100.0,0.0,9.5,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-09,1,0,1,0,0.0,100.0,-5.79,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-10,1,1,0,0,100.0,0.0,29.1,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-13,2,2,0,0,100.0,0.0,17.18,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-14,3,1,2,0,33.33,66.67,-5.4,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-15,2,0,2,0,0.0,100.0,-15.21,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-16,2,0,2,0,0.0,100.0,-3.27,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-17,1,0,1,0,0.0,100.0,-1.07,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-20,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-21,4,2,2,0,50.0,50.0,0.26,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-22,2,1,1,0,50.0,50.0,-1.25,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-23,3,1,2,0,33.33,66.67,5.73,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-24,3,1,2,0,33.33,66.67,6.91,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-27,3,0,3,0,0.0,100.0,-3.44,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-28,2,2,0,0,100.0,0.0,11.6,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-29,1,1,0,0,100.0,0.0,2.99,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-30,2,2,0,0,100.0,0.0,3.25,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-01-31,2,1,1,0,50.0,50.0,13.2,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-03,1,0,1,0,0.0,100.0,-5.33,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-04,1,0,1,0,0.0,100.0,-5.18,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-05,1,1,0,0,100.0,0.0,2.76,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-06,1,0,1,0,0.0,100.0,-3.52,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-07,1,0,1,0,0.0,100.0,-9.17,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-10,2,1,1,0,50.0,50.0,-2.39,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-11,1,0,1,0,0.0,100.0,-13.36,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-12,2,0,2,0,0.0,100.0,-3.56,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-13,4,2,2,0,50.0,50.0,2.32,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-14,1,1,0,0,100.0,0.0,0.89,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-17,1,0,1,0,0.0,100.0,-0.75,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-18,1,0,1,0,0.0,100.0,-6.12,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-19,3,0,3,0,0.0,100.0,-14.28,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-20,2,2,0,0,100.0,0.0,0.97,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-21,2,1,1,0,50.0,50.0,-0.24,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-24,2,1,1,0,50.0,50.0,-1.69,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-25,2,0,2,0,0.0,100.0,-2.17,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-27,1,1,0,0,100.0,0.0,0.77,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-02-28,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-03,3,2,1,0,66.67,33.33,-0.78,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-04,1,0,1,0,0.0,100.0,-2.45,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-05,3,1,2,0,33.33,66.67,10.68,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-06,4,1,3,0,25.0,75.0,-1.49,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-07,2,0,2,0,0.0,100.0,-3.28,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-10,4,1,3,0,25.0,75.0,-2.77,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-11,1,1,0,0,100.0,0.0,35.43,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-12,0,0,0,0,0.0,0.0,0.0,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-13,2,0,2,0,0.0,100.0,-16.7,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-17,2,2,0,0,100.0,0.0,2.85,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-18,3,1,2,0,33.33,66.67,-1.84,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-19,2,1,1,0,50.0,50.0,0.32,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-20,2,1,1,0,50.0,50.0,-4.99,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-21,3,0,3,0,0.0,100.0,-3.25,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-24,1,0,1,0,0.0,100.0,-8.59,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-25,1,0,1,0,0.0,100.0,-27.48,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-26,2,0,2,0,0.0,100.0,-11.46,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-27,2,1,1,0,50.0,50.0,-1.23,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
2025-03-28,4,2,2,0,50.0,50.0,-1.62,1min,1min,1m EMA+RSI+Supertrend,1m Supertrend
