test_date,symbol,option_type,strike,strategy,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason
2025-01-01,NIFTY 1 JAN 23600 PE,PE,23600,General Buy / Sell,95.0,09:47:00 IST,09:53:00 IST,34.44,32.3,19.44,-6.21,Failure,time_cutoff_6m
2025-01-01,NIFTY 1 JAN 23750 CE,CE,23750,General Buy / Sell,85.0,11:21:00 IST,11:33:00 IST,241.84,244.95,236.75,1.29,Success,time_cutoff_12m
2025-01-01,NIFTY 1 JAN 23700 PE,PE,23700,General Buy / Sell,95.0,11:40:00 IST,12:04:00 IST,21.41,16.25,11.9,-24.1,Failure,time_cutoff_24m
2025-01-01,NIFTY 1 JAN 23800 CE,CE,23800,General Buy / Sell,85.0,14:06:00 IST,15:00:00 IST,340.27,402.3,402.3,18.23,Success,stop_loss_hit
2025-01-02,NIFTY 2 JAN 23950 PE,PE,23950,General Buy / Sell,95.0,11:54:00 IST,12:00:00 IST,91.0,80.0,76.0,-12.09,Failure,time_cutoff_6m
2025-01-02,NIFTY 2 JAN 24050 CE,CE,24050,General Buy / Sell,85.0,12:39:00 IST,13:03:00 IST,159.83,164.5,150.0,2.92,Success,time_cutoff_24m
2025-01-06,NIFTY 6 JAN 23950 PE,PE,23950,General Buy / Sell,95.0,10:33:00 IST,10:45:00 IST,249.82,263.1,263.1,5.32,Success,stop_loss_hit
2025-01-06,NIFTY 6 JAN 23750 PE,PE,23750,General Buy / Sell,95.0,11:24:00 IST,11:30:00 IST,137.56,129.2,122.56,-6.08,Failure,time_cutoff_6m
2025-01-06,NIFTY 6 JAN 23700 PE,PE,23700,General Buy / Sell,95.0,13:18:00 IST,13:30:00 IST,110.75,107.3,99.75,-3.12,Failure,time_cutoff_12m
2025-01-06,NIFTY 6 JAN 23650 PE,PE,23650,General Buy / Sell,95.0,13:32:00 IST,13:38:00 IST,88.27,76.7,73.27,-13.11,Failure,time_cutoff_6m
2025-01-07,NIFTY 7 JAN 23750 PE,PE,23750,General Buy / Sell,95.0,12:04:00 IST,12:10:00 IST,225.03,227.3,217.15,1.01,Success,time_cutoff_6m
2025-01-08,NIFTY 8 JAN 23600 PE,PE,23600,General Buy / Sell,95.0,10:28:00 IST,10:34:00 IST,23.38,25.6,10.6,9.5,Success,time_cutoff_6m
2025-01-09,NIFTY 9 JAN 23600 PE,PE,23600,General Buy / Sell,85.0,10:47:00 IST,10:50:00 IST,259.01,244.01,244.01,-5.79,Failure,stop_loss_hit
2025-01-10,NIFTY 10 JAN 23450 CE,CE,23450,General Buy / Sell,85.0,10:54:00 IST,11:20:00 IST,208.06,268.6,268.6,29.1,Success,stop_loss_hit
2025-01-13,NIFTY 13 JAN 23250 PE,PE,23250,General Buy / Sell,85.0,11:33:00 IST,12:33:00 IST,93.42,117.45,109.85,25.72,Success,time_cutoff_60m
2025-01-13,NIFTY 13 JAN 23200 PE,PE,23200,General Buy / Sell,95.0,12:59:00 IST,13:23:00 IST,88.83,96.5,85.0,8.63,Success,time_cutoff_24m
2025-01-14,NIFTY 14 JAN 23150 PE,PE,23150,General Buy / Sell,95.0,10:20:00 IST,10:26:00 IST,43.99,36.25,28.99,-17.59,Failure,time_cutoff_6m
2025-01-14,NIFTY 14 JAN 23250 CE,CE,23250,General Buy / Sell,85.0,11:13:00 IST,11:19:00 IST,68.63,68.6,53.63,-0.04,Failure,time_cutoff_6m
2025-01-14,NIFTY 14 JAN 23200 PE,PE,23200,General Buy / Sell,85.0,11:48:00 IST,11:54:00 IST,51.91,52.65,37.65,1.43,Success,time_cutoff_6m
2025-01-15,NIFTY 15 JAN 23200 PE,PE,23200,General Buy / Sell,95.0,13:19:00 IST,13:25:00 IST,1.62,1.15,-13.38,-29.01,Failure,time_cutoff_6m
2025-01-15,NIFTY 15 JAN 23150 PE,PE,23150,General Buy / Sell,95.0,13:38:00 IST,13:44:00 IST,0.71,0.7,-14.29,-1.41,Failure,time_cutoff_6m
2025-01-16,NIFTY 16 JAN 23300 CE,CE,23300,General Buy / Sell,85.0,11:44:00 IST,11:50:00 IST,124.03,121.15,109.05,-2.32,Failure,time_cutoff_6m
2025-01-16,NIFTY 16 JAN 23300 PE,PE,23300,General Buy / Sell,85.0,14:23:00 IST,14:29:00 IST,215.13,206.05,200.13,-4.22,Failure,time_cutoff_6m
2025-01-17,NIFTY 17 JAN 23200 PE,PE,23200,General Buy / Sell,85.0,13:28:00 IST,13:34:00 IST,182.05,180.1,167.05,-1.07,Failure,time_cutoff_6m
2025-01-21,NIFTY 21 JAN 23250 PE,PE,23250,General Buy / Sell,85.0,10:17:00 IST,10:25:00 IST,156.3,153.95,153.95,-1.5,Failure,stop_loss_hit
2025-01-21,NIFTY 21 JAN 23150 PE,PE,23150,General Buy / Sell,95.0,12:26:00 IST,12:38:00 IST,150.24,144.45,138.05,-3.85,Failure,time_cutoff_12m
2025-01-21,NIFTY 21 JAN 23200 CE,CE,23200,General Buy / Sell,85.0,12:58:00 IST,13:04:00 IST,23.94,25.2,10.2,5.26,Success,time_cutoff_6m
2025-01-21,NIFTY 21 JAN 23250 CE,CE,23250,General Buy / Sell,85.0,13:08:00 IST,13:14:00 IST,16.51,16.7,1.7,1.15,Success,time_cutoff_6m
2025-01-22,NIFTY 22 JAN 23100 CE,CE,23100,General Buy / Sell,85.0,10:27:00 IST,10:33:00 IST,147.97,148.6,133.6,0.43,Success,time_cutoff_6m
2025-01-22,NIFTY 22 JAN 23050 CE,CE,23050,General Buy / Sell,85.0,14:17:00 IST,14:23:00 IST,181.8,176.45,166.8,-2.94,Failure,time_cutoff_6m
2025-01-23,NIFTY 23 JAN 23200 CE,CE,23200,General Buy / Sell,85.0,09:55:00 IST,10:01:00 IST,178.97,175.75,163.97,-1.8,Failure,time_cutoff_6m
2025-01-23,NIFTY 23 JAN 23250 CE,CE,23250,General Buy / Sell,85.0,12:20:00 IST,12:26:00 IST,223.61,222.8,208.61,-0.36,Failure,time_cutoff_6m
2025-01-23,NIFTY 23 JAN 23250 PE,PE,23250,General Buy / Sell,85.0,14:05:00 IST,14:35:00 IST,181.04,216.05,216.05,19.34,Success,stop_loss_hit
2025-01-24,NIFTY 24 JAN 23150 PE,PE,23150,General Buy / Sell,85.0,10:20:00 IST,10:25:00 IST,179.63,164.63,164.63,-8.35,Failure,stop_loss_hit
2025-01-24,NIFTY 24 JAN 23250 CE,CE,23250,General Buy / Sell,85.0,11:25:00 IST,11:31:00 IST,204.73,203.95,189.73,-0.38,Failure,time_cutoff_6m
2025-01-24,NIFTY 24 JAN 23300 PE,PE,23300,General Buy / Sell,85.0,12:32:00 IST,13:10:00 IST,164.63,213.15,213.15,29.47,Success,stop_loss_hit
