symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 10 JUL 25050 CE,12:27:00 IST,10-07-25 12:27:00 IST,200.25,65.06145741796749,187.25,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:28:00 IST,10-07-25 12:28:00 IST,200.25,66.4612789000355,187.25,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:29:00 IST,10-07-25 12:29:00 IST,200.25,63.8723896519119,187.25,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:30:00 IST,10-07-25 12:30:00 IST,212.7,73.56623492974288,187.25,TRAIL,continuous_trailing
NIFTY 10 JUL 25050 CE,12:31:00 IST,10-07-25 12:31:00 IST,212.7,74.51724826522815,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:32:00 IST,10-07-25 12:32:00 IST,212.7,67.35893551375938,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:33:00 IST,10-07-25 12:33:00 IST,212.7,68.93245492509095,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:34:00 IST,10-07-25 12:34:00 IST,212.7,58.524646443015584,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:35:00 IST,10-07-25 12:35:00 IST,210.2,62.70547546545871,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:36:00 IST,10-07-25 12:36:00 IST,210.2,66.23844751396985,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:37:00 IST,10-07-25 12:37:00 IST,210.2,65.86167427282354,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:38:00 IST,10-07-25 12:38:00 IST,210.2,66.97435009163357,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:39:00 IST,10-07-25 12:39:00 IST,210.2,67.52698682185635,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:40:00 IST,10-07-25 12:40:00 IST,205.65,68.1370681457111,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:41:00 IST,10-07-25 12:41:00 IST,205.65,62.14606486267461,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:42:00 IST,10-07-25 12:42:00 IST,205.65,57.883133294016766,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:43:00 IST,10-07-25 12:43:00 IST,205.65,54.73810402375782,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:44:00 IST,10-07-25 12:44:00 IST,205.65,47.77753376302389,197.7,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:45:00 IST,10-07-25 12:45:00 IST,218.65,44.90447565930797,197.7,TRAIL,continuous_trailing
NIFTY 10 JUL 25050 CE,12:46:00 IST,10-07-25 12:46:00 IST,218.65,43.66426163449653,203.65,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:47:00 IST,10-07-25 12:47:00 IST,218.65,47.06511139236292,203.65,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:48:00 IST,10-07-25 12:48:00 IST,218.65,45.3717802592823,203.65,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:49:00 IST,10-07-25 12:49:00 IST,218.65,43.52227202995868,203.65,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:50:00 IST,10-07-25 12:50:00 IST,214.05,49.98052882856301,203.65,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:51:00 IST,10-07-25 12:51:00 IST,214.05,48.314589794072575,203.65,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:52:00 IST,10-07-25 12:52:00 IST,214.05,49.543598013876625,203.65,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:53:00 IST,10-07-25 12:53:00 IST,214.05,58.540071896841525,203.65,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:54:00 IST,10-07-25 12:54:00 IST,214.05,54.26832779774046,203.65,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:55:00 IST,10-07-25 12:55:00 IST,214.85,45.49318687015373,203.65,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:56:00 IST,10-07-25 12:56:00 IST,214.85,48.79563184939977,203.65,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:57:00 IST,10-07-25 12:57:00 IST,214.85,49.67132848681986,203.65,HOLD,no_exit_condition_met
NIFTY 10 JUL 25050 CE,12:58:00 IST,10-07-25 12:58:00 IST,214.85,50.01654289348729,203.65,HOLD,no_exit_condition_met
