timestamp,event,symbol,option_type,strike,ltp,score,required_score,rsi,trend,pcr,nifty_spot,gap_mode,scanner_state,reject_reason,notes
2026-06-03 12:00:10,HOUR_START,,,,,,,,,,,,,,Hourly hypercare log active; waiting for signals/rejects.
2026-06-03 12:02:01,RSI_BAND,,PE,,,,,42.4,RED,,,,,rose from 39.0 (left PE band),NIFTY 1m RSI 42.4 above PE band (10.0-40.0) — PE buy signals blocked [rose from 39.0 (left PE band)]
2026-06-03 12:02:33,RSI_BAND,,PE,,,,,42.4,RED,,,,,outside_band,NIFTY 1m RSI 42.4 above PE band (10.0-40.0) — PE buy signals blocked
2026-06-03 12:02:53,REJECT,NIFTY 09 JUN 23300 PUT,PE,,,96.0,,36.2,RED,2.473,23181.85,,,score_91.0_below_92,
2026-06-03 12:03:05,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,96.0,,36.2,RED,6.289,23174.75,,,not_deep_itm_need_100pt,
2026-06-03 12:03:15,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,96.0,,36.2,RED,6.289,23171.75,,,not_deep_itm_need_100pt,
2026-06-03 12:03:25,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,96.0,,36.2,RED,6.289,23172.3,,,not_deep_itm_need_100pt,
2026-06-03 12:03:35,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,96.0,,36.2,RED,6.289,23171.4,,,not_deep_itm_need_100pt,
2026-06-03 12:03:45,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,100,,28.7,RED,6.289,23171.55,,,not_deep_itm_need_100pt,
2026-06-03 12:03:55,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,100,,28.7,RED,6.289,23157.9,,,not_deep_itm_need_100pt,
2026-06-03 12:04:18,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,100,,28.7,RED,5.338,23152.15,,,not_deep_itm_need_100pt,
2026-06-03 12:04:28,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,100,,28.7,RED,5.338,23156.15,,,not_deep_itm_need_100pt,
2026-06-03 12:04:38,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,100,,24.2,RED,5.338,23158.25,,,not_deep_itm_need_100pt,
2026-06-03 12:04:58,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,100,,24.2,RED,5.338,23161.5,,,not_deep_itm_need_100pt,
2026-06-03 12:05:12,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,100,,24.2,RED,4.682,23169.9,,,not_deep_itm_need_100pt,
2026-06-03 12:05:24,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,100,,24.2,RED,4.682,23172.75,,,not_deep_itm_need_100pt,
2026-06-03 12:05:44,SIGNAL_VERIFIED,NIFTY 09 JUN 23300 PUT,PE,,,100,,35.0,RED,1.971,23176.05,,,,
2026-06-03 12:05:54,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,100,,35.0,RED,4.682,23173.7,,,not_deep_itm_need_100pt,
2026-06-03 12:06:04,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,100,,35.0,RED,4.426,23171.95,,,not_deep_itm_need_100pt,
2026-06-03 12:06:14,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,100,,35.0,RED,4.426,23171.35,,,not_deep_itm_need_100pt,
2026-06-03 12:06:26,REJECT,NIFTY 09 JUN 23250 PUT,PE,,,100,,35.8,RED,4.426,23174.25,,,not_deep_itm_need_100pt,
2026-06-03 12:06:39,REJECT,NIFTY 09 JUN 23300 PUT,PE,,,100,,35.8,RED,1.928,23178.8,,,option_volume_spike_not_active,
