bar_index,start_Time_IST,strike,spot,close,iv,volume,oi
0,2026-05-22 09:15:00 IST,23700.0,23693.5,164.5,14.600664,11242205,9922770
1,2026-05-22 09:20:00 IST,23750.0,23752.85,163.55,14.007366,10761790,4624750
2,2026-05-22 09:25:00 IST,23750.0,23738.6,156.6,14.071427,4828850,5062460
3,2026-05-22 09:30:00 IST,23750.0,23762.75,170.7,14.190818,5354700,5723315
4,2026-05-22 09:35:00 IST,23750.0,23755.5,162.9,13.827951,5159830,5683795
5,2026-05-22 09:40:00 IST,23750.0,23753.3,159.3,13.603292,5902130,5698095
6,2026-05-22 09:45:00 IST,23750.0,23740.8,154.0,13.738968,2970045,5943080
7,2026-05-22 09:50:00 IST,23750.0,23774.1,172.7,13.804277,6057610,5425940
8,2026-05-22 09:55:00 IST,23800.0,23779.65,147.25,13.627859,5826600,10857535
9,2026-05-22 10:00:00 IST,23750.0,23767.3,166.2,13.556427,2697110,4969770
10,2026-05-22 10:05:00 IST,23800.0,23785.15,151.75,13.799609,4179955,11087505
11,2026-05-22 10:10:00 IST,23800.0,23791.7,152.6,13.560261,6122090,10816910
12,2026-05-22 10:15:00 IST,23750.0,23763.5,166.35,13.792642,4275375,4442620
13,2026-05-22 10:20:00 IST,23750.0,23765.65,165.35,13.588523,3607240,4734795
14,2026-05-22 10:25:00 IST,23750.0,23761.45,165.5,13.832242,1619345,4934475
15,2026-05-22 10:30:00 IST,23800.0,23778.15,145.95,13.621887,3012750,11820640
16,2026-05-22 10:35:00 IST,23750.0,23773.05,171.4,13.794913,2327455,4808180
17,2026-05-22 10:40:00 IST,23800.0,23792.7,155.05,13.783316,5757180,12066535
18,2026-05-22 10:45:00 IST,23800.0,23783.9,149.15,13.664625,4987385,11582220
19,2026-05-22 10:50:00 IST,23800.0,23785.6,147.0,13.380522,2261740,12070370
20,2026-05-22 10:55:00 IST,23800.0,23780.75,145.85,13.516836,1748045,12209470
21,2026-05-22 11:00:00 IST,23800.0,23777.6,145.3,13.625156,2098850,12100400
22,2026-05-22 11:05:00 IST,23750.0,23774.7,170.6,13.667206,1476735,4628000
23,2026-05-22 11:10:00 IST,23750.0,23771.6,167.45,13.536795,1396200,4735965
24,2026-05-22 11:15:00 IST,23750.0,23767.0,164.55,13.510563,963300,4851535
