bar_index,start_Time_IST,strike,spot,close,iv,volume,oi
0,2026-05-18 09:15:00 IST,23400.0,23399.5,132.3,22.965086,17793685,8545420
1,2026-05-18 09:20:00 IST,23400.0,23402.4,135.65,23.790125,11611210,11237265
2,2026-05-18 09:25:00 IST,23350.0,23373.15,120.95,23.034797,13050765,6254430
3,2026-05-18 09:30:00 IST,23400.0,23387.9,139.9,23.356762,12079275,12753585
4,2026-05-18 09:35:00 IST,23350.0,23358.5,126.3,22.831332,9777495,7419620
5,2026-05-18 09:40:00 IST,23350.0,23370.75,120.9,22.9148,7103720,7790120
6,2026-05-18 09:45:00 IST,23350.0,23342.6,131.45,22.446445,7054710,7784790
7,2026-05-18 09:50:00 IST,23350.0,23325.35,135.65,21.703987,8237970,7004855
8,2026-05-18 09:55:00 IST,23350.0,23340.8,128.75,21.885646,6749925,6893575
9,2026-05-18 10:00:00 IST,23350.0,23361.1,120.55,22.188721,5150015,6994325
10,2026-05-18 10:05:00 IST,23350.0,23351.0,125.15,22.173764,5825365,7628595
11,2026-05-18 10:10:00 IST,23350.0,23362.3,120.75,22.369093,3633500,8185450
12,2026-05-18 10:15:00 IST,23400.0,23385.0,135.95,22.669661,5972590,11197290
13,2026-05-18 10:20:00 IST,23400.0,23382.2,137.85,22.777617,5463835,12578605
14,2026-05-18 10:25:00 IST,23400.0,23379.75,138.45,22.692647,3774290,13201305
15,2026-05-18 10:30:00 IST,23400.0,23414.05,116.1,21.767753,12273235,11937900
16,2026-05-18 10:35:00 IST,23450.0,23429.0,137.45,22.460447,6397300,3997110
17,2026-05-18 10:40:00 IST,23400.0,23417.8,117.75,22.401003,7090850,13911885
18,2026-05-18 10:45:00 IST,23400.0,23408.15,123.25,22.591622,11080550,13893620
19,2026-05-18 10:50:00 IST,23450.0,23443.55,130.5,22.599355,3520205,4850365
20,2026-05-18 10:55:00 IST,23450.0,23464.9,120.8,22.72348,4058210,5772845
21,2026-05-18 11:00:00 IST,23450.0,23455.15,128.0,23.192573,4024930,6885840
22,2026-05-18 11:05:00 IST,23500.0,23476.6,143.9,23.46461,4291755,10605790
23,2026-05-18 11:10:00 IST,23450.0,23470.2,122.0,23.435592,2887690,7684690
24,2026-05-18 11:15:00 IST,23500.0,23494.3,137.4,23.933827,4206540,11812775
25,2026-05-18 11:20:00 IST,23500.0,23516.4,127.5,24.086229,8439860,12612405
26,2026-05-18 11:25:00 IST,23500.0,23495.8,136.3,23.927086,6473870,13666055
27,2026-05-18 11:30:00 IST,23550.0,23529.25,145.85,24.122694,3497910,2648035
28,2026-05-18 11:35:00 IST,23550.0,23560.7,132.4,24.503531,3039530,3512080
29,2026-05-18 11:40:00 IST,23550.0,23534.55,143.7,24.272353,4076085,4253600
30,2026-05-18 11:45:00 IST,23500.0,23512.55,130.55,24.442978,8080995,15561195
31,2026-05-18 11:50:00 IST,23500.0,23500.1,136.4,24.450318,5748665,15984800
32,2026-05-18 11:55:00 IST,23450.0,23474.75,122.75,24.181717,8750365,9261265
33,2026-05-18 12:00:00 IST,23500.0,23477.7,147.45,24.483857,7076875,15081690
34,2026-05-18 12:05:00 IST,23500.0,23492.45,139.15,24.361762,5961540,14889615
35,2026-05-18 12:10:00 IST,23500.0,23524.15,121.2,23.898496,7108335,15704455
36,2026-05-18 12:15:00 IST,23500.0,23521.2,120.6,23.583728,4859140,16977935
37,2026-05-18 12:20:00 IST,23550.0,23536.0,141.9,24.316659,3521180,3875300
38,2026-05-18 12:25:00 IST,23550.0,23553.5,131.05,23.957344,3058900,4405505
39,2026-05-18 12:30:00 IST,23600.0,23593.1,137.5,24.175388,4884230,6169800
40,2026-05-18 12:35:00 IST,23600.0,23604.25,135.0,24.720299,5283915,7445100
41,2026-05-18 12:40:00 IST,23600.0,23585.0,144.0,24.663485,6008860,8047130
42,2026-05-18 12:45:00 IST,23600.0,23579.2,149.45,25.133325,3680430,8074105
43,2026-05-18 12:50:00 IST,23600.0,23589.5,138.9,24.224347,2828800,8108880
44,2026-05-18 12:55:00 IST,23650.0,23637.15,138.15,23.866177,5853315,2488070
45,2026-05-18 13:00:00 IST,23650.0,23645.9,136.5,24.369299,4374825,3647215
46,2026-05-18 13:05:00 IST,23600.0,23610.65,129.55,24.481319,7905430,10225605
47,2026-05-18 13:10:00 IST,23600.0,23615.5,127.65,24.580586,7143955,10473190
48,2026-05-18 13:15:00 IST,23600.0,23620.5,125.0,24.555003,4585295,10078315
49,2026-05-18 13:20:00 IST,23650.0,23628.0,143.8,24.190838,6819605,4045795
50,2026-05-18 13:25:00 IST,23600.0,23618.35,123.65,24.1987,4041635,10818795
51,2026-05-18 13:30:00 IST,23600.0,23622.15,119.2,23.750353,3140800,11204635
52,2026-05-18 13:35:00 IST,23600.0,23607.0,132.25,24.834632,3779100,11257285
53,2026-05-18 13:40:00 IST,23600.0,23622.05,122.9,24.462091,6321705,11138660
54,2026-05-18 13:45:00 IST,23650.0,23625.05,146.9,24.623248,3887520,4147780
55,2026-05-18 13:50:00 IST,23650.0,23642.5,135.1,24.125671,2341885,4161235
56,2026-05-18 13:55:00 IST,23650.0,23641.25,134.6,23.956244,3922685,5007860
57,2026-05-18 14:00:00 IST,23650.0,23642.25,136.05,24.333982,3549780,5258890
58,2026-05-18 14:05:00 IST,23600.0,23615.15,124.1,24.255761,7508735,12985700
59,2026-05-18 14:10:00 IST,23600.0,23624.9,121.3,24.596997,5312450,12708150
60,2026-05-18 14:15:00 IST,23600.0,23612.4,128.7,24.9119,9313785,13027560
61,2026-05-18 14:20:00 IST,23600.0,23590.75,140.45,25.165462,6723470,12816050
62,2026-05-18 14:25:00 IST,23600.0,23613.5,127.4,24.835358,9886045,11900395
63,2026-05-18 14:30:00 IST,23600.0,23597.8,134.9,24.85775,8282105,11869065
64,2026-05-18 14:35:00 IST,23600.0,23586.6,138.5,24.535434,6952075,12227215
65,2026-05-18 14:40:00 IST,23600.0,23603.35,125.8,23.765044,8279180,11790740
66,2026-05-18 14:45:00 IST,23600.0,23586.05,135.7,24.041692,6849830,12157470
67,2026-05-18 14:50:00 IST,23600.0,23592.65,128.0,23.275421,5594225,11685700
68,2026-05-18 14:55:00 IST,23600.0,23591.0,129.4,23.410862,7200245,11416340
69,2026-05-18 15:00:00 IST,23650.0,23662.45,107.5,21.304523,11582415,4758000
70,2026-05-18 15:05:00 IST,23650.0,23638.05,123.6,22.101853,7875205,4580810
71,2026-05-18 15:10:00 IST,23650.0,23634.25,125.0,22.036212,4347915,4413500
72,2026-05-18 15:15:00 IST,23650.0,23626.95,126.45,21.647054,5340335,3847675
73,2026-05-18 15:20:00 IST,23650.0,23657.0,107.85,21.008987,3654625,3590275
74,2026-05-18 15:25:00 IST,23650.0,23645.65,102.1,18.980874,3625245,2914535
75,2026-05-19 09:15:00 IST,23750.0,23734.8,81.9,21.909778,23630425,3718455
76,2026-05-19 09:20:00 IST,23750.0,23748.95,68.25,20.112795,16883880,7454525
77,2026-05-19 09:25:00 IST,23750.0,23756.9,60.8,19.132781,12454390,10942425
78,2026-05-19 09:30:00 IST,23700.0,23684.0,83.9,22.647855,39831935,18424185
79,2026-05-19 09:35:00 IST,23700.0,23706.75,67.45,21.243812,34739965,14130415
80,2026-05-19 09:40:00 IST,23750.0,23749.2,62.7,18.796881,16237455,7949500
81,2026-05-19 09:45:00 IST,23700.0,23714.15,63.25,21.177936,27467830,18089175
82,2026-05-19 09:50:00 IST,23700.0,23695.05,68.3,20.020488,26954850,17986020
83,2026-05-19 09:55:00 IST,23700.0,23678.15,81.45,21.386773,22665760,17738435
84,2026-05-19 10:00:00 IST,23700.0,23699.25,62.7,19.115002,25559170,18221645
85,2026-05-19 10:05:00 IST,23700.0,23722.8,46.7,17.637832,17190030,19865040
86,2026-05-19 10:10:00 IST,23750.0,23753.45,59.55,18.88447,15267850,10837580
87,2026-05-19 10:15:00 IST,23750.0,23725.7,75.3,19.376621,18834400,12410450
88,2026-05-19 10:20:00 IST,23750.0,23739.2,62.45,17.737733,13201110,12000040
89,2026-05-19 10:25:00 IST,23750.0,23751.05,55.15,17.400579,11542700,13374335
90,2026-05-19 10:30:00 IST,23750.0,23744.85,60.1,18.039435,14351285,14481675
91,2026-05-19 10:35:00 IST,23750.0,23753.15,52.85,17.139451,10532210,15047045
92,2026-05-19 10:40:00 IST,23750.0,23764.75,48.5,17.531621,12668955,16316430
93,2026-05-19 10:45:00 IST,23750.0,23757.45,48.05,16.417129,17358120,18232825
94,2026-05-19 10:50:00 IST,23750.0,23742.1,61.4,18.289809,21609250,17273425
95,2026-05-19 10:55:00 IST,23750.0,23771.95,40.75,16.28555,22105135,19109285
96,2026-05-19 11:00:00 IST,23750.0,23751.55,51.6,16.843071,22969375,18554900
97,2026-05-19 11:05:00 IST,23750.0,23743.85,57.65,17.609573,14366430,18359185
98,2026-05-19 11:10:00 IST,23700.0,23719.75,48.65,18.751898,21823620,27347450
99,2026-05-19 11:15:00 IST,23700.0,23708.0,52.65,18.401516,43703855,23342085
100,2026-05-19 11:20:00 IST,23700.0,23713.75,50.75,18.720861,23788895,23202400
101,2026-05-19 11:25:00 IST,23750.0,23727.85,65.0,17.525896,16026140,11363690
102,2026-05-19 11:30:00 IST,23700.0,23718.2,42.75,16.921264,21107840,25546950
103,2026-05-19 11:35:00 IST,23750.0,23725.25,64.1,16.901054,16809715,11574680
104,2026-05-19 11:40:00 IST,23750.0,23750.05,44.65,14.914521,16165955,12898015
105,2026-05-19 11:45:00 IST,23750.0,23754.4,42.5,14.962158,14410110,16061825
106,2026-05-19 11:50:00 IST,23750.0,23760.15,42.2,15.809964,10591685,18511805
