trade_id,time_ist,event,symbol,option_type,price,trailing_sl,pnl_rs,pnl_pct,outcome,rsi_3m,rsi_1m,supertrend_3m,supertrend_1m
2026-05-04_75,2026-05-04 10:30:00 IST,BUY PE,NIFTY 4 MAY 24000 PE,PE,81.9,73.71,,,,32.51,59.23,RED,RED
2026-05-04_75,2026-05-04 10:50:00 IST,SL HIT,NIFTY 4 MAY 24000 PE,PE,83.7,83.74,1.8,2.2,SUCCESS,45.95,87.43,RED,GREEN
2026-05-04_120,2026-05-04 11:15:00 IST,BUY CE,NIFTY 4 MAY 24000 CE,CE,26.1,23.49,,,,56.2,75.12,GREEN,GREEN
2026-05-04_120,2026-05-04 11:25:00 IST,SL HIT,NIFTY 4 MAY 24000 CE,CE,23.0,23.49,-3.1,-11.88,FAILURE,56.22,74.93,GREEN,GREEN
2026-05-04_177,2026-05-04 12:12:00 IST,BUY PE,NIFTY 4 MAY 23900 PE,PE,31.9,28.71,,,,17.15,15.93,RED,RED
2026-05-04_177,2026-05-04 12:15:00 IST,SL HIT,NIFTY 4 MAY 23900 PE,PE,22.95,28.71,-8.95,-28.06,FAILURE,13.39,9.54,RED,RED
2026-05-04_185,2026-05-04 12:20:00 IST,BUY PE,NIFTY 4 MAY 23950 PE,PE,40.9,36.81,,,,13.33,28.7,RED,RED
2026-05-04_185,2026-05-04 12:25:00 IST,SL HIT,NIFTY 4 MAY 23950 PE,PE,32.05,36.81,-8.85,-21.64,FAILURE,27.72,37.26,RED,RED
2026-05-04_245,2026-05-04 13:20:00 IST,BUY PE,NIFTY 4 MAY 24050 PE,PE,38.25,34.43,,,,37.96,46.7,RED,RED
2026-05-04_245,2026-05-04 13:40:00 IST,SL HIT,NIFTY 4 MAY 24050 PE,PE,35.35,41.09,-2.9,-7.58,FAILURE,27.17,40.48,RED,RED
,,,,,,,,,,,,,
SUMMARY,2026-05-04,Total trades: 5,SUCCESS: 1,FAILURE: 4,Win %: 20.0,Failure %: 80.0,BREAKEVEN: 0,Avg PnL %: -13.39,Win 20.0% | Fail 80.0%,,,,
2026-05-05_75,2026-05-05 10:30:00 IST,BUY PE,NIFTY 5 MAY 24100 PE,PE,160.8,144.72,,,,27.8,43.42,RED,RED
2026-05-05_75,2026-05-05 11:10:00 IST,SL HIT,NIFTY 5 MAY 24100 PE,PE,176.55,183.82,15.75,9.79,,36.19,48.97,RED,GREEN
2026-05-05_220,2026-05-05 12:55:00 IST,BUY CE,NIFTY 5 MAY 24000 CE,CE,232.25,209.03,,,,69.14,57.04,GREEN,GREEN
2026-05-05_220,2026-05-05 14:40:00 IST,SL HIT,NIFTY 5 MAY 24000 CE,CE,450.4,450.77,218.15,93.93,,43.24,49.85,GREEN,RED
