test_date,symbol,option_type,strike,strategy,score_pct,entry_time_ist,exit_time_ist,entry_ltp,exit_ltp,trailing_sl,pnl_pct,outcome,exit_reason
2025-01-01,NIFTY 1 JAN 23700 CE,CE,23700,General Buy / Sell,85.0,10:50:00 IST,11:05:00 IST,459.65,465.85,465.85,1.35,Success,stop_loss_hit
2025-01-01,NIFTY 1 JAN 23700 PE,PE,23700,General Buy / Sell,95.0,11:57:00 IST,12:03:00 IST,0.71,0.7,-14.29,-1.41,Failure,time_cutoff_6m
2025-01-02,NIFTY 2 JAN 23950 CE,CE,23950,General Buy / Sell,85.0,11:27:00 IST,11:35:00 IST,265.28,253.4,253.4,-4.48,Failure,stop_loss_hit
2025-01-02,NIFTY 2 JAN 23950 PE,PE,23950,General Buy / Sell,95.0,11:54:00 IST,12:06:00 IST,90.9,90.0,81.95,-0.99,Failure,time_cutoff_12m
2025-01-03,NIFTY 3 JAN 24100 CE,CE,24100,General Buy / Sell,85.0,13:06:00 IST,13:12:00 IST,116.2,115.3,101.2,-0.77,Failure,time_cutoff_6m
2025-01-06,NIFTY 6 JAN 23900 PE,PE,23900,General Buy / Sell,85.0,10:43:00 IST,10:45:00 IST,226.8,211.8,211.8,-6.61,Failure,stop_loss_hit
2025-01-06,NIFTY 6 JAN 23850 PE,PE,23850,General Buy / Sell,95.0,10:57:00 IST,11:03:00 IST,206.29,204.25,191.29,-0.99,Failure,time_cutoff_6m
2025-01-06,NIFTY 6 JAN 23800 PE,PE,23800,General Buy / Sell,85.0,11:10:00 IST,11:16:00 IST,159.07,154.4,144.07,-2.94,Failure,time_cutoff_6m
2025-01-06,NIFTY 6 JAN 23750 CE,CE,23750,General Buy / Sell,85.0,13:01:00 IST,13:07:00 IST,109.64,101.8,94.64,-7.15,Failure,time_cutoff_6m
2025-01-06,NIFTY 6 JAN 23650 PE,PE,23650,General Buy / Sell,95.0,13:32:00 IST,13:38:00 IST,104.23,91.6,89.23,-12.12,Failure,time_cutoff_6m
2025-01-10,NIFTY 10 JAN 23450 CE,CE,23450,General Buy / Sell,85.0,10:54:00 IST,11:05:00 IST,263.91,263.7,263.7,-0.08,Failure,stop_loss_hit
2025-01-13,NIFTY 13 JAN 23250 PE,PE,23250,General Buy / Sell,85.0,11:37:00 IST,12:01:00 IST,112.67,111.55,109.85,-0.99,Failure,time_cutoff_24m
2025-01-13,NIFTY 13 JAN 23200 PE,PE,23200,General Buy / Sell,95.0,12:20:00 IST,12:26:00 IST,96.96,93.2,81.96,-3.88,Failure,time_cutoff_6m
2025-01-14,NIFTY 14 JAN 23200 CE,CE,23200,General Buy / Sell,85.0,10:58:00 IST,11:04:00 IST,101.66,100.3,86.66,-1.34,Failure,time_cutoff_6m
2025-01-14,NIFTY 14 JAN 23200 PE,PE,23200,General Buy / Sell,85.0,11:46:00 IST,11:52:00 IST,43.43,42.45,28.43,-2.26,Failure,time_cutoff_6m
2025-01-15,NIFTY 15 JAN 23250 CE,CE,23250,General Buy / Sell,95.0,12:43:00 IST,12:49:00 IST,67.42,65.6,52.42,-2.7,Failure,time_cutoff_6m
2025-01-15,NIFTY 15 JAN 23200 PE,PE,23200,General Buy / Sell,95.0,13:19:00 IST,13:25:00 IST,0.81,0.5,-14.15,-38.27,Failure,time_cutoff_6m
2025-01-15,NIFTY 15 JAN 23150 PE,PE,23150,General Buy / Sell,95.0,13:38:00 IST,13:44:00 IST,0.05,0.05,-14.95,0.0,Failure,time_cutoff_6m
2025-01-16,NIFTY 16 JAN 23300 PE,PE,23300,General Buy / Sell,85.0,11:21:00 IST,11:25:00 IST,261.14,246.14,246.14,-5.74,Failure,stop_loss_hit
2025-01-16,NIFTY 16 JAN 23300 CE,CE,23300,General Buy / Sell,85.0,12:36:00 IST,12:40:00 IST,180.34,165.34,165.34,-8.32,Failure,stop_loss_hit
2025-01-17,NIFTY 17 JAN 23150 PE,PE,23150,General Buy / Sell,85.0,11:50:00 IST,11:56:00 IST,151.2,151.05,136.2,-0.1,Failure,time_cutoff_6m
2025-01-17,NIFTY 17 JAN 23200 CE,CE,23200,General Buy / Sell,85.0,12:03:00 IST,12:09:00 IST,230.28,228.0,215.28,-0.99,Failure,time_cutoff_6m
2025-01-17,NIFTY 17 JAN 23250 CE,CE,23250,General Buy / Sell,85.0,12:22:00 IST,12:28:00 IST,212.86,210.75,197.86,-0.99,Failure,time_cutoff_6m
2025-01-17,NIFTY 17 JAN 23200 PE,PE,23200,General Buy / Sell,95.0,13:22:00 IST,13:28:00 IST,141.65,141.3,126.65,-0.25,Failure,time_cutoff_6m
2025-01-20,NIFTY 20 JAN 23250 CE,CE,23250,General Buy / Sell,85.0,10:42:00 IST,10:45:00 IST,145.94,130.94,130.94,-10.28,Failure,stop_loss_hit
2025-01-20,NIFTY 20 JAN 23350 CE,CE,23350,General Buy / Sell,85.0,13:12:00 IST,13:18:00 IST,33.58,33.25,18.58,-0.98,Failure,time_cutoff_6m
2025-01-21,NIFTY 21 JAN 23300 PE,PE,23300,General Buy / Sell,85.0,10:02:00 IST,10:05:00 IST,204.63,189.63,189.63,-7.33,Failure,stop_loss_hit
2025-01-21,NIFTY 21 JAN 23150 PE,PE,23150,General Buy / Sell,85.0,12:27:00 IST,12:39:00 IST,148.92,149.6,139.5,0.46,Success,time_cutoff_12m
2025-01-22,NIFTY 22 JAN 23100 CE,CE,23100,General Buy / Sell,95.0,10:27:00 IST,10:39:00 IST,139.23,140.7,130.25,1.06,Success,time_cutoff_12m
2025-01-22,NIFTY 22 JAN 23000 PE,PE,23000,General Buy / Sell,85.0,12:29:00 IST,12:35:00 IST,1.36,1.35,-13.64,-0.74,Failure,time_cutoff_6m
2025-01-23,NIFTY 23 JAN 23200 CE,CE,23200,General Buy / Sell,85.0,10:09:00 IST,10:20:00 IST,177.76,175.0,175.0,-1.55,Failure,stop_loss_hit
2025-01-27,NIFTY 27 JAN 22900 PE,PE,22900,General Buy / Sell,95.0,12:15:00 IST,12:21:00 IST,100.44,101.1,86.1,0.66,Success,time_cutoff_6m
2025-01-28,NIFTY 28 JAN 23050 CE,CE,23050,General Buy / Sell,85.0,14:02:00 IST,14:08:00 IST,205.38,203.35,190.38,-0.99,Failure,time_cutoff_6m
2025-01-30,NIFTY 30 JAN 23250 CE,CE,23250,General Buy / Sell,85.0,10:14:00 IST,10:35:00 IST,429.55,436.75,436.75,1.68,Success,stop_loss_hit
2025-01-30,NIFTY 30 JAN 23250 PE,PE,23250,General Buy / Sell,85.0,10:57:00 IST,11:03:00 IST,152.51,152.55,137.55,0.03,Success,time_cutoff_6m
2025-02-03,NIFTY 3 FEB 23300 PE,PE,23300,General Buy / Sell,95.0,11:32:00 IST,11:38:00 IST,34.19,32.25,19.19,-5.67,Failure,time_cutoff_6m
2025-02-04,NIFTY 4 FEB 23500 PE,PE,23500,General Buy / Sell,95.0,10:35:00 IST,10:41:00 IST,10.76,12.2,-2.8,13.38,Success,time_cutoff_6m
2025-02-04,NIFTY 4 FEB 23450 PE,PE,23450,General Buy / Sell,95.0,10:55:00 IST,11:01:00 IST,9.29,9.45,-5.55,1.72,Success,time_cutoff_6m
