symbol,time_ist,datetime_ist,option_ltp,rsi_1m,trailing_sl,action,reason
NIFTY 21 JAN 23300 PE,10:03:00 IST,21-01-25 10:03:00 IST,202.6,32.39341875301419,189.63,HOLD,no_exit_condition_met
NIFTY 21 JAN 23300 PE,10:04:00 IST,21-01-25 10:04:00 IST,202.6,32.250548448359766,189.63,HOLD,no_exit_condition_met
NIFTY 21 JAN 23300 PE,10:05:00 IST,21-01-25 10:05:00 IST,188.45,32.39650256576333,189.63,EXIT,stop_loss_hit
NIFTY 21 JAN 23150 PE,12:28:00 IST,21-01-25 12:28:00 IST,147.45,30.24982860114865,133.92,HOLD,no_exit_condition_met
NIFTY 21 JAN 23150 PE,12:29:00 IST,21-01-25 12:29:00 IST,147.45,27.470461616439152,133.92,HOLD,no_exit_condition_met
NIFTY 21 JAN 23150 PE,12:30:00 IST,21-01-25 12:30:00 IST,154.5,30.02438047311263,133.92,TRAIL,continuous_trailing
NIFTY 21 JAN 23150 PE,12:31:00 IST,21-01-25 12:31:00 IST,154.5,29.005930023593805,139.5,HOLD,no_exit_condition_met
NIFTY 21 JAN 23150 PE,12:32:00 IST,21-01-25 12:32:00 IST,154.5,29.00593002342427,139.5,HOLD,no_exit_condition_met
NIFTY 21 JAN 23150 PE,12:33:00 IST,21-01-25 12:33:00 IST,154.5,32.10431500878941,139.5,HOLD,no_exit_condition_met
NIFTY 21 JAN 23150 PE,12:34:00 IST,21-01-25 12:34:00 IST,154.5,33.208448776968126,139.5,HOLD,no_exit_condition_met
NIFTY 21 JAN 23150 PE,12:35:00 IST,21-01-25 12:35:00 IST,149.6,34.42443822138668,139.5,HOLD,no_exit_condition_met
NIFTY 21 JAN 23150 PE,12:36:00 IST,21-01-25 12:36:00 IST,149.6,34.73250120720141,139.5,HOLD,no_exit_condition_met
NIFTY 21 JAN 23150 PE,12:37:00 IST,21-01-25 12:37:00 IST,149.6,31.74297839657575,139.5,HOLD,no_exit_condition_met
NIFTY 21 JAN 23150 PE,12:38:00 IST,21-01-25 12:38:00 IST,149.6,42.56643555538571,139.5,HOLD,no_exit_condition_met
NIFTY 21 JAN 23150 PE,12:39:00 IST,21-01-25 12:39:00 IST,149.6,39.2304254918822,139.5,EXIT,time_cutoff_12m
