timestamp,alert_type,symbol,oi,prev_oi,oi_change_pct,oi_delta,volume_1m,volume_ema_20,cross_direction,message
2026-06-02 09:15:36,Vol,NIFTY 02 JUN 23250 CALL,404625,228605,77.0,176020,2156310,,,"periodic record vol=2,156,310 oi=404,625 (OI chg +176,020 +77.0%)"
2026-06-02 09:15:38,Vol,NIFTY 02 JUN 23200 CALL,430950,294580,46.3,136370,1677520,,,"periodic record vol=1,677,520 oi=430,950 (OI chg +136,370 +46.3%)"
2026-06-02 09:15:38,Vol,NIFTY 02 JUN 23150 CALL,71500,47645,50.1,23855,281060,,,"periodic record vol=281,060 oi=71,500 (OI chg +23,855 +50.1%)"
2026-06-02 09:15:39,Vol,NIFTY 02 JUN 23250 PUT,4750070,4646980,2.2,103090,4320160,,,"periodic record vol=4,320,160 oi=4,750,070 (OI chg +103,090 +2.2%)"
2026-06-02 09:15:39,Vol,NIFTY 02 JUN 23300 PUT,6553885,6788795,-3.5,-234910,4402125,,,"periodic record vol=4,402,125 oi=6,553,885 (OI chg -234,910 -3.5%)"
2026-06-02 09:15:39,Vol,NIFTY 02 JUN 23350 PUT,3670810,4064905,-9.7,-394095,2972710,,,"periodic record vol=2,972,710 oi=3,670,810 (OI chg -394,095 -9.7%)"
2026-06-02 09:16:19,Vol,NIFTY 02 JUN 23250 CALL,3191175,228605,1295.9,2962570,7075965,,,"periodic record vol=7,075,965 oi=3,191,175 (OI chg +2,962,570 +1295.9%)"
2026-06-02 09:16:20,Vol,NIFTY 02 JUN 23200 CALL,1983345,294580,573.3,1688765,3931720,,,"periodic record vol=3,931,720 oi=1,983,345 (OI chg +1,688,765 +573.3%)"
2026-06-02 09:16:20,Vol,NIFTY 02 JUN 23150 CALL,313755,47645,558.5,266110,723320,,,"periodic record vol=723,320 oi=313,755 (OI chg +266,110 +558.5%)"
2026-06-02 09:16:21,Vol,NIFTY 02 JUN 23250 PUT,7802340,4646980,67.9,3155360,13082745,,,"periodic record vol=13,082,745 oi=7,802,340 (OI chg +3,155,360 +67.9%)"
2026-06-02 09:16:21,Vol,NIFTY 02 JUN 23300 PUT,7172230,6788795,5.6,383435,9692150,,,"periodic record vol=9,692,150 oi=7,172,230 (OI chg +383,435 +5.6%)"
2026-06-02 09:16:21,Vol,NIFTY 02 JUN 23350 PUT,3272165,4064905,-19.5,-792740,4920435,,,"periodic record vol=4,920,435 oi=3,272,165 (OI chg -792,740 -19.5%)"
2026-06-02 09:17:20,Reject,NIFTY 02 JUN 23250 CALL,5771935,3191175,80.9,2580760,,,ABOVE,"OI poll change +80.9% vs last scan (OI chg +2,580,760 | oi=5,771,935, was=3,191,175)"
2026-06-02 09:17:20,Reject,NIFTY 02 JUN 23200 CALL,3429010,1983345,72.9,1445665,,,ABOVE,"OI poll change +72.9% vs last scan (OI chg +1,445,665 | oi=3,429,010, was=1,983,345)"
2026-06-02 09:17:21,Reject,NIFTY 02 JUN 23150 CALL,549250,313755,75.1,235495,,,ABOVE,"OI poll change +75.1% vs last scan (OI chg +235,495 | oi=549,250, was=313,755)"
2026-06-02 09:17:22,Reject,NIFTY 02 JUN 23250 PUT,9639890,7802340,23.6,1837550,,,ABOVE,"OI poll change +23.6% vs last scan (OI chg +1,837,550 | oi=9,639,890, was=7,802,340)"
2026-06-02 09:17:22,Reject,NIFTY 02 JUN 23300 PUT,8077225,7172230,12.6,904995,,,ABOVE,"OI poll change +12.6% vs last scan (OI chg +904,995 | oi=8,077,225, was=7,172,230)"
2026-06-02 09:17:23,Reject,NIFTY 02 JUN 23350 PUT,3557645,3272165,8.7,285480,,,ABOVE,"OI poll change +8.7% vs last scan (OI chg +285,480 | oi=3,557,645, was=3,272,165)"
2026-06-02 09:17:23,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +9,721,400 | New PE Vol: +16,398,460"
2026-06-02 09:18:24,Reject,NIFTY 02 JUN 23250 CALL,7384195,5771935,27.9,1612260,,,ABOVE,"OI poll change +27.9% vs last scan (OI chg +1,612,260 | oi=7,384,195, was=5,771,935)"
2026-06-02 09:18:25,Reject,NIFTY 02 JUN 23200 CALL,4218825,3429010,23.0,789815,,,ABOVE,"OI poll change +23.0% vs last scan (OI chg +789,815 | oi=4,218,825, was=3,429,010)"
2026-06-02 09:18:25,Reject,NIFTY 02 JUN 23250 PUT,10676835,9639890,10.8,1036945,,,ABOVE,"OI poll change +10.8% vs last scan (OI chg +1,036,945 | oi=10,676,835, was=9,639,890)"
2026-06-02 09:18:25,Reject,NIFTY 02 JUN 23300 PUT,8685365,8077225,7.5,608140,,,ABOVE,"OI poll change +7.5% vs last scan (OI chg +608,140 | oi=8,685,365, was=8,077,225)"
2026-06-02 09:18:26,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +8,377,980 | New PE Vol: +14,812,200"
2026-06-02 09:19:24,Reject,NIFTY 02 JUN 23300 PUT,9815455,8685365,13.0,1130090,,,ABOVE,"OI poll change +13.0% vs last scan (OI chg +1,130,090 | oi=9,815,455, was=8,685,365)"
2026-06-02 09:19:35,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: +47,358,415 | New PE Vol: -8,891,675"
2026-06-02 09:20:24,Reject,NIFTY 02 JUN 23300 CALL,10808590,9559355,13.1,1249235,,,ABOVE,"OI poll change +13.1% vs last scan (OI chg +1,249,235 | oi=10,808,590, was=9,559,355)"
2026-06-02 09:20:25,Reject,NIFTY 02 JUN 23200 CALL,4141995,3857035,7.4,284960,,,ABOVE,"OI poll change +7.4% vs last scan (OI chg +284,960 | oi=4,141,995, was=3,857,035)"
2026-06-02 09:20:25,Reject,NIFTY 02 JUN 23350 PUT,4062565,3744455,8.5,318110,,,ABOVE,"OI poll change +8.5% vs last scan (OI chg +318,110 | oi=4,062,565, was=3,744,455)"
2026-06-02 09:20:35,Reject,NIFTY 02 JUN 23150 CALL,848510,708565,19.8,139945,,,ABOVE,"OI poll change +19.8% vs last scan (OI chg +139,945 | oi=848,510, was=708,565)"
2026-06-02 09:20:36,Reject,NIFTY 02 JUN 23250 PUT,14787500,10676835,38.5,4110665,,,ABOVE,"OI poll change +38.5% vs last scan (OI chg +4,110,665 | oi=14,787,500, was=10,676,835)"
2026-06-02 09:20:36,CHAIN_MACRO,NIFTY,,,,,,,,"Chain Activity Check - New CE Vol: -24,796,590 | New PE Vol: +41,834,520"
2026-06-02 09:21:16,Reject,NIFTY 02 JUN 23250 CALL,7482605,6928350,8.0,554255,,,ABOVE,"OI poll change +8.0% vs last scan (OI chg +554,255 | oi=7,482,605, was=6,928,350)"
2026-06-02 09:21:27,Reject,NIFTY 02 JUN 23300 CALL,12557935,10808590,16.2,1749345,,,ABOVE,"OI poll change +16.2% vs last scan (OI chg +1,749,345 | oi=12,557,935, was=10,808,590)"
2026-06-02 09:21:28,Reject,NIFTY 02 JUN 23300 PUT,12723880,11637535,9.3,1086345,,,ABOVE,"OI poll change +9.3% vs last scan (OI chg +1,086,345 | oi=12,723,880, was=11,637,535)"
2026-06-02 09:21:28,Reject,NIFTY 02 JUN 23350 PUT,4322565,4062565,6.4,260000,,,ABOVE,"OI poll change +6.4% vs last scan (OI chg +260,000 | oi=4,322,565, was=4,062,565)"
