trade_id,time_ist,event,symbol,option_type,price,trailing_sl,pnl_rs,pnl_pct,outcome,rsi_3m,rsi_1m,supertrend_3m,supertrend_1m
2026-05-13_108,2026-05-13 11:03:00 IST,BUY PE,NIFTY 13 MAY 23450 PE,PE,199.5,179.55,,,,34.44,25.37,RED,RED
2026-05-13_108,2026-05-13 11:20:00 IST,SL HIT,NIFTY 13 MAY 23450 PE,PE,160.05,179.55,-39.45,-19.77,FAILURE,29.86,57.26,RED,RED
2026-05-13_135,2026-05-13 11:30:00 IST,BUY PE,NIFTY 13 MAY 23500 PE,PE,146.55,131.9,,,,28.65,40.68,RED,RED
2026-05-13_135,2026-05-13 11:39:00 IST,SELL (SUPERTREND_FLIP),NIFTY 13 MAY 23500 PE,PE,134.3,131.9,-12.25,-8.36,FAILURE,63.33,77.9,GREEN,GREEN
2026-05-13_175,2026-05-13 12:10:00 IST,BUY CE,NIFTY 13 MAY 23650 CE,CE,199.4,179.46,,,,75.15,56.45,GREEN,GREEN
2026-05-13_175,2026-05-13 12:35:00 IST,SL HIT,NIFTY 13 MAY 23650 CE,CE,215.5,216.6,16.1,8.07,SUCCESS,49.68,38.19,GREEN,RED
2026-05-13_240,2026-05-13 13:15:00 IST,BUY CE,NIFTY 13 MAY 23700 CE,CE,200.95,180.85,,,,59.59,36.8,GREEN,GREEN
2026-05-13_240,2026-05-13 14:15:00 IST,SL HIT,NIFTY 13 MAY 23700 CE,CE,212.75,213.89,11.8,5.87,SUCCESS,42.68,56.58,GREEN,RED
,,,,,,,,,,,,,
SUMMARY,2026-05-13,Total trades: 4,SUCCESS: 2,FAILURE: 2,Win %: 50.0,Failure %: 50.0,BREAKEVEN: 0,Avg PnL %: -3.55,Win 50.0% | Fail 50.0%,,,,
